QUEST_LV_0400_20161212_000001	Kedoran Alliance Merchant Alta	케도라 상단원 알타
QUEST_LV_0400_20161212_000227	Ada serangga yang disebut White Tree Forest Moth...{nl}Kepompong nya diketahui ada disekitar sini.	흰나무 숲 나방이라는 곤충이 있는데..{nl}이 곳 주변의 풀섶에 고치를 만든대요.
QUEST_LV_0400_20161212_000228	{nl}Liel biasanya pergi untuk mengumpulkan mereka untuk dijadikan sutra.{nl}Aku tidak tau darimana dia mendengar ini semua...	{nl}그 고치에서 뽑은 실이 그렇게 튼튼하다고, 리엘이 그걸 구하러 갔던 거라고 했어요.{nl}그런 건 어디서 들었는지..
QUEST_LV_0400_20161212_000229	{nl}Aku tau dia putriku, tapi dia tidak terlalu pandai?	{nl}똑똑하기도 하지, 내 딸.
QUEST_LV_0400_20161212_000230	Aku menyesal saya tidak bisa menawarkan lebih banyak.	딸에게 부족한 삶을 살게 해주는 것이 미안할 따름이에요.
QUEST_LV_0400_20161212_000231	Kami mencari Flechette diarea ini.	플레세트를 찾아서 이 일대를 수색중입니다.
QUEST_LV_0400_20161212_000232	Aku rasa ini cukup untuk menjahit tenda cadangan.{nl}Terimakasih banyak telah membantuku.	이 정도 양의 고치면 천막을 꿰맬 실이 충분히 나오겠어요.{nl}도와주셔서 정말 감사합니다.
QUEST_LV_0400_20161212_000233	Curtis	커티스
QUEST_LV_0400_20161212_000234	Ah, kamu pasti orang yang menyelamatkan gadis itu, Liel.{nl}Kamu bisa dengan mudah mengatasi monster yang tidak bisa dilakukan oleh beberapa pemuda...	아, 그 리엘을 구해주셨다는 여행자님이시군요.{nl}여기 청년 여러명이 달려들어도 잡기 힘든 몬스터를 혼자서 처치하시다니..
QUEST_LV_0400_20161212_000235	{nl}Ah, Lihat aku... Aku lupa memperkenalkan diri.{nl}Namaku Curtis.	{nl}제 소개가 늦었군요.{nl}저는 커티스라고 합니다.
QUEST_LV_0400_20161212_000236	{nl}Aku hanya pengungsi yang kehilangan keluarga dan rumah semasa Medzio Diena dan mencoba untuk melewatinya.{nl}Aku tidak pernah berfikir datang kesini bisa membantu permasalahan.	{nl}신수의 날에 집과 가족을 잃고 이 곳으로 피난와서 어떻게든 살아보려고 발버둥 치는 사람 중 하나입니다.{nl}피난을 와도.. 이 곳 사정이라고 해서 딱히 더 좋지는 않았습니다.
QUEST_LV_0400_20161212_000237	{nl}Sulit mendapatkan barang-barang yang dibutuhkan untuk bertahan hidup.{nl}Itu arti nya akan banyak konflik antara pengungsi dan pencuri...	{nl}생활에 필요한 것들을 구하기 쉬운 것도 아니었구요.{nl}그러다보니 피난민들끼리 서로 싸움도 잦아지고, 도둑질까지 하는 일이 생기곤 했죠..
QUEST_LV_0400_20161212_000238	{nl}Kami sudah mencoba membuat peraturan dan mengatur pertahanan melawan monster yang terus menyerang namun...	{nl}나름대로 규율을 만들고, 하루가 멀다하고 공격해대는 몬스터로부터 난민촌을 지킬 수 있도록 하고 있지만..
QUEST_LV_0400_20161212_000239	Kami sangat membutuhkan bantuan.{nl}Jika kamu mampu menyelamatkan Liel, Aku yakin kamu lebih dari mampu untuk menolong kami!	안그래도 일손이 많이 부족했던 참이었습니다.{nl}리엘을 구해주실 정도면 정말 많은 도움이 될 겁니다!
QUEST_LV_0400_20161212_000240	{nl}Aku tahu mungkin kami tidak tau bertrimakasih, tapi tolong …	{nl}그럼 염치불구 부탁을 드리겠습니다.
QUEST_LV_0400_20161212_000241	{nl}Banyak yang belum mendapatkan makanan yang  layak sejak lama.{nl}Kami kehilangan ladang yang amat sangat kami rawat...	{nl}배를 곯고 있는 사람들이 많습니다.{nl}피난 오자마자 이 곳에 애써 만들어 둔 농경지를 빼앗겨 버려서..
QUEST_LV_0400_20161212_000242	{nl}Kita perlu sesuatu untuk menyelesaikan kelaparan lebih dari apapun.{nl}Bisakah kamu mencari beberapa Flowlevi head flower untuk kami?	{nl}일단 허기를 채울 식량이 필요합니다.{nl}플로래비를 처치하고 머리꽃을 구해다 주십시오.
QUEST_LV_0400_20161212_000243	{nl}Ketika mengering bijinya akan keluar.{nl}Kita bisa memasak nya	{nl}잘 말리면 씨앗들이 꽤 나옵니다.{nl}그걸로 요리를 할 수 있어요.
QUEST_LV_0400_20161212_000244	Monster d iarea ini sedikit lebih ganas karena mereka semua kelaparan.{nl}Tolong jangan menggigit lebih dari yang bisa kamu kunyah dan lari jika sudah terlalu banyak.	이곳 몬스터는 굶주려 있다 보니 상당히 포악합니다.{nl}위험하다 싶으시면 무리하지 마시고 그냥 도망치세요.
QUEST_LV_0400_20161212_000245	Banyak orang sudah merasa kenyang hari ini berkat makanan yang kamu bawa.{nl}Terimakasih.	이 정도면 일단 많은 사람들이 허기는 면할 겁니다.{nl}감사합니다.
QUEST_LV_0400_20161212_000246	Monster menyerang kami lebih sering.{nl}Sebab itulah kami memasang dinding tersebut dan membagikan senjata yang bisa kita temukan kepada anak muda.	지금도 그렇지만, 얼마전까지는 몬스터들이 정말 자주 공격해왔습니다.{nl}그래서 저렇게 방책을 세우고 피난처에서 발견한 무기를 젊은 남자들에게 나눠줬죠.
QUEST_LV_0400_20161212_000247	{nl}Tembok membuat monster tetap di teluk, namun kami khawatir tembok nya tidak kuat.{nl}Tampak akan rusak jika monster memutuskan untuk menyerang bersamaan.	{nl}이후로 몬스터가 난민촌으로 들어오는 일은 많이 줄었지만, 방책이 약한 게 문제입니다.{nl}몬스터들이 공격하면 쉽게 부서져 버리거든요.
QUEST_LV_0400_20161212_000248	{nl}Kita memperbaiki nya dengan kayu tiap waktu.{nl}Yang ingin aku katakan bahwa kita menggunakan banyak kayu hanya untuk memperbaiki tembok.	{nl}그래서 매번 나무를 다듬어 수리하고 있죠.{nl}방책 수리용 목재도 계속 필요하고요.
QUEST_LV_0400_20161212_000249	Pergi ke Saughus Lot dengan peralatan yang akuberikan.{nl}Kamu akan mendapatkan material yang bagus disana.	제가 드린 목재 제작 도구를 들고 사우구스 공터로 가세요.{nl}사우구스 공터에 가면 단단한 나무들을 구할 수 있습니다.
QUEST_LV_0400_20161212_000250	{nl}Setalah mengumpulkan kayu disana, kamu akan dapat membuat peralatan untuk memperbaiki tembok.	{nl}거기서 쓸만한 목재를 구한 뒤, 목재 제작 도구로 방책 수리용 목재를 만드시면 됩니다.
QUEST_LV_0400_20161212_000251	Masalah nya adalah tembok nya semakin lemah karena tidak ada sesorang yang mengetahui bagaimana cara membuat nya.{nl}Tembok nya hancur setiap kali monster menyerang.	방책을 만드는 지식이 없는 상태에서 만들다 보니 내구성이 약한 게 문제입니다.{nl}몬스터들이 한 번 공격을 해 오면 여지없이 부서져 버립니다.
QUEST_LV_0400_20161212_000252	{nl}Itulah sebab nya kita terus memperbaikinya setiap hari.{nl}Tentu saja kita memerlukan banyak kayu juga.	{nl}그래서 매번 점검을 하고 수리를 해야 합니다.{nl}당연히 목재도 늘 많이 필요하죠.
QUEST_LV_0400_20161212_000253	Ini cukup untuk satukali perbaikan.	이 정도면 한 번 정도 수리하는 데 문제가 없겠습니다.
QUEST_LV_0400_20161212_000254	Aku akan distribusikan kayu yang telah kamu kumpulkan agar proses perbaikan nya berjalan.	이제, 구해오신 방책 수리용 목재를 청년들에게 나눠줘서 방책을 수리할 겁니다.
QUEST_LV_0400_20161212_000255	Aku tau kami meminta terlalu banyak, tapi tolong...{nl}Yang perlu kamu lakukan hanyalah memperbaiki tembok yang ada didepan mu.	그럼, 사양 않고 부탁드리겠습니다.{nl}바로 앞의 방책을 수리해 주시면 됩니다.
QUEST_LV_0400_20161212_000256	Sisanya akan diperbaiki oleh yang lain nya.	나머지 방책은 사람들을 시켜서 수리하고 있습니다.
QUEST_LV_0400_20161212_000257	Kita bisa memperbaiki dinding tapi...{nl}Aku tidak tahu bahwa kamu akan membantu kami.	방책 수리는 저희가 충분히 할 수 있는 일인데..{nl}이렇게까지 도움을 주실 줄은 몰랐습니다.
QUEST_LV_0400_20161212_000258	Michekan Forest sangat dingin pada malam hari.{nl}Kamu bisa terkena frostbites jika kamu tidak melindungi diri dengan baik saat malam tiba.	미쉐칸 숲은 밤이 되면 상당히 춥습니다.{nl}단단히 여미고 잠들지 않으면 동상에 걸릴 정도입니다.
QUEST_LV_0400_20161212_000259	{nl}Itu sebabnya kita butuh banyak pakaian atau selimut dari bahan kulit Flowlon.{nl}Tentusaja sulit untuk kita berhadapan dengan monster ditempat ini...{nl}	{nl}그래서 플로론의 가죽을 덧댄 옷이나 침구류가 많이 필요합니다.{nl}하지만 저희들이 플로론을 잡기는 쉽지 않습니다..
QUEST_LV_0400_20161212_000260	Tempat ini cukup dingin pada malam hari dan bisa membuatmu menggigil terus menerus.	이곳은 밤이 되면 몸이 으슬으슬 떨릴 정도로 추워집니다.
QUEST_LV_0400_20161212_000261	Akupikir ini cukup untuk semua orang disini.	이 정도 양이면 여기 있는 난민들이 추위를 걱정하지 않아도 될 것 같습니다.
QUEST_LV_0400_20161212_000262	Hal yang paling buruk dari tempat ini adalah kurang nya air.{nl}Kita berhasil membuat beberapa sumur disini dan disana...	사실 이 곳에서 가장 아쉬운 것은 물입니다.{nl}여기저기 우물을 파서 물을 구하긴 했는데..
QUEST_LV_0400_20161212_000263	{nl}Kita tidak bisa meminum nya setelah racun dari White Trees masuk kedalam suplay air.{nl}Kami harus memurnikan air nya.	{nl}흰나무에 있는 독성이 지하수로 스며 들어가게 되어 물을 함부로 마실 수가 없었습니다.{nl}그래서 일단 물을 한 번 걸러서 사용하고 있죠.
QUEST_LV_0400_20161212_000264	{nl}Kita menggunakan rumput yang disebut Randulin.	{nl}물을 거르는 데 필요한 것이 란둘린이라는 풀입니다.
QUEST_LV_0400_20161212_000265	Aku akan memberikanmu sebotol air.{nl}Masalah nya adalah Randulin bersembunyi dengan baik di bawah tanah.	제가 물을 한 병 드리겠습니다.{nl}란둘린 초는 땅속에 있어 잘 보이지 않는 것이 문제입니다.
QUEST_LV_0400_20161212_000266	{nl}Meski demikian, akan berubah menjadi kuning jika bersentuhan dengan air yang belum di murnikan.{nl}Kamu bisa melihat dimana Randulin dengan memercikan air di atas tanah.	{nl}그러나 이 곳의 정화하지 않은 물과 접촉하게 되면 노란 빛을 띄게 됩니다.{nl}땅에 물을 뿌리면 노란 빛이 올라오면서 흙이 씻겨 나가 란둘린 초가 보이게 될 겁니다.
QUEST_LV_0400_20161212_000267	Banyak orang menderita ketika kita tidak mengetahui masalah dengan air.{nl}Aurlelse yang ahli dalam herbs, mengajarkan orang-orang cara memurnikan air.	아무것도 몰랐던 시절에 사람들이 물을 마신 후 부터 심한 복통을 앓았습니다. {nl}그 때 약사였던 아우랠스가 물을 정화하는 법을 사람들에게 알려주었죠.
QUEST_LV_0400_20161212_000268	Yes.{nl}Apa yang kamu bawa adalah benar Randulin.	맞습니다. {nl}가져오신게 란둘린 초 입니다.
QUEST_LV_0400_20161212_000269	{nl}Aku pikir ini akan memungkinkan kita untuk minum air murni untuk beberapa waktu.	{nl}그 정도면 한동안은 깨끗한 물을 마실 수 있습니다.
QUEST_LV_0400_20161212_000270	Apakah aku memberitahukanmu mengenai kebun yang sedang kami kerjakan?{nl}Kita telah menggunakan cable-car untuk membuat lahan di atas Lacetti Lot.	제가 아까 이 곳에서 저희가 만든 농경지 이야기를 드렸던가요.{nl}저희는 이 곳에 있는 케이블카를 이용해서 라세티 공터 너머에 농경지를 만들었습니다.
QUEST_LV_0400_20161212_000271	{nl}Meskipun aga jauh dari sini, disana banyak terkena sinar matahari dan tanah nya yang gembur.{nl}Namun kami harus bersiap untuk memperbaiki cable-car yang sudah tua dan usang, karena itu jalan satu-satu nya untuk menuju kesana.	{nl}촌에서 조금 떨어져 있긴 하지만, 볕이 잘 들고 흙이 부드러웠거든요.{nl}그런데 오래된 케이블카로만 이동할 수 있게 되어있어서, 늘 케이블카를 고칠 준비를 해야 합니다.
QUEST_LV_0400_20161212_000272	{nl}Itu sebabnya kami mempersiapkan peralatan untuk perbaikan dan catatan dalam kantung serta menempatkan nya ditempat kami bisa menemukan nya dengan mudah.{nl}Para monster mengira itu adalah kantung tempat makanan dan mencurinya semua.	{nl}그래서 케이블카를 언제든 수리할 수 있도록 따로 자루에 담아 눈에 잘 띄는 곳에 쌓아 두었었죠.{nl}그런데 몬스터들이 그걸 식량주머니인줄 알았는지 몽땅 훔쳐 가 버렸습니다.
QUEST_LV_0400_20161212_000273	Pasti Monsters kelaparan juga.{nl}Mengambil sesuatu yang tidak dapat mereka makan...	몬스터들도 너무 굶주린 탓일까요. {nl}식량이 아닌 걸 가져가다니..
QUEST_LV_0400_20161212_000274	Ah, yes.{nl}Itu adalah kantong nya.	아, 네.{nl}그 자루들이 맞습니다.
QUEST_LV_0400_20161212_000275	Ada masalah lainya meskipun kita bisa memperbaiki cable-car.{nl}Setelah kami menggarap lahan di Phavegheliai, monsters mulai menyerang kami disana.	케이블카도 이제 언제든 수리할 수 있게 되었습니다만, 문제가 좀 있습니다.{nl}파베겔리아이 농경지를 만들자마자, 몬스터들이 그 곳에도 나타났다는 것입니다.
QUEST_LV_0400_20161212_000276	{nl}Ini adalah msalah kelangsungan hidupkita.{nl}Orang-orang akan mulai kelaparan jika monster mengontrol lahan tersebut untuk waktu yang lama.	{nl}그곳은 저희들의 생존이 달린 곳입니다.{nl}몬스터가 오랫동안 그곳을 점령하게 된다면 여기 있는 사람들은 배고픔에 허덕일 겁니다.
QUEST_LV_0400_20161212_000277	{nl}Itu sebabnya aku mengumpulkan anak muda untuk mengusir mereka.	{nl}그래서 농경지에 있는 몬스터를 내쫓으려고 젊은 남성들을 모으는 중입니다.
QUEST_LV_0400_20161212_000278	Aku tahu hal ini bukan hal yang bisa dilakukan dengan jumlah orang sesedikit itu... {nl} Aku yakin kau dapat membuat keadaan menjadi lebih menguntungkan kita.	한 두사람의 힘으로 되는 일이 아니라고 생각하여 사람을 모으던 참인데..{nl}지금까지 도와주신 것을 보면, 여행자님이라면 거뜬히 해 내실 것이라고 생각이 듭니다.
QUEST_LV_0400_20161212_000279	Phavegheliai Farm ada di ujung rute dari cable-car yang kamu temui di Lacetti Lot.	{nl}라세티 공터에 있는 케이블 카를 타고 건너편으로 가시면 파베겔리아이 농경지가 바로 있습니다.
QUEST_LV_0400_20161212_000280	Liel…apakah kamu disana Liel?{nl}Pergi kemana dia...{nl}Aku sudah mengatakan untuk tidak pergi ke Refugee Camp...	리엘... 리엘 거기있니?{nl}도대체 얘가 어디를 간거야..{nl}난민촌 밖으로 나가지 말라고 그렇게 말을 했는데..
QUEST_LV_0400_20161212_000281	Jika kamu melihat gadis dengan hood serta berambut twin-tails, Tolong antarkan dia kesini.	머리에 두건을 쓰고 머리를 양갈래 딴 여자아이를 보시면 이곳으로 데리고 와주세요.
QUEST_LV_0400_20161212_000282	Aku mencari gadis yang menggunakan hood dan berambut twin-tails.{nl}Nama nya Liel. Apakah kamu melihat nya?	머리에 두건을 쓰고 양갈래로 머리를 딴 여자아이를 찾고 있어요. {nl}이름은 리엘이요. 혹시 못보셨나요?
QUEST_LV_0400_20161212_000283	Jika kamu menemukanny, tolong bawa dia kepadaku.{nl}	만일 그 아이를 찾게 되신다면 제게 데리고 와주세요.{nl}
QUEST_LV_0400_20161212_000284	Sebelumnya Phavegheliai Farm hanyalah padang rumput.{nl}Tampak sempurna karena banyak terkena sinar matahari dan tidak banyak monster.	원래 파베겔리아이 농경지는 아무것도 없는 들판이였습니다.{nl}몬스터도 별로 없고 땅에 햇볕도 잘 들어서 농사 짓기 좋아 보였습니다.
QUEST_LV_0400_20161212_000285	{nl}Itu sebab nya kami bercocok tanam disini.{nl}Kemudian, para monster datang mencuri hasil perkebunan dan kami kehilangan kontrol dari lahan.	{nl}그래서 농사를 짓기 시작했고 그럭저럭 작물이 잘 자랐습니다.{nl}그랬더니, 몬스터도 먹을게 생겼다 싶었는지 농경지로 몰려 들어 결국 농경지를 빼앗긴 것이죠..
QUEST_LV_0400_20161212_000286	Tampaknya kita bisa bercocok tanam kembali berkat kamu.{nl}Aku kira tidak terlau muluk jika memintamu untuk tinggal dengan kami?	덕분에 다시 농사를 지을 수 있게 됐습니다.{nl}계속 저희와 함께 계실 순 없겠죠?
QUEST_LV_0400_20161212_000287	{nl}Kenapa kamu tidak bertemu orang-orang sebelum kamu pergi...{nl}Aku yakin ada banyak yang ingin mereka katakan kepadamu.	{nl}가시기 전에 난민들과 만나보고 가시죠..{nl}그들은 여행자님과 하고 싶은 이야기가 많은가 봅니다.
QUEST_LV_0400_20161212_000288	Kamu sudah mendengarkan semua kekhawatiran dari semua orang disini?	이곳 난민들의 사정을 다 들으셨다고요?
QUEST_LV_0400_20161212_000289	{nl}Aku yakin tidak ada satupun cerita yang tidak membuat sedih.{nl}Sebagian merasa hidup disini penuh masalah.	{nl}아마, 안타깝지 않은 사연이 없다고 느끼셨을 겁니다.{nl}어떤 이들은 이곳에서의 생활이 불안하다고만 느끼고 있죠.
QUEST_LV_0400_20161212_000290	{nl}Beberapa orang berkata bahwa saya tidak tau mengenai kerasnya situasi sekarang ini, namun saya bisa jamin saya mengetahui nya.{nl}Hidup seperti ini tidak akan berkelanjutan tanpa banyuan material dari orang lain.	{nl}몇몇 사람들은 제가 이 사안의 심각성을 잘 모른다고 말을 하지만 누구보다 잘 알고 있습니다.{nl}누군가로부터 물자 지원을 받지 않는 이상 이 생활은 끊임없이 한계에 부딪힐 겁니다.
QUEST_LV_0400_20161212_000291	{nl}Saya meminta maaf kepada anak-anak karena mereka tidak bisa melihat dunia luar.{nl}Tentu saja saya mempertimbangkan untuk pindah ketempat lain.	{nl}그리고 아이들이 큰 세상을 보지 못하고 자라나니 어른으로서 미안하더군요.{nl}그래서 이 촌을 벗어나 다른 곳으로 이동하는 방안도 생각해 보지 않은 것이 아닙니다.
QUEST_LV_0400_20161212_000292	{nl}Namun, kami tidak mengetahui dimana pastinya lokasi kami di Great Woodlands jadi kami tidak mudah untuk memilih tujuan.{nl}Kami tidak punya banyak makanan atau perbekalan dan tentu saja ancaman monster yang tidak pernah berhenti.	{nl}하지만 저희가 현재 대삼림 지대 어디에 있는지도 알 수 없어 이동 중에 길을 헤맬 수도 있습니다.{nl}정착할 만한 곳에 당도할 때까지의 식량도 충분하지 않고 몬스터로부터 위협 또한 큰 문제입니다.
QUEST_LV_0400_20161212_000293	Sunguh?	정말입니까?
QUEST_LV_0400_20161212_000294	{nl}Terimakasih.{nl}Kami akan menghargai jika kamu bisa pergi ke kota besar untuk membantu.	{nl}그럼 부탁 드립니다.{nl}되도록이면 대도시로 가 도움을 요청해주십시오.
QUEST_LV_0400_20161212_000295	Aku lihat disana pengungsi ada yang belum menerima bantuan.{nl}Aku akan bertaya kepada lords dekatr Michekan jika mereka tidak bisa menawarkan bantuan.	제대로 지원을 받지 못한 채 생활을 하고 있는 난민들이 있었군요.{nl}미쉐칸 숲 주변에 있는 영주들에게 난민을 도울 수 있도록 협조를 요청하겠습니다.
QUEST_LV_0400_20161212_000296	Bagaimana hasilnya?{nl}Apakah ada kota yang mau menolong kami?	어떻게 됐나요?{nl}저희를 지원할 수 있는 도시가 있었습니까?
QUEST_LV_0400_20161212_000297	Knight Commander di Klaipeda berkata, bahwa dia akan meminta bantuan dari lords lainya?{nl}Itu saja yang ingin aku dengar.	클라페다에 있는 기사단장이 미쉐칸 숲 주변에 있는 영주에게 도움을 받을 수 있게끔 해준다고 하셨습니까?{nl}정말로 듣고 싶었던 말입니다.
QUEST_LV_0400_20161212_000298	{nl}Terimakasih banyak untuk bantuan tambahan untuk kami.	{nl}저희들을 위해 힘 써 주셔서 정말로 감사합니다.
QUEST_LV_0400_20161212_000299	Aku akan meminta lords dekat Michekan Forest untuk membantu para pengungsi.{nl}Aku akan meminta mereka bergegas.	미쉐칸 숲 주변에 있는 영주들에게 난민을 도울 수 있게끔 협조 요청을 하겠습니다.{nl}오래 기다리지 않도록 힘써 보겠습니다.
QUEST_LV_0400_20161212_000300	Aurlelse	아우랠스
QUEST_LV_0400_20161212_000301	Aku selalu berfikir mengenai hari-hari indah sebelum Medzio Diena setiap hari.{nl}Potato Dumplings yang biasa aku makan dengan istriku sangat laziss...	신수의 날이 이전의 평화로웠던 시기를 매일 매일 생각한다오.{nl}아내와 함께 먹었던 감자만두의 맛은 그 어떤 음식보다도 맛있었는데 말이야..
QUEST_LV_0400_20161212_000302	Aku kehilangan istri ketika cabang pohon yang besar jatuh menimpa rumahku hari itu.{nl}Aku sangat menyesal karena aku tidak bisa memberikan pemakaman yang layak.	신수의 날에 거대한 나무줄기가 집을 덮쳐 와서 아내를 잃었다오.{nl}아내의 시신도 거둬주지 못하고 이렇게 혼자서 살고 있는 내 자신이 정말 한심스럽지.
QUEST_LV_0400_20161212_000303	Alex	알렉스
QUEST_LV_0400_20161212_000304	Aku juga takut diserang seperti Mr. Curtis.	저도 커티스 아저씨처럼 몬스터에게 공격받을까봐 무서워요.
QUEST_LV_0400_20161212_000305	{nl}Dia diserang monster kemarin saat mencoba mengusir mereka keluar dari kota.{nl}Aku masih bisa melihat nya kesakitan karena luka.	{nl}아저씨가 얼마전 마을에 침입하는 몬스터를 내쫓다가 공격을 받으셨거든요.{nl}큰 상처를 입고 고통스러워 하는 모습이 아직도 생생해요.
QUEST_LV_0400_20161212_000306	Jika bukan karena Medzio Diena, aku sudah menikahi pacarku dan hidup bahagia …	신수의 날이 일어나지 않았다면 사랑하는 연인과 결혼해서 행복하게 살았을텐데..
QUEST_LV_0400_20161212_000307	Wickens	위킨스
QUEST_LV_0400_20161212_000308	Sudah lama setelah aku datang kesini.{nl}Waltas sedang mencuri untuk istri dan anak nya.	여기 온 지 얼마 안됐을 때였어요.{nl}왈타스씨가 부인과 아기를 위해 사람들의 물건을 훔치는 일이 있었어요.
QUEST_LV_0400_20161212_000309	{nl}Biasanya dia menjadi seseorang yang membantu orang lain...{nl}Setelah melihat itu, aku menyadari bahwa orang berubah dalam situasi yang keras.	{nl}왈타스씨는 베풀 줄만 알던 사람이었어요 이전에는..{nl}그런 모습을 보곤, 상황이 사람을 만든다는 걸 깨닫게 됐어요.
QUEST_LV_0400_20161212_000310	Aku sedikit paham kenapa Waltas sampai mencuri.	왈타스씨가 남의 물건을 빼앗었던 모습은 어느정도 이해가 돼요.
QUEST_LV_0400_20161212_000311	{nl}Istrinya barusaja melahirkan.{nl}Namun tidak bisa menyusui karena dia juga kelaparan.	{nl}그때 당시에 이와트 부인이 막 아이를 낳았거든요.{nl}하지만 먹을 것이 없다보니 이와트씨의 젖이 나오지 않았어요.
QUEST_LV_0400_20161212_000312	{nl}Waltas perlumendapatkan makanan untuk anak dan istrinya.	{nl}남편인 왈타스씨 입장에선 산모와 아기를 위해서 먹을게 더 많이 필요했던 거죠.
QUEST_LV_0400_20161212_000313	Myuse	미유스
QUEST_LV_0400_20161212_000314	Semua pengungsi di perkemahan bertrimakasih kepada Curtis, Aurlelse dan Nagles.{nl}Kami tidak mungkin bisa hidup seperti ini jika tanpa bantuan mereka.	피난처에 있는 사람들 모두 커티스 아저씨와 아우랠스 아저씨와 네이글스에게 고마워하고 있어요.{nl}그들이 있었기에 이곳에서 생활이 그나마 이 정도 유지된다고 생각해요.
QUEST_LV_0400_20161212_000315	Meskipun kami sudah lebih baik, namun tetap ini hidup yang keras.{nl}Tidak akan menjadi lebih baik jika tidak ada bantuan dari para lords.	생활이 조금이나마 나아지긴 했지만 그래도 아직은 많이 어려워요.{nl}힘이 있는 사람들에게 도움을 받지 않는 이상, 더 나아지지 않을 거예요.
QUEST_LV_0400_20161212_000316	Liel	리엘
QUEST_LV_0400_20161212_000317	Ibuku... Dia memberikanku semua slimutnya karena takut aku akan kedinginan.{nl}Itusebabnya dia selalu flu dan tidak berhenti batuk...	엄마가.. 나 추울까봐 이불을 다 나한테 주셨어요.{nl}그러니까 감기 걸리지..맨날 기침하고..
QUEST_LV_0400_20161212_000318	{nl}Akupikir jika aku bisa menjahit tenda maka angin yang masuk akan berkurang.{nl}Tidak ada yang bisa digunakan di camp pengungsian.	{nl}천막만 꿰매면 찬바람이 덜 들어올테니, 꿰맬 실을 구하러 갔던 거예요.{nl}촌 안을 다 돌아다녀도 그런 실로 쓸만한 게 없었어요.
QUEST_LV_0400_20161212_000319	{nl}Curtis berkata bahwa disana tempat moths membuat kempompong.{nl}Dan menurutnya akan sangat bagus digunakan sebagai benang.	{nl}커티스 아저씨가, 여기 저 위쪽으로 가면 풀섶에 나방이 고치를 만든대요.{nl}그 고치를 구해 삶으면 진짜 튼튼한 실이 된다고 했어요.
QUEST_LV_0400_20161212_000320	Aku tidak bisa memberitahukan ibuku.{nl}Sudah pasti dia akan melarangku untuk keluar.	엄마한테 말 못했어요..{nl}실 구하러 밖에 나가겠다고 하면 못나가게 할 게 뻔하니까..
QUEST_LV_0400_20161212_000321	{nl}Aku harus melakukan ini.{nl}Ibuku akan sedih jika sesuatu terjadi padaku..	{nl}근데 그러면 안되는 거였어요..{nl}제가 잘못되기라도 했으면 엄마가 너무 슬퍼하셨을테니까요..
QUEST_LV_0400_20161212_000322	Ibuku selalu bermimpi buruk sejak datang kesini.{nl}Dia selalu memanggil ayahku dan meminta nya untuk tidak pergi.	여기 오고 나서부터 엄만 늘 밤에 악몽을 꾸세요.{nl}주무시면서 줄곧 아빠 이름을 부르면서 가지 말라고 해요.
QUEST_LV_0400_20161212_000323	{nl}Dan dia bangun kemudian menangis.{nl}Sangat sedih melihatnya.	{nl}그러다 막 울면서 깨세요.{nl}그걸 보면 너무 마음이 아파요.
QUEST_LV_0400_20161212_000324	Aku ingat makan Potato Dumplings bersama orang tua ku.{nl}Rasanya sangat lezat...	엄마, 아빠와 함께 식탁에 앉아서 감자 만두를 먹던 때가 기억나요.{nl}군침도는 감자 만두의 향..
QUEST_LV_0400_20161212_000325	{nl}Suara para orang tua memanggil anak nya untuk makan...{nl}Susah nya untuk tenang dikursi yang nyaman...	{nl}멀리서 들려오는 아이에게 밥 먹으라고 외치던 부모님의 목소리들..{nl}딱딱하지만 앉아 있으면 마음이 편안했던 식탁 의자들까지..
QUEST_LV_0400_20161212_000326	Semua nya nampak tak mungkin ketika kami datang kesini.{nl}Semua orang kewalahan oleh keadaan dan tidak ada sesuatu untuk bertahan hidup.. Belum lagi ancaman dari para monster...	이 곳에 도착했을 때는 정말 모든 것이 막막하기만 했습니다.{nl}사람들은 모두 지쳐있고 생활에 필요한 물건들은 없고 몬스터의 위협까지..
QUEST_LV_0400_20161212_000327	{nl}Terlepas dari itu semua, kita harus berterimakasih pada Aurlelse karena sudah sampai sejauh ini.	{nl}그런 상황에도 우리가 지금까지 올 수 있었던 건 아우랠스의 행동 덕분입니다.
QUEST_LV_0400_20161212_000328	{nl}Ada kejadian pencurian ketika makanan sangat langka.{nl}Waktu itu aku salah satu dari korbannya.	{nl}먹을 것이 귀할 때 식량이 도둑 맞은 사건이 있었습니다.{nl}저를 비롯한 몇 명의 사람들이 그 피해자였죠.
QUEST_LV_0400_20161212_000329	{nl}Siapapun akan marah termasuk diriku sendiri, {nl} Ketika Waltas diketahui sebagai penjahat, kita mungkin akan memukulinya.	{nl}피해자들은 범인을 찾겠다고 단단히 벼르고 있었고 저 또한 범인을 절대 가만두지 않으려고 했죠.{nl}왈타스가 범인이란 것을 알게 되었을 때 저와 피해자들은 그를 때리려고 했습니다.
QUEST_LV_0400_20161212_000330	{nl}Bagaimanapun juga, Aurlelse memberikannya makanan dan membelanya.{nl}Beliau mengatakan bahwa dia akan melakukan hal yang sama jika anaknya kelaparan…	{nl}그 때 아우랠스가 자신의 식량을 내놓으며 왈타스를 감싸주었습니다.{nl}자신의 아기가 젖을 먹지 못하고 있다면 누구나 그랬을 것이라면서..
