QUEST_20150317_000001	Pilih user untuk memodifikasi quest.	퀘스트 수정이 필요한 유저를 선택해주세요.
QUEST_20150317_000463	Aku tidak tahu tentang Owl yang lainnya, namun aku masih punya harapan.  {nl}Goddess tidak akan mengabaikan kita.  {nl}Melihat wahyu-wahyu yang ditinggalkan mereka di dunia, Aku yakin dia punya rencana untuk kita.  {nl}Tolong kumpulkan wahyu yang tersebar.	다른 부엉이들은 몰라도, 저는 희망을 버리지 않고 있습니다.{nl}여신께서 세상을 버릴 리 없으니 말입니다.{nl}세상에 남겨진 계시를 생각해보면 뭔가 깊은 뜻을 가지고 계신 게 틀림없습니다.{nl}흩어진 계시를 어서 모아 주세요.
QUEST_20150317_000464	Anak buah Bramble masih mengamuk.  {nl}Akan banyak korban bila tidak dihentikan.  {nl}Tolong bantu melawan monster itu demi umat manusia.	브람블의 부하들은 아직도 날뛰고 있습니다.{nl}이대로라면 더 많은 인간이 희생될 게 분명합니다.{nl}계시자님께서 몬스터와 맞서는 인간들을 도와주세요.
QUEST_20150317_000465	Yaa… Mengapa aku masih disini?  {nl}Mungkin bukan saatnya untuk pergi?  {nl}Tidak ada yang tahu, tidak satupun.  {nl}Hanya Goddess yang bisa melihat masa depan. Tidak ada orang yang tahu akan takdir mereka, bukan?	글쎄요.. 제가 왜 여기에 계속 있을까요?{nl}아마 저는 아직 떠날 때가 되지 않아서가 아닐까요?{nl}부엉이 조각상들도 모르고, 다른 영혼들도 모르죠.{nl}미래를 보는 여신이라면 모를까, 어차피 자신의 미래를 알 수는 없잖아요?
QUEST_20150317_000466	Apakah kamu sudah bertemu Savior lainnya?	아직 다른 계시자들을 만난 적이 없으신가 보지요?{nl}
QUEST_20150317_000467	Aku tidak tahu banyak tentang mimpi Goddess ataupun wahyunya…  {nl}Tapi satu hal yang pasti bahwa ada banyak orang sepertimu.	여신의 꿈이나 계시에 대해서 잘 아는 건 아닙니다만..{nl}확실한 건 당신과 같은 사람들이 한둘이 아니라는 겁니다.{nl}
QUEST_20150317_000468	Aku memberi nama Spion.  {nl}Kenapa aku memberi nama itu… yaa… bukankah itu terdengar keren?	얘 이름은 스피온이라고 지었죠.{nl}왜 이렇게 지었느냐면 음.. 그냥 멋져 보이잖아요?
QUEST_20150317_000469	Orang yang bermain bersama teman berbulu ini adalah Pitt, teman lamaku.  {nl}Kami sudah berteman sejak masih kecil dan emosional. Kami ingin sekali menjadi pahlawan.	저기서 털북숭이랑 놀고 있는 피트랑 전, 어릴 적부터 친구였어요.{nl}한창 감수성이 폭풍 같았던 사춘기 때 말이죠, 멋진 영웅이 정말 되고 싶었어요.{nl}
QUEST_20150317_000470	Dan saat mendengar cerita tentang Vacenin, kami baru masuk dunia militer.  {nl}Tapi bukankah itu terdengar keren? Suatu hari, Aku akan bergabung dengan pasukan Vacenin dan menjadi pahlawan.	그러다 동네에 가끔 들려오는 바세닌님의 무용담을 듣다가 말이죠, 그만.. 그 길로 입대해버렸죠. {nl}그래도 멋지잖아요? 언젠간 바세닌님의 부대에 들어가서 꼭 공을 세우고 말 겁니다.
QUEST_20150317_000471	Kemampuanmu membuktikan prestasimu.  {nl}Jika kamu ingin menyampaikan sesuatu, buktikan dengan suatu hasil!	능력은 실력으로 입증하는 거다.{nl}할 말이 있다면, 결과로 가져오는 거다!
QUEST_20150317_000472	Hanya prajurit terbaik yang terpilih masuk ke Vacenin's troops.  {nl}Buktikan bahwa kamu yang terbaik.	바세닌님의 부대에 들어가는 병사는 최고가 아니면 안 돼.{nl}어떻게든 네가 최고라는 걸 증명하는 것이 가장 중요하다.
QUEST_20150317_000473	Oh… Itu cukup aneh. Beberapa saat lalu aku masih punya semuanya…	아.. 이상하다. 분명히 아까 잔뜩 구해 놨는데..
QUEST_20150317_000474	Setengah dari supply dikirimkan dari tiap kota, dan sisanya sudah tua dan harus diperbaiki atau dibantu.  {nl}Kamu tidak bisa mengharapkan mereka memiliki semangat yang membara dalam situasi seperti ini.	물자의 반 정도는 각 도시에서 차출되고 나머지는 전부 없는 대로 고쳐 쓰거나 자급자족입니다.{nl}상황이 이런데 사기가 높길 바라는 건 말도 안 되죠.
QUEST_20150317_000475	Aku menjual perlengkapan kepada prajurit yang kekurangan suplai.  {nl}Kamu tidak bisa meminta itu secara cuma-cuma. Aku punya keluarga untuk diberi makan…	물자가 부족한 병사들을 상태로 장비들을 팔고 있습니다.{nl}어째서 무상지원이 아니냐고 하셔도 어쩔 수 없습니다. 저도 처자식이 있는 걸요..
QUEST_20150317_000476	Aku tidak bisa istirahat bahkan untuk beberapa saat karena Vubbes.	부베들 때문에 이곳에선 잠시도 쉴 틈이 없습니다.
QUEST_20150317_000477	Kamu tidak bisa menerka kapan monster akan muncul dalam situasi ini.	이렇게 오솔길이 많은 곳에선 몬스터들이 어디서 튀어나올지 모릅니다.
QUEST_20150317_000478	Aku punya antidotes yang tersisa.  {nl}Bawalah sebanyak yang kamu mau.	해독제라면 남은 게 있지.{nl}얼마든지 가져가게.
QUEST_20150317_000479	Maaf jika aku tidak bisa membantu banyak.	도움이 되질 못 해서 미안허이.
QUEST_20150317_000480	Antidote?  {nl} Oh, tentu aku punya.	해독제요?{nl}아 물론 가지고 있죠. 
QUEST_20150317_000481	Aku sudah menggunakannya. Mungkin ada orang lain disekitar yang masih punya.	제가 가지고 있는 건 예전에 다 써 버렸는데..{nl}건너편의 다른 사람들이라면 가지고 있을지도 모르겠군요.
QUEST_20150317_000482	Kamu datang kesini tanpa antidotes?  {nl}Ini, ambilah.	해독제도 없이 이 동넬 왔답니까?{nl}빨리 가져가세요.
QUEST_20150317_000483	Aku sudah kehabisan.  {nl}Mungkin orang lain ada yang punya.	제 건 다 떨어졌는데요.{nl}다른 사람들이 가지고 있을 겁니다.
QUEST_20150317_000484	Aku punya Antidote.  {nl}Semoga Dezek's cepat sembuh.	해독제라면, 가지고 있지요.{nl}데지크 선생의 완쾌를 빌겠습니다.
QUEST_20150317_000485	Dezek masih beruntung.  {nl}Biasanya, mereka tidak selamat.	그래도 데지크 선생은 운이 좋은 겁니다.{nl}보통은 잡아먹혀 버리니까요.
QUEST_20150317_000486	Kamu pasti sudah gila, berkeliaran disini namun tidak punya antidote.  {nl}Ini, bawalah.	협곡 지역에서 해독제 없이 돌아다니다니, 제정신이 아니군.{nl}자. 여기 받게.
QUEST_20150317_000487	Sudah aku habiskan beberapa hari lalu.  {nl}Sepertinya ada orang lain yang punya.	내가 가진 건 며칠 전에 이미 다 써버렸어.{nl}다른 사람이라면 가지고 있을 지도.
QUEST_20150317_000488	Hari yang cocok untuk Scorpion keluar.  {nl}Gelap dan lembab.	스콜피오가 나타나기 딱 좋은 날씨네요.{nl}눅눅하고, 어둡고.
QUEST_20150317_000489	Banyak Scorpion disini  {nl}Aku merasa merinding saat mendengar bunyi aneh dibawah kakiku.	여긴 참 전갈이 많아요.{nl}어쩌다 발에서 와그작 소리가 나면 뒷목이 서늘하다니까요.
QUEST_20150317_000490	Berhati-hatilah saat hujan dikala senja.  {nl}Scorpion biasanya muncul pada saat seperti ini.	지금처럼 비 오는 어스름한 때를 조심하게.{nl}스콜피오가 나타나기 좋거든.{nl}
QUEST_20150317_000491	Scorpion memiliki bisa yang berbahaya.  {nl}Kamu harus berhati-hati.	요새 스콜피오가 독이 바짝 오를 시기입니다.{nl}조심하셔야 할 겁니다.
QUEST_20150317_000492	Hujan lagi.  {nl}Scorpion mungkin sudah mulai bergerak disekitar.	또 비야.{nl}스콜피오가 슬슬 돌아다니겠어.
QUEST_20150317_000493	Carved Writings	새겨진 글
QUEST_20150317_000494	Aku sudah menyiapkan lima jebakan agar musuh tidak bisa mengambilnya.  {nl}Namun kamu juga tidak bisa lewat jika belum siap.	우리의 적이 감히 손댈 수 없도록 짐은 5개의 난제를 준비 해 두었다.{nl}허나 그대가 준비되어 있지 않다면 그대 또한 넘을 수 없다.{nl}
QUEST_20150317_000495	Carilah. Jalan itu akan terbuka jika terbukti bahwa kamu adalah sang Savior.	찾아라. 진정한 구원자임이 증명 될 때 길이 열릴 것이다.{nl}
QUEST_20150317_000496	Apa yang membuatmu berjalan lurus mengikuti cahaya di tengah ruang yang penuh kegelapan?	어둠으로 가득 찬 장소에서 빛을 향해 걸을 수 있게 만드는 것은 무엇인가.
QUEST_20150317_000497	Semakin kamu berusaha untuk menemukan ini, maka kamu akan semakin kuat, jika kamu tidak menemukannya, kamu akan menjadi lemah.  {nl}Apakah itu?	이것을 찾기 위해 노력할수록 강해질 것이나 찾지 않으면 약해질 것이다.{nl}이것은 무엇인가.
QUEST_20150317_000498	Aide de Camp Selina	부관 셀리나
QUEST_20150317_000499	Kami harus semakin mandiri.  {nl}Kami bahkan menganggap itu sebagai lelucon,   {nl}tapi sekarang itu bukan lelucon lagi.	부대 내에서 자급자족으로 버텨야 하는 기간이 점점 늘어나고 있습니다. {nl}예전엔 이러다 밭이라도 갈겠다며 농담조로 말했지만, 지금은 다들 그럴 법하다는 분위깁니다.
QUEST_20150317_000500	Beholder	주시자
QUEST_20150317_000501	Bukankah itu kamu, seseorang yang melepaskan Goddess Saule.  {nl}Mengapa kamu mempertaruhkan nyawamu untuknya?	사울레 여신을 해방시켜 주었다는 이가 바로 너로구나.{nl}하지만 무엇을 위해 목숨을 거는 거지?{nl}
QUEST_20150317_000502	Kamu tidak perlu menyusahkan dirimu.{nl}Kamu seharusnya mengikuti yang lain dengan mendamaikan dirimu  sendiri{nl}dan meminta pada Goddess untuk mengabulkan permintaanmu.	더 이상 애쓸 필요가 없다.{nl}다른 이들처럼 여신이 기도를 들어주길 바라며 평화에 젖어 있는 게 네가 할 일이다.
QUEST_20150317_000503	Aku telah mengingatkanmu, tapi kamu tidak mendengarkan.	그렇게 충고했는데 도무지 말을 듣질 않는군.
QUEST_20150317_000504	Kamu harus membayar pilihanmu sendiri.	선택의 대가를 치르게 될 것이다.
QUEST_20150317_000505	Aku telah meremehkan kamu.	내가 너를 과소평가했다.{nl}
QUEST_20150317_000506	Ini belum berakhir.  {nl}Aku akan mengawasimu dari Fallen Worry Forest.	허나 이걸로 절대 끝났다고 생각하지 마라.{nl}낙우림에서 지켜볼 테니까.
QUEST_20150317_000507	Peringatan	경고판
QUEST_20150317_000508	Jangan digunakan. Sudah terkontaminasi!	오염으로 사용 금지!!
QUEST_20150317_000509	Ini adalah wahyu pertama yang aku buat.  {nl}Untukmu, mungkin ini adalah yang ketiga.	이 계시는 제가 처음으로 만든 계시입니다.{nl}당신에게 있어선 세 번째 계시이겠지요.{nl}
QUEST_20150317_000510	Kekuatanku melemah setiap aku memasukkan bagian dari diriku kepada wahyu-wahyu ini.  {nl}Saat wahyu ini telah sampai kepada tanganmu, lebih dari ribuan tahun sudah dilalui,  {nl}dan sampai saai itu juga kesadaranku belum pulih.	계시에 제 일부를 담을 때마다 저의 힘은 점점 줄어들 것입니다.{nl}이 계시가 천 년 하고도 더 오랜 뒤에 당신에게 닿았을 때는 이미 의식조차 사라진 뒤일 테지요.{nl}
QUEST_20150317_000511	Karena itu aku harus bertemu dengan guardian untuk melindungi wahyu ini.  {nl}Sayangnya, aku dan saudariku tidak menyetujuinya  {nl}dan kami tidak meninggalkan wahyu itu kepada siapapun.	그렇기에 계시를 지킬 수호자를 반드시 찾아야 했습니다.{nl}하지만 안타깝게도 저와 저의 자매들은 뜻을 달리 했기에 계시를 맡길 수 없었습니다.{nl}
QUEST_20150317_000512	Hanya Saule yang mengikutiku sehingga aku bisa meninggalkan wahyu ini.  {nl}Dan dalam waktu yang sangat panjang, Aku bepergian untuk mencari seorang guardian.	오직 사울레만이 저의 뜻을 따라 주었기에 이 계시를 맡길 수 있을 것입니다.{nl}그리고 나선 아주 오랜 세월동안 수호자를 찾는 여행을 떠나게 되겠지요.{nl}
QUEST_20150317_000513	Saat aku berpikir tentang manusia seperti dirimu, Aku melihat cahaya.  {nl}Para demon juga memandang rendah manusia  {nl}mereka juga tidak akan menyangka bahwa wahyu itu kuberikan kepada manusia.	저는 당신과 같은 인간이라는 존재를 떠올렸을 땐 밝은 빛을 보았습니다.{nl}마족들은 인간을 하찮게 여기기에 계시를 맡길 거라곤 생각치 못하겠지요.{nl}
QUEST_20150317_000514	Tapi yang terpenting, Aku mempercayai manusia.  {nl}Kamu juga harus melihat bahwa  {nl}meskipun terjadi bencana seperti Tree of Despair,  {nl}manusia tetap tidak kehilangan harapan.	하지만 그 무엇보다도 전 인간을 믿었습니다.{nl}그대들이 절망의 나무라 부르는 재앙에도 인간은 쉽게 꺾이지 않음을 당신도 보았을 것입니다.{nl}
QUEST_20150317_000515	Sang Guardian dari wahyu berikutnya adalah orang yang akan menyatukan kerajaan.  {nl}Kamu bisa menemukan wahyu berikutnya di bagian terdalam pada Royal Tomb tempat dimana dia beristirahat.	다음 계시의 수호자는 왕국 통일의 위업을 이룬 인간에게 맡기겠습니다.{nl}그가 잠들어 있는 왕릉의 가장 깊은 곳에서 저의 다음 계시를 얻을 수 있을 것입니다.
QUEST_20150317_000516	The Mausoleum berada di area berbukit.  {nl}Aku akan membuka portal untukmu.	다음 계시가 있다는 왕릉은 협곡지대에 있습니다.{nl}제가 포탈을 열어 드리지요.
QUEST_20150317_000517	Trapped Soul of Soldier	속박된 병사 영혼
QUEST_20150317_000518	Tolong bantu.	도와주십시오.
QUEST_20150317_000519	Bawa aku ke Goddess.	여신께 보내줘.
QUEST_20150317_000520	Ini sangat menyakitkan	고통스럽습니다.
QUEST_20150317_000521	Sepertinya tertidur	잠들어 있는 것 같다.
QUEST_20150317_000522	Enraged Owl Statue	분노한 부엉이 조각상
QUEST_20150317_000523	Tidak ada respon.	반응이 없다.
QUEST_20150317_000524	Regretful Merchant's Soul	미련많은 상인 영혼
QUEST_20150317_000525	Jika kamu tidak mempunyai uang, kamu tidak berbeda dengan orang mati.	돈이 없으면 송장이랑 다를 바가 뭐야.
QUEST_20150317_000526	Seharusnya aku mendengarkan kata-kata istriku.  {nl}Dia bilang aku akan bernasib buruk jika berteman dengan scholars…  {nl}Sepertinya aku harus pergi dari hal seperti ini!	아내 말을 들을걸.{nl}학자 나부랭이들과 가까이 지내면 망한다고 했는데.. 정말 망할 것 같다고!
QUEST_20150317_000527	Sepertinya aku bisa mengganti rugi jika aku mendapatkan item itu…	물건만 어떻게 회수하면 어떻게든 큰 손해는 면할 것 같은데..{nl}
QUEST_20150317_000528	Sleeping Owl Statue	잠든 부엉이 조각상
QUEST_20150317_000529	Sepertinya sedang tertidur pulas	깊게 잠든 것 같다
QUEST_20150317_000530	Tidak merespon sama sekali.	아무런 반응이 없다.
QUEST_20150317_000531	Tidak ada pergerakan.	아무런 미동이 없다.
QUEST_20150317_000532	Tidak dapat membaca tulisan lagi.	글이 더 이상 보이지 않는다.
QUEST_20150317_000533	Memiliki hak untuk mendapat Royal Secret Treasures.	왕실 비보를 얻을 자격이 있다.
QUEST_20150317_000534	Surat-surat tidak bisa dibaca lagi.	글자가 더 이상 보이지 않는다.
QUEST_20150317_000535	Sepertinya sudah tidak berfungsi lagi.	기능이 정지된 거 같다.
QUEST_20150317_000536	Ya…Ini cuaca yang bagus untuk meminum Rum.	거.. 럼주 마시기 딱 좋은 날씨야.
QUEST_20150317_000537	Aku bajak laut yang kehilangan kapal terakhirnya!  {nl}Hmm.. Aku suka panggilan itu.	난 배를 잃어버린 최후의 해적 하이레이번이다!{nl}음.. 마음에 드는군. 마음에 들어. 
QUEST_20150317_000538	Buktikan bahwa kamu kompeten.	당신의 역량을 제게 보여주십시오.
QUEST_20150317_000539	Bahkan jika Goddess tidak ada disekitar, {nl}Oracle masih bisa mengantarkan pesan Goddess ke orang-orang.	여신들께서 부재한 상황이라도 오라클은 여전히 사람들에게 여신의 신탁을 전할 수 있습니다. 
QUEST_20150317_000540	Haha, terima kasih.  {nl} Ingat, itu pasti pohon yang ada di central square.	껄껄, 고맙네그려. {nl}중심 시가에 있는 그 나무가 아니면 절대 안 되니 꼭 명심하게.
QUEST_20150317_000541	Blaster Luina	폭파병 루이나
QUEST_20150317_000542	Hogmas telah menerobos masuk ke celah yang mereka temukan.  {nl}Kita diminta untuk menghancurkan celah tempat mereka masuk.	이번에 발견된 왕릉 입구로 호그마녀석들이 침입하고 있습니다. 의뢰인들은 입구를 파괴하여 호그마들이 더 이상 침입하지 못하게 해달라고 하셨죠.
QUEST_20150317_000543	Tapi setelah terkena serangan, Aku tidak punya bomb lagi.	하지만 습격당한 탓에 제겐 더 이상 폭탄이 없습니다.
QUEST_20150317_000544	Ada bomb yang cukup bagus untuk satu-kali penggunaan di box.  {nl}Gunakan itu untuk menghancurkan barikade yang mereka buat.	상자에 한 번 쓸 분량의 폭탄이 들어있습니다. 그걸 사용해서 호그마 녀석들이 만들어둔 바리케이트를 부수세요.
QUEST_20150317_000545	Dapatkan sesuatu dari mereka yang bisa digunakan untuk bahan peledak.	그리고 녀석들에게서 폭발할만한 물건들을 찾아와 주십시오.
QUEST_20150317_000546	Market Manager	마켓 관리인
QUEST_20150317_000547	Selamat Datang!  {nl}Kamu bisa membeli item yang bagus dengan harga murah jika teliti.  {nl}Tentu saja, itu juga mungkin mengeluarkan jumlah besar pada sesuatu yang seharusnya menjadi murah …	어서 오세요!{nl}잘 둘러보시면 좋은 물건을 싼값에 구할 수 있을지도 모르죠.{nl}그 반대도 물론 가능하답니다.
QUEST_20150317_000548	Proposal Card 	프로포즈 카드
QUEST_20150317_000549	Bunga-bunga mawar masih memiliki aroma. Akan menjadi layu seiring dengan waktu.	아직도 향기가 나는 장미꽃. 말라버린 지 오래된 것 같다.
QUEST_20150317_000550	Benevolent Old Man	인자한 할아버지
QUEST_20150317_000551	Saat aku masih kecil, aku dengar ada demon yang di segel dalam Crystal Mines.  {nl}Jika hal itu benar, berarti kita dalam bahaya besar sekarang.	어렸을 때, 수정광산에 위험한 마족을 봉인했다는 옛날 이야기를 들은 적이 있네.{nl}그게 만약 진짜라면 지금 굉장히 위험한 상황이 아닐까 싶어.
QUEST_20150317_000552	Aku tidak yakin Mine harus beroperasi dalam situasi berbahaya seperti sekarang.  {nl} Meskipun mining adalah pekerjaan pokok, namun nyawa seseorang itu lebih penting tahu.	이렇게 위험한 때에 광산을 운영해도 되는가 모르겠어.{nl}아무리 클라페다가 광산 때문에 먹고 산다지만 사람 목숨이 더 중요할 텐데.
QUEST_20150317_000553	Dulu aku juga seorang Miner.  {nl}Aku sangat jarang melihat monster pada saat itu namun sekarang keadaannya berbeda.	나도 예전엔 광부였지.{nl}그 땐 몬스터라곤 거의 본 적이 없었는데 지금은 말도 못한다 그러더군.
QUEST_20150317_000554	Mereka berkata bahwa banyak peninggalan suci tersembunyi di Tenet Church.  {nl} Aku mendengar beberapa hal untuk memindahkan orang-orang ke tempat dimana orang tidak bisa pergi.. {nl}Greget bukan?	테넷 성당엔 여러가지 성스러운 유물들을 숨겨 놓았다고 그러더군요.{nl}어떤 물건은 아무도 갈 수 없는 곳으로 이동시켜 준다고 하던데.. 신기하죠?
QUEST_20150317_000555	Suatu hari aku akan mencaritahu.  {nl}Meskipun dengan begitu aku harus bertemu dengan Goddess.	언젠간 꼭 알아내고 말 겁니다.{nl}여신을 찾아뵙는 한이 있더라도 말입니다.
QUEST_20150317_000556	Aku tak tahu harus berbuat apa jika kamu seperti itu…	너무 그러시면 제가 더 민망합니다..
QUEST_20150317_000557	Crystal Mine 2nd ditutup sampai ada pemberitahuan selanjutnya demi alasan keamanan.  {nl} - Klaipeda Mines Union	별도의 조치 시까지 수정광산 제2광구는 안전상의 이유로 폐쇄합니다.{nl}- 클라페다 광산 조합
QUEST_20150317_000558	Business Guide	영업 안내
QUEST_20150317_000559	Selamat datang! Ini adalah Mine Worker's Resting Place.  {nl}Kentang hangat dan minuman yang enak sudah tersedia.  {nl}{nl} Waktu operasi : sama seperti waktu mining, mungkin berubah seiring dengan musim.	어서 오세요! 광부 휴게소입니다.{nl}따뜻하게 데운 술과 맛 좋은 감자만두가 준비되어 있습니다.{nl}{nl}영업시간 : 광산 가동 시간과 동일 - 동절기, 하절기에 따라 변화가 있을 수 있습니다.
QUEST_20150317_000560	Notice	안내문
QUEST_20150317_000561	Ini adalah Crystal Mine.  {nl} Sanksi akan diberikan dan kamu akan dipaksa untuk pergi jika kamu tidak mengikuti peraturan.	여기서부터는 수정광산입니다.{nl}아래 사항을 지키지 않을 시 강제 퇴장 및 벌점이 적용됩니다.
QUEST_20150317_000562	1. Selalu gunakan perlengkapan dan helm  {nl}2. Jangan memasuki area yang dilarang  {nl}3. Jangan pernah membawa barang mudah meledak  {nl}4. Ketika kamu melihat monster, jangan menyerang dan laporkan secepatnya.	1. 반드시 보호장비와 안전모 착용{nl}2. 허용된 구역 외 출입 금지{nl}3. 화기 소지 절대 불허{nl}4. 몬스터 발견 시 혼자 상대하지 말고 즉각 보고 할 것.
QUEST_20150317_000563	Dan juga, kita merekrut para pemuda dan keluarga yang ingin pindah.  {nl}- Tempat kerja aman, sehat dan bahagia! Crystal Mine Youth Association	그 외 건강한 청년 구직 희망자 및 이주 희망 가정을 모집하고 있습니다.{nl}- 안전한 일터, 건강한 행복! 수정광산 청년회 일동
QUEST_20150317_000564	Compass	나침반
QUEST_20150317_000565	Pilih Informasi	정보를 선택하세요.
QUEST_20150317_000566	Peringatan	출입 경고문
QUEST_20150317_000567	Ini adalah Entrance of Kateen Forest.  {nl}Untuk bepergian dibutuhkan pengawalan karena banyak monster berbahaya.	이쪽은 카틴 숲 입구입니다.{nl}상당히 위험한 몬스터가 출몰하오니 여행을 자제해 주시길 바랍니다.
QUEST_20150317_000568	Kami sedang melakukan operasi untuk mencapai Gate Route.  {nl}Pengelana harap berhati-hati karena banyak monster berbahaya.  {nl} -Commander Julian	현재 대왕의 관문으로 가는 길을 뚫는 작전을 수행중입니다.{nl}위험한 몬스터가 출몰하오니 이 곳을 지나는 민간인 분들은 유의해 주시길 바랍니다.{nl}- 지휘관 줄리안
QUEST_20150317_000569	Ada rumor tentang hantu yang muncul, sebaiknya kamu menahan diri untuk melewati tempat ini.	유령이 나온다는 소문이 돌고 있사오니 가급적이면 통행을 자제해 주시길 바랍니다.
QUEST_20150317_000570	Mulai dari sini kamu telah memasuki wilayah Thorn Forest.  {nl}Ini sangat berbahaya mohon pikirkan lagi.  {nl}-Liaison Officer Niels	여기서부터는 가시숲으로 정해진 연구지에서 벗어나게 됩니다.{nl}또한 매우 위험한 구역이니 가급적이면 통행을 자제해 주시길 바랍니다.{nl}- 연락관 닐스
QUEST_20150317_000571	Peringatan! Berbahaya! {nl}Keselamatanmu tidak terjamin.	접근 금지! 위험!{nl}그 누구도 당신의 목숨을 보장해 주지 못합니다.
QUEST_20150317_000572	Peringatan! Berbahaya! {nl}Menjauhlah dari sini jika ingin selamat.	접근 금지! 위험!{nl}목숨이 아깝거든 물러서십시오.
QUEST_20150317_000573	Area terlarang.  {nl}Area ini terlarang karena ada kutukan membatu dan monster berbahaya.  {nl}-Commander Benas	통제 구역입니다.{nl}석화의 저주와 흉폭한 몬스터로 인해 통행을 제한합니다.{nl}- 장군 베나스
QUEST_20150317_000574	Wife of a Refugee Family	피난민 가족 아내
QUEST_20150317_000575	Aku mengungsi bersama suamiku, tapi itu lebih menyeramkan dari yang aku bayangkan.	무작정 남편을 따라 나선 피난길인데, 생각보다 훨씬 무서워요.
QUEST_20150317_000576	Old Man of a Refugee Family	피난민 가족의 노부
QUEST_20150317_000577	Aku hanya menunggu meninggal di hari tua,  {nl}berusaha untuk menahan kekayaan saya hanya akan memberikan anak-anak ini kesulitan …	늙어 죽을 날 만 기다리고 있던 내가 무슨 부귀영화를 보겠다고 아이들만 고생시키는지 원..
QUEST_20150317_000578	Aku merasa sedikit lebih aman disini.	여기까지 오니 조금은 안심입니다.
QUEST_20150317_000579	Itu melegakan. {nl}Bisakah kamu kembali ke kota?	정말 다행이예요.{nl}다시 마을로 돌아갈 수 있겠지요?
QUEST_20150317_000580	Oh, kamu bisa sampai kesini.	아이고 여기까지 이렇게 올 수 있다니 정말 다행이오.
QUEST_20150317_000581	Aku merasa sangat lega.	이젠 정말 안심이 되네요.
QUEST_20150317_000582	Terima kasih. Terima kasih banyak.  {nl}Aku yakin Goddess yang mengirimmu untuk menyelamatkan kami.	감사합니다. 정말 감사합니다.{nl}역시 계시자님은 여신께서 저흴 구원하고자 보내주신게 틀림없나봐요.
QUEST_20150317_000583	Terima kasih kawan.	고마운 젊은이로구먼.
QUEST_20150317_000584	Banyak sekali barang yang hilang disini.  {nl}Mungkin para monster yang mengambilnya.	아직도 못찾은 물건들이 더 많습니다. 아마 몬스터들이 가지고 있지 않을까 합니다.
QUEST_20150317_000585	Sepertinya monster lain mengambil barang yang tersisa.	나머진 몬스터들이 가지고 있지 않을까 싶습니다.
QUEST_20150317_000586	Terima kasih kawan.	감사합니다.
QUEST_20150317_000587	Pilgrim	순례자
QUEST_20150317_000588	Aku sangat lapar. Tolong beri Aku sesuatu untuk makan.	너무 배가 고파요. 제게 먹을 걸 주세요.
QUEST_20150317_000589	Itu tidak cukup. Berikan dia daging lagi.	효과가 없다. 고기를 더 주자.
QUEST_20150317_000590	Dia bilang dia merasa pusing.  {nl}Apakah obatnya tidak bekerja?	머리가 어지렸다고 한다. 약효가 있는건가..?
QUEST_20150317_000591	Apa kamu masih lapar?	허기가 사라진건가..?
QUEST_20150317_000592	Sepertinya orang itu dalam masalah.  {nl}Pot ini biasanya dijual kepada pilgrims yang datang untuk berdoa.  {nl}Semua hasil penjualan digunakan untuk memperbaiki Fedimian.	저 양반은 무슨 큰일날 소릴 한담.{nl}이 도자기들은 다른 도시에서 기도하러 온 순례객들에게 팔기도 한다우.{nl}그 수익금은 전부 페디미안 복구 성금으로 들어가지.
QUEST_20150317_000593	Fedimian Worker	페디미안 일꾼
QUEST_20150317_000594	Jika kamu memasukkan doa kamu kedalam pot akan terkabul...  {nl}Aku tahu itu adalah tradisi lama namun Fedimian lebih penting daripada membuat tembikar.	도자기에 소원을 담아 빚으면 이루어진다니.{nl}아무리 전통이라지만 지금은 도자기보단 페디미안을 복구하는게 더 나을 텐데.
QUEST_20150317_000595	Aku hanya mengetahui silver craft, jadi hanya ini yang bisa aku bantu.  {nl}Tentu saja, Aku akan membantu memperbaiki wilayah market jika aku sanggup.	할 줄 아는 게 은공예 뿐이라서 이런 일이나 돕는 거지.{nl}나도 힘만 있다면 상업지구 복구 작업을 돕고 싶다고.
QUEST_20150317_000596	Old Potter	늙은 도공
QUEST_20150317_000597	Workshop milikku telah hancur saat gempa terjadi pada Divine Day.  {nl}Sudah empat tahun sejak aku mengkhawatirkan hidupku.	신수의 날에 페디미안이 지진으로 파괴될 때 내 공방도 날아가 버렸다네.{nl}당장 뭘 먹고 살아야 할지.. 라고 고민하게 된지 벌써 4년이나 지났군.
QUEST_20150317_000598	Biasanya aku mengerjakan silver craft, namun sekarang aku menggunakan kemampuanku untuk menghias tembikar.  {nl}Orang-orang dari penjuru kerajaan datang kesini untuk berdoa dan memohon dengan tembikar itu.	난 원래 은공예를 하면서 먹고 살았는데 지금은 특기를 살려서 도자기 장식을 만들고 있네.{nl}왕국 각지에서 사람들이 소원을 빌기 위해 모여들거든.
QUEST_20150317_000599	Wagon Carrier	수레꾼
QUEST_20150317_000600	Itu adalah sebuah pot untuk menaruh doa.  {nl}Lihatlah di dalamnya ada lempengan tanah yang tertulis doa.  {nl}Beberapa diantaranya, banyak doa yang lucu.	아무래도 소원을 담는 도자기다 보니 도자기 안에 소원을 적은 점토판을 넣기도 하지.{nl}잘 찾아보면 재미있는 소원을 읽어 볼 수도 있을거야.
