QUEST_LV_0200_20150317_000001	Philip's Soldiers	필리파스 직속 부대원
QUEST_LV_0200_20150317_001932	Kamu mengalahkan semua monster di sekitar. Bicara pada soldier Paulter lagi.	근처의 몬스터를 모두 처리했습니다. 병사 폴터와 다시 대화해 보세요.
QUEST_LV_0200_20150317_001933	Mengalahkan monster di sekitar	주변 몬스터 처치
QUEST_LV_0200_20150317_001934	Karena kamu menyerahkan perintah pada soldier Paulter, kembali ke commander Julian dan bicara padanya.	병사 폴터에게 명령서를 전달해 주었으니 다시 지휘관 줄리안에게 돌아가서 대화해 보세요.
QUEST_LV_0200_20150317_001935	Bicara pada commander Oruke	지휘관 오루크와 대화
QUEST_LV_0200_20150317_001936	Commander Julian mau kamu membantu pasukan karena pasukan Oruke terluka karena berbagai pertempuran. Bicara pada commander Oruke di Beltui Intersection.	지휘관 줄리안은 오루크 부대가 크고 작은 전투로 많이 다쳤다면서 그 부대를 지원해 주기를 바라고 있습니다. 벨투이 교차로에 있는 지휘관 오루크와 대화해 보세요.
QUEST_LV_0200_20150317_001937	Kamu mengalahkan Infrogalas yang tetiba menyerang. Bicara pada commander Oruke.	갑자기 기습한 인프로갈라스를 퇴치했습니다. 지휘관 오루크와 다시 대화해 보세요.
QUEST_LV_0200_20150317_001938	Mengalahkan Wood Goblin yang menyerang	습격해오는 우드고블린 처치
QUEST_LV_0200_20150317_001939	Bicara pada Owl Statue yang pergi	떠나가는 부엉이 조각상과 대화
QUEST_LV_0200_20150317_001940	Ada owl sculpture yang ingin mengatakan sesuatu. Bicara pada owl sculpture yang pergi.	뭔가 할 말이 있는 듯한 부엉이 조각상이 있습니다. 떠나가는 부엉이 조각상과 대화해 보세요.
QUEST_LV_0200_20150317_001941	Kalahkan TreeGool di Byreti empty lot	비레티 공터의 트리굴 처치
QUEST_LV_0200_20150317_001942	Para prajurit ingin membantu owl yang pergi. Untuk owl yang pergi, kalahkan TreeGool di Byreti empty lot.	떠나가는 부엉이는 병사들을 돕고 싶어 합니다. 떠나가는 부엉이를 대신해 비레티 공터에서 트리골을 처치해 주세요.
QUEST_LV_0200_20150317_001943	Lapor pada Owl Sculpture yang pergi	떠나가는 부엉이 조각상에게 보고
QUEST_LV_0200_20150317_001944	Seperti kamu telah mengalahkan TreeGool yang kamu temukan. Lapor ke owl sculpture yang pergi.	눈에 보이는 트리골은 모두 처치한 것 같습니다. 떠나가는 부엉이 조각상에게 보고하세요.
QUEST_LV_0200_20150317_001945	Mengalahkan TreeGool	트리골 처치
QUEST_LV_0200_20150317_001946	Bicara pada Oruke	오루크와 대화
QUEST_LV_0200_20150317_001947	Commander Oruke terpukau dengan skillmu setelah melihatmu mengalahkan monster yang tetiba menyerang. Bicara pada commander Oruke.	지휘관 오루크는 기습한 몬스터를 물리친 실력에 감탄하고 있습니다. 지휘관 오루크와 계속 얘기해 보세요.
QUEST_LV_0200_20150317_001948	Cari prajurit di Niurus Highway	니우러스 가도에서 병사 찾기
QUEST_LV_0200_20150317_001949	Commander Oruke berkata bahwa prajurit yang pergi misi tidak kembali. Pergi ke Niurus Highway dan cari para prajurit.	지휘관 오루크는 작전을 수행하러 간 병사들이 돌아오고 있지 않다고 합니다. 니우러스 가도로 가서 병사들을 찾아 보세요.
QUEST_LV_0200_20150317_001950	Bicara pada soldier Kalus	병사 칼루스와 대화
QUEST_LV_0200_20150317_001951	Kamu menyelamatkan soldier Kalus yang lari dari monster. Bicara pada soldier Kalus.	몬스터에게 쫓기고 있던 병사 칼루스를 구해 주었습니다. 병사 칼루스와 대화해 보세요.
QUEST_LV_0200_20150317_001952	Kalahkan monster yang mengancam para prajurit	병사를 위협하는 몬스터 처치
QUEST_LV_0200_20150317_001953	Bicara pada owl sculpture yang menetap	정착한 부엉이 조각상과 대화
QUEST_LV_0200_20150317_001954	Ada owl sculpture yang meragu. Bicara pada owl sculpture yang menetap.	뭔가 말을 못하고 우물쭈물 하는 부엉이 조각상이 있습니다. 정착한 부엉이 조각상과 대화해 보세요.
QUEST_LV_0200_20150317_001955	Kalahkan Wood Goblin di sekitar	주변의 우드 고블린 처치
QUEST_LV_0200_20150317_001956	Owl yang menetap ingin membalas budi pada prajurit yang menyelamatkannya. Untuk membantu prajurit, kalahkan RavineLervas di sekitar.	정착한 부엉이는 자신을 구해준 병사들에게 은혜를 갚고 싶어 합니다. 병사들의 수고를 덜기 위해 주변의 러바인러바를 처치해 주세요.
QUEST_LV_0200_20150317_001957	Kamu mengalahkan semua RavineLervas di sekitar. Bicara pada owl yang menetap.	주변의 러바인러바를 모두 처치했습니다. 정착한 부엉이 조각상과 대화해 보세요.
QUEST_LV_0200_20150317_001958	Kalahkan RavineLervas	러바인러바 처치
QUEST_LV_0200_20150317_001959	Bicara pada soldier Dainews	병사 다이뉴스와 대화
QUEST_LV_0200_20150317_001960	Soldier Dainews bergetar ketakutan. Untuk mencari prajurit lain, bicara pad Dainews.	병사 다이뉴스는 공포에 떨고 있습니다. 다른 병사들을 찾기 위해 다이뉴와 대화해 보세요.
QUEST_LV_0200_20150317_001961	Cari prajurit lain di Drieza dried field.	드리에자 습지에서 다른 병사들 찾기
QUEST_LV_0200_20150317_001962	Soldier Dainerws memberitahumu bahwa mungkin ada prajurit lain di Drieza dried filed. Pergi ke Drieza dried field dan cari prajurit di sana.	병사 다이뉴스는 드리에자 습지에 다른 병사들이 남아있을지도 모른다고 합니다. 드리에자 습지로 가서 병사들을 찾아 보세요.
QUEST_LV_0200_20150317_001963	Kalahkan Ronbaum	아이언바움 처치
QUEST_LV_0200_20150317_001964	Temukan makam di Sunset Flag Forest	해진깃발숲에 있는 무덤을 발견하기
QUEST_LV_0200_20150317_001965	Temukan makam di Sunset Flag Forest	해진깃발숲에 있는 무덤을 발견하세요.
QUEST_LV_0200_20150317_001966	Kalahkan monster besar di Kaklas Cliff	카클라스 낭떠러지의 거대한 몬스터 처치
QUEST_LV_0200_20150317_001967	Kalahkan monster jamur besar seperti yang ada di Kakals Cliff	카클라스 낭떠러지의 버섯 모양의 거대 몬스터를 처치해 주세요.
QUEST_LV_0200_20150317_001968	Kalahkan Mushwort	머쉬워트 처치
QUEST_LV_0200_20150317_001969	Monster besarnya adalah Mushwort	거대한 몬스터의 정체는 머쉬워트였습니다.
QUEST_LV_0200_20150317_001970	Temukan sang messenger	전령 찾기
QUEST_LV_0200_20150317_001971	Commander Vacenin cemas karena messenger berada di dalam hutan. Tolong cari dia jika kamu tidak mau berada di sekitar Sagittarius.	지휘관 바세닌은 숲의 안쪽에 있는 전령이 걱정된다고 합니다. 아마 우는 자리 쯤에 있을 것이라고 하니 그를 쫓아가세요.
QUEST_LV_0200_20150317_001972	Temukan messenger di tempat yang mengkhawatirkan	우는 자리에서 전령 찾기
QUEST_LV_0200_20150317_001973	Commander Basenin cemas akan sang messenger dan memintamu untuk mencarinya. Temukan messenger di dekat tempat yang mengkhawatirkan.	지휘관 바세닌은 보냈던 전령이 걱정된다면서 수색을 부탁한다고 합니다. 우는 자리 근처에서 전령을 찾아 보세요.
QUEST_LV_0200_20150317_001974	Bicara pada fallen messenger	쓰러진 전령과 대화
QUEST_LV_0200_20150317_001975	Dapatkan tas messenger dan bicaralah padanya.	전령의 가방을 회수한 후 전령과 대화 해 봅시다.
QUEST_LV_0200_20150317_001976	Kalahkan monster yang menyerang messenger	전령을 습격한 몬스터 무리 처치
QUEST_LV_0200_20150317_001977	Bicara pada Scott	왕실조사단 스캇과 대화
QUEST_LV_0200_20150317_001978	Ia harus pergi ke Katyn Forest untuk mencari sculptor, namun terlalu bahaya menyebranginya karena ada kecelakaan yang tak diketahui. Tanyakan apa yang bisa kamu lakukan untuknya.	조각가를 찾으러 카틴 숲으로 가야 하는데 알 수 없는 사건으로 인해 지나가기 매우 위험하다고 합니다. 왕실조사단 스캇을 돕기 위해 무얼 해야 하는지 물어 보세요.
QUEST_LV_0200_20150317_001979	Scott mau menginvestigasi moss. Kumpulkan moss dari dock.	왕실조사단 스캇은 사건을 파악하기 전에 이끼를 조사하고 싶다고 합니다. 인적 없는 나루터 근처의 이끼를 모아 오세요.
QUEST_LV_0200_20150317_001980	Kita memiliki cukup moss untuk diperiksa. Kembali ke Scott	이 정도의 이끼면 조사하기엔 충분해 보입니다. 왕실조사단 스캇에게 돌아가세요.
QUEST_LV_0200_20150317_001981	Kumpulkan dari dalam batu	바위에 붙어있는 %s 수집
QUEST_LV_0200_20150317_001982	Scott dengar dari pasukan yang berada dalam daerah penebangan ada rumput yang warnanya unik. Kumpulkan unique grass dari Naudngas area penebangan.	왕실조사단 스캇은 벌목지의 병사들에게서 이상하게 변색된 풀이 자란다는 제보를 받았다고 합니다. 나우딩가스 벌목지에서 변색된 풀을 채집해 옵시다.
QUEST_LV_0200_20150317_001983	Kamu mengumpulkan cukup unique grass. Kembali ke Scott	조사에 필요한 변색된 풀을 충분히 모은 것 같습니다. 왕실조사단 스캇에게 돌아가세요.
QUEST_LV_0200_20150317_001984	Mengumpulkan	%s 채집
QUEST_LV_0200_20150317_001985	Kamu harus melintas ke sini untuk mencari sculptor Katyn Forest yang Petunjuk Goddess  tunjukan, tapi seseorang dengan pakaian tak biasa sedang menginvestigasi sesuatu. Bicara padanya apa yang terjadi.	여신의 계시가 말하는 카틴 숲의 조각가를 찾으러 여길 통과해야 하는데 비범해 보이는 옷을 입은 남자가 뭔가를 열심히 조사중인것 같습니다. 무슨 일인지 대화해 보세요.
QUEST_LV_0200_20150317_001986	Scott bilang ia datang ke sini untuk memeriksa kejadian berbahaya yang terjadi dan menyarankanmu untuk jalan dengannya. Untuk membantu investigasinya, kumpulkan tree bark dari bubbes yang membawa tombak.	왕실조사단 스캇은 자신은 이 숲의 위험한 사건을 조사하기 위해 왔다면서 같이 움직일 것을 제안합니다. 그의 조사를 위해 부베 창병들이 지니고 있는 기분나쁜 나무껍질을 수집해 오세요.
QUEST_LV_0200_20150317_001987	Kamu telah mengumpulkan cukup tree bark. Kembali ke Scott.	기분나쁜 나무껍질을 얼추 모아온 것 같습니다. 왕실조사단 스캇에게 돌아가세요.
QUEST_LV_0200_20150317_001988	Mendapatkan %s dengan mengalahkan Red Bubbee	붉은 부베 약탈자를 처치해 %s 획득
QUEST_LV_0200_20150317_001989	Bicara pada Yukirt	왕실조사단 유커트와 대화
QUEST_LV_0200_20150317_001990	Kamu memblok konspirasi untuk membuat Woodspirit, tapi kamu harus menyingkirkan Woodspirit yang telah dibuat. Bicara pada Yukirt.	우드스피릿을 만드려는 음모는 저지했지만 이미 만들어진 우드스피릿을 처리해야 할 것 같습니다. 왕실조사단 유커트와 대화해 봅시다.
QUEST_LV_0200_20150317_001991	Kalahkan Woodspirit	우드스피릿 퇴치
QUEST_LV_0200_20150317_001992	Kalahkan Woodspirit yang membawa efek buruk pada Forgotten Dock.	잊혀진 나루의 흉흉한 소문의 원흉인 우드스피릿을 퇴치하세요.
QUEST_LV_0200_20150317_001993	Kamu mengalahkan Woodspirit yang membawa efek buruk pada Forgotten Dock. Kembali pada Yukirt.	드디어 잊혀진 나루의 흉흉한 소문의 원흉인 우드스피릿을 퇴치했습니다. 왕실조사단 유커트에게 돌아가세요.
QUEST_LV_0200_20150317_001994	Bicara pada scary Owl Sculpture	두려운 부엉이 조각상과 대화
QUEST_LV_0200_20150317_001995	Scary owl sculpture memanggilmu. Bicara padanya.	두려운 부엉이 조각상이 당신을 애타게 부르고 있네요. 두려운 부엉이 조각상과 대화해 보세요.
QUEST_LV_0200_20150317_001996	Berikan pada commander owl sculpture	성실한 대장 부엉이 조각상에게 전달
QUEST_LV_0200_20150317_001997	Scary owl memintamu untuk mengirimkan wing piece milik temannya. Berikan bagian pada commander owl sculpture di Neuoder Field.	두려운 부엉이는 친구의 날개조각을 전해 달라고 부탁하였습니다. 뉴 오더 벌판에 있는 성실한 대장 부엉이에게 날개조각을 전해 주세요.
QUEST_LV_0200_20150317_001998	Bicara pada commander owl sculpture	성실한 대장 부엉이 조각상과 대화
QUEST_LV_0200_20150317_001999	Commander owl terlihat sedih setelah menerima wing piece. Bicara pada commander owl.	성실한 대장 부엉이는 용감한 부엉이의 날개 조각을 받아 들곤 매우 슬픈 표정을 짓고 있습니다. 성실한 대장 부엉이와 다시 대화해 보세요.
QUEST_LV_0200_20150317_002000	Kirimkan wing ke determined owl sculpture.	의지의 부엉이 조각상에게 날개 전달
QUEST_LV_0200_20150317_002001	Earnest commander owl mau kamu memberikan wing yang diberkahi dengan kekuatan Goddess  pada owl di area ini. Berikan wing piece pada determined owl sculpture di Konpiska Hill.	성실한 대장 부엉이는 이 지역의 부엉이들에게 여신이 힘이 깃든 자신의 날개를 전해주기를 원하고 있습니다. 콩피스카 언덕에 있는 의지의 부엉이 조각상에게 날개 조각을 전해 주세요.
QUEST_LV_0200_20150317_002002	Berikan wing piece pada agonizing owl sculpture	괴로운 부엉이 조각상에게 날개 조각 전달
QUEST_LV_0200_20150317_002003	Earnest commander owl mau kamu memberikan wing yang diberkahi dengan kekuatan Goddess  pada owl di area ini. Berikan wing piece pada determined owl sculpture di Rabbit Grass Hill.	성실한 대장 부엉이는 이 지역의 부엉이들에게 여신이 힘이 깃든 자신의 날개를 전해주기를 원하고 있습니다. 토끼풀 언덕의 괴로운 부엉이 조각상에게 날개 조각을 전해 주세요.
QUEST_LV_0200_20150317_002004	Lapor ke earnest commander owl sculpture	성실한 대장 부엉이 조각상에게 보고
QUEST_LV_0200_20150317_002005	Kamu telah memberikan wing pieace pada semua owl. Kembali ke earnest commander owl dan lapor.	모든 부엉이들에게 날개 조각을 전해 주었습니다. 성실한 대장 부엉이에게 돌아가 보고하세요.
QUEST_LV_0200_20150317_002006	Kalahkan monster yang menyerang owl sculpture	부엉이 조각상을 공격하는 몬스터 처치
QUEST_LV_0200_20150317_002007	Bicara pada patrolling office	순찰병과 대화
QUEST_LV_0200_20150317_002008	Ada patrolling officer yang menatapku beberapa kali. Bicara padanya.	아까부터 날 쏘아보고 있던 순찰병이 있습니다. 그에게 말을 걸어 봅시다.
QUEST_LV_0200_20150317_002009	Nyalakan perapian	모닥불 켜기
QUEST_LV_0200_20150317_002010	Patrolli officer memintamu untuk menyalakan perapian yang mati. Nyalakan perapian tersebut untuknya.	순찰병은 지나가다 꺼진 모닥불이 있으면 다시 켜달라고 부탁하였습니다. 그를 위해 모닥불을  켜 주세요.
QUEST_LV_0200_20150317_002011	Kamu telah menyalakan perapian yang mati. Bicara pada patrolling officer lagi.	지나가다 꺼진 모닥불을 다시 켰습니다. 순찰병과 대화하세요.
QUEST_LV_0200_20150317_002012	Nyalakan perapian	모닥불을  켜 주세요.
QUEST_LV_0200_20150317_002013	Bicara pada commander Felix	장교 필릭스와 대화
QUEST_LV_0200_20150317_002014	Untuk messenger yang sulit bergerak, beritahu Felix bahwa misi telah dimulai.	움직이기 어려운 전령 대신 장교 필릭스에게 작전이 시작되었다고 전해 주세요.
QUEST_LV_0200_20150317_002015	Bicara pada commander Basenin	지휘관 바세닌과 대화
QUEST_LV_0200_20150317_002016	Kembali ke Basenin dan katakan bahwa messenger selamat	바세닌에게 돌아가 전령이 무사하다는 사실을 알려주세요.
QUEST_LV_0200_20150317_002017	Grave protecting owl menginginkan sesuatu. Bicara padanya.	무덤지기 부엉이는 뭔가 갖고 싶은게 있어 하는 눈치입니다. 무덤지기 부엉이와 대화해 봅시다.
QUEST_LV_0200_20150317_002018	Kumpulkan dua spirit stone	두 영혼석을 수집
QUEST_LV_0200_20150317_002019	Grave protecting owl mengatakan ada spirit dengan kebencian yang besar dan mau memiliki spiritnya. Dapatkan dua spirit stone untuk summon spirit.	무덤지기 부엉이는 강력한 원한을 가진 영혼이 있다며 그 영혼을 갖고 싶다고 합니다. 그 영혼을 소환할 수 있는 두 영혼석을 구해 옵시다.
QUEST_LV_0200_20150317_002020	Seperti kamu telah mengumpulkan semua spirit stone untuk summon spirit. Kembali ke grave protectong owl.	영혼을 소환할 수 있는 영혼석을 모두 구한 것 같습니다. 무덤지기 부엉이에게 돌아갑시다.
QUEST_LV_0200_20150317_002021	Bicara dengan grave protecting owl	무덤지기 부엉이조각상과 대화
QUEST_LV_0200_20150317_002022	Sepertinya sesuatu masih ada yang kurang kecuali spirit stone. Bicara pada grave protecting owl.	영혼석만으론 아직 부족한 듯 싶습니다. 무덤지기 부엉이와 대화해 봅시다.
QUEST_LV_0200_20150317_002023	Summon corrupted spirit dan kalahkan	타락한 영혼을 소환하여 처치
QUEST_LV_0200_20150317_002024	Grave protection owl menginginkanmu untuk memiliki bagian yang suci dari spirit. Letakkan spirit stone ke dalam holy box dan purify.	무덤지기 부엉이는 이 영혼의 순수한 부분만을 갖고 싶어 하는 것 같습니다. 영혼석을 성물함에 넣고 정화하세요.
QUEST_LV_0200_20150317_002025	Sepertinya kamu telah mempurify spirit seperti yang grave protection owl mau. Kembali ke grave protection owl.	무덤지기 부엉이가 원하는 대로 영혼을 정화시킨 것 같습니다. 무덤지기 부엉이에게 돌아가 봅시다.
QUEST_LV_0200_20150317_002026	Mendapatkan dengan mengalahkan collapsed spirit	타락한 영혼을 처치해 %s 획득
QUEST_LV_0200_20150317_002027	Ada yang harus desperate owl lakukan. Bicara pada owl.	간절한 부엉이가 뭔가 해야 할 일이 있는 듯 합니다. 간절한 부엉이와 대화해 보세요.
QUEST_LV_0200_20150317_002028	Kumpulkan Miduza Larvas	미듀쟈 유충 수집
QUEST_LV_0200_20150317_002029	Desperate owl mengatakan ia mau menyimpan beberapa spirit. Kumpulkan Miduza Larvas yang menyerap memories of spirit.	간절한 부엉이는 꼭 구하고 싶은 영혼들이 있다고 합니다. 영혼의 기억을 흡수하는 미듀자 유충을 수집하세요.
QUEST_LV_0200_20150317_002030	Sepertinya kamu telah mengumpulkan cukup memories of spirit. Berikan pada desperate owl.	이 정도면 영혼의 기억을 충분히 모은 것 같습니다. 간절한 부엉이에게 갖다 주세요.
QUEST_LV_0200_20150317_002031	Bicara pada spirit of escot soldier yang memiliki banyak penyesalan	미련많은 호위병 영혼과 대화하세요
QUEST_LV_0200_20150317_002032	Spirit of escort soldier memiliki banyak penyesalan dan putus asa mencarinya. Bicara dengan spirit lagi.	미련많은 호위병 영혼은 마님을 애타게 찾고 있습니다. 미련많은 호위병 영혼과 다시 대화해 보세요.
QUEST_LV_0200_20150317_002033	Kalahkan Colimenprus di dekat wagon	마차 주변 콜리스텀프를 처치하세요
QUEST_LV_0200_20150317_002034	Spirit of escort soldier harus melindunginya, tapi ia terlalu lelah untuk menggunakan sisa tenaganya. Singkirkan Collimenprus di dekat wagon untuk spirit.	미련많은 호위병 영혼은 몬스터로부터 마님을 지켜야 하지만 너무 지쳐서 몸에 힘이 들어가질 않는다고 합니다. 미련많은 호위병 영혼을 위해 마차 주변의 콜리스텀프를 없애 줍시다.
QUEST_LV_0200_20150317_002035	Setelah mengalahkan Collimenprus di dekat wagon, spirit merasa puas.	마차 주변의 콜리스텀프를 없애니 미련많은 호위병이 만족하는 것 같습니다.
QUEST_LV_0200_20150317_002036	Mengalahkan Collimenprus	콜리스텀프 처치
QUEST_LV_0200_20150317_002037	Bicara pada spirit of merchant dengan banyak penyesalan	미련많은 상인 영혼과 대화하세요
QUEST_LV_0200_20150317_002038	Sepertinya ada spirit yang menolak keselamatan karena memiliki banyak penyesalan di dunia. Temukan spirit of merchant dengan banyak penyesalan dan bicara dengannya.	뭔가 아직도 세상에 미련이 많아서 구원을 거부하는 영혼이 있는 것 같습니다. 미련많은 상인 영혼을 찾아 대화해 보세요.
QUEST_LV_0200_20150317_002039	Temukan Luggage merchant yang sedang kesal	미련많은 상인의 짐 꾸러미 찾기
QUEST_LV_0200_20150317_002040	Merchant kesal karena kehilang semua Luggage-nya. Apakah kamu bisa menemukan semua Luggagenya?	상인은 자신의 짐 꾸러미들을 잃어버린게 큰 불만인 것 같습니다. 상인의 짐 꾸러미를 모두 찾아 주면 구원받을 수 있을까요?
QUEST_LV_0200_20150317_002041	Setelah menemukan semua Luggage, merchant yang kesal sepertinya sudah puas sekarang.	짐 꾸러미를 전부 찾아 주자 미련많은 상인의 영혼은 이제서야 만족한 것 같습니다.
QUEST_LV_0200_20150317_002042	Bicara pada Spirit of scholar yang sedang kesal	미련많은 학자 영혼와 대화
QUEST_LV_0200_20150317_002043	Spirit of scholar yang sedang kesal berusaha membantu seseorang. Bicara dengannya lagi.	미련많은 학자 영혼은 누군가를 지키려고 했던 것 같습니다. 미련많은 학자 영혼과 다시 대화해 보세요.
QUEST_LV_0200_20150317_002044	Mendapatkan Ripped Order Paper	찢겨진 주문서 회수
QUEST_LV_0200_20150317_002045	Spirit memberitahu bahwa kamu membutuhkan Order Paper untuk menyelamatkannya. Dapatkan Ripped Paper dari Lapasape.	미련많은 학자 영혼은 마님을 지키기 위해선 주문서가 필요하다고 합니다. 라프세이프에게서 찢겨진 주문서를 되찾아 오세요.
QUEST_LV_0200_20150317_002046	Setelah menemukan order paper, spirit terlihat senang.	주문서를 되찾자 미련많은 학자 영혼이 만족한 듯 합니다.
QUEST_LV_0200_20150317_002047	Bicara pada wandering adventurer's spirit	길 잃은 여류 탐험가 영혼과 대화
QUEST_LV_0200_20150317_002048	Sepertinya kamu menemukan spirit of wandering adventurer yang tidak tahu mau melakukan apa. Bicaralah dengannya.	안절부절하는 길 잃은 여류 탐험가 영혼을 찾은 것 같습니다. 길 잃은 여류 탐험가 영혼과 대화해 봅시다.
QUEST_LV_0200_20150317_002049	Tulis apa isi epitaph	추모비의 내용 적기
QUEST_LV_0200_20150317_002050	Spirit of wandering adventurer akhirnya menemukan epitah, tapi ia tidak bisa bergerak. Untuk adventurer, salin isi epitaph.	길 잃은 여류 탐험가 영혼은 찾던 추모비를 드디에 발견했지만 왜인지 발이 떨어지질 않는다고 합니다. 길 잃은 여류 탐험가를 위해 추모비의 내용을 베껴다 주세요.
QUEST_LV_0200_20150317_002051	Spirit of wandering adventurer sepertinya puas sekarang. Kembali ke desperate owl sculpture.	길 잃은 여류 탐험가 영혼은 이제 만족한 듯 싶습니다. 간절한 부엉이 조각상에게 다시 돌아가세요.
QUEST_LV_0200_20150317_002052	Bicara dengan desperate owl sculpture	절박한 부엉이 조각상과 대화
QUEST_LV_0200_20150317_002053	Aku bisa melihat bayangan desperate owl. Bicara dengan desperate owl.	절박한 부엉이에게서 시름 섞인 그늘이 보이는 것 같습니다. 절박한 부엉이와 대화해 보세요.
QUEST_LV_0200_20150317_002054	Desperate owl takut sekarang di dalam api Sequoia. Padamkan api Sequoia untuk desperate owl.	절박한 부엉이는 세콰이아의 불길에 타 죽는 것이 무서운 것 같습니다. 절박한 부엉이를 위해 세콰이아의 불길을 처치해 주세요.
QUEST_LV_0200_20150317_002055	Sepertinya api Sequoia tidak terlalu kuat lagi. Kembali ke desperate owl.	세콰이아의 불길이 어느 정도 잦아든 것 같습니다. 절박한 부엉이에게 돌아가 보세요.
QUEST_LV_0200_20150317_002056	Bicara pada commander Danews	장교 다뉴스와 대화
QUEST_LV_0200_20150317_002057	Kamu bisa melihat commander Danews kelelahan. Bicara pada commander.	지쳐 보이는 장교 다뉴스가 보입니다. 장교 다뉴스와 대화해 보세요.
QUEST_LV_0200_20150317_002058	Kalahkan monster yang mengejar pasukan di belakang.	후방부대를 노리는 몬스터 처치
QUEST_LV_0200_20150317_002059	Commander Danews berkata bahwa pasukannya terisolasi karena monster. Kalahkan monster di sekitar untuk squad Danews.	장교 다뉴스는 자신의 후방부대가 몬스터 때문에 고립되어 힘들다고 합니다. 다뉴스의 부대를 위해 주변 몬스터를 처치해 주세요.
QUEST_LV_0200_20150317_002060	Aku rasa pasukan bisa dibebaskan dari monster sekarang. Bicara pada commander Danews.	이 정도면 몬스터의 고립에서 벗어날 수 있을 것 같습니다. 장교 다뉴스와 대화해 보세요.
QUEST_LV_0200_20150317_002061	Bicara pada weak owl sculpture	약한 부엉이 조각상과 대화
QUEST_LV_0200_20150317_002062	Ada banyak owl sculpture yang membimbing Katyn Forest. Dengarkan cerita weak owl sculpture.	카틴 숲에는 영혼을 인도하는 부엉이 조각상들이 있습니다. 약한 부엉이 조각상의 이야기를 들어보세요.
QUEST_LV_0200_20150317_002063	Kumpulkan mayat prajurit	병사들의 유해 수습
QUEST_LV_0200_20150317_002064	Mereka adalah prajurit dengan cerita yang menyedihkan. Setelah mengumpulkan mayatnya, bawa ke weak owl.	안타까운 사연을 가지고 있는 병사들이었습니다. 그들의 유해를 거두어 약한 부엉이에게 가져다 주세요.
QUEST_LV_0200_20150317_002065	Weak owl yang seharusnya menenangkan para prajurit sedang dalam masalah. Bicara dengannya.	병사들을 달래줘야 할 약한 부엉이가 무언가 곤경에 처한 것 같습니다. 약한 부엉이와 대화해 보세요.
QUEST_LV_0200_20150317_002066	Kumpulkan barang milik prajurit	병사들의 유품 수집
QUEST_LV_0200_20150317_002067	Weak owl berusaha menenangkan prajurit yang tewas dengan mayat, namun karena lemah jadi tidak bisa menenangkan. Untuk menenangkan prajurit, kumpulkan barang milik prajurit.	약한 부엉이는 유해만으로 어떻게든 죽은 병사들을 달래보려고 했지만 힘이 부족해서 달랠 수가 없다고 합니다. 죽은 병사들을 위로하기 위해 유품을 수집하세요.
QUEST_LV_0200_20150317_002068	Bicara pada weak owl dengan barang milik prajurit yang tewas yang telah kamu kumpulkan.	죽은 병사들을 위해 모아온 병사들의 유품을 가지고 약한 부엉이와 대화하세요.
QUEST_LV_0200_20150317_002069	Mendapatkan %s dengan mengalahkan Ellomango	엘로마고 처치 후 %s 획득
QUEST_LV_0200_20150317_002070	Soldiers' Belongings	병사들의 유품
QUEST_LV_0200_20150317_002071	Prajurit yang tewas sepertinya puas dengan barang miliknya. Bicara pada weak owl.	죽은 병사들은 유품으로 만족하는 것 같습니다. 약한 부엉이와 대화해 보세요.
QUEST_LV_0200_20150317_002072	Kumpulkan fragrance of butterflies	나비향 수집
QUEST_LV_0200_20150317_002073	Weak owl mau memberikanmu gragrance of hometown untuk para prajurit yang tewas mengikuti perintah sebagai hadiah. Kumpulkan gragrance of butterflies dari semak-semak di Braod Leaves.	약한 부엉이는 자신의 인도를 잘 따라준 죽은 병사들에게 고향의 향기를 선물하고 싶어 합니다. 잎이 넓은 덤불 더미에서 나비향을 수집해 옵시다.
QUEST_LV_0200_20150317_002074	Sepertinya kamu sudah mengumpulkan cukup gragrance of butterflies yang akan diberikan pada prajurit yang tewas. Kembali ke weak owl.	죽은 병사들에게 선물할 나비향을 모두 모은 것 같습니다. 약한 부엉이에게로 되돌아 갑시다.
QUEST_LV_0200_20150317_002075	Pendoa untuk para spirit yang menyedihkan	불쌍한 영혼을 위한 기도
QUEST_LV_0200_20150317_002076	Spirt yang telah tewas tertidur di garden of comfort dekat statue of Goddess . Berdoalah di depan statue of Goddess  dan tenangkan para spirit.	위로의 정원에는 여신상 주변으로, 안타깝게 세상을 떠난 영혼들이 안치되어 있습니다. 여신상에 기도를 올려 그 영혼들의 넋을 달래 주세요.
QUEST_LV_0200_20150317_002077	Lakukan memorial ceremony	위령제를 지내기
QUEST_LV_0200_20150317_002078	Ketika kamu berdoa di depan Goddess , spirit dengan penyesalan mulai berkumpul di statue of Goddess ! Lindungi spirit ini berdasarkan waktu yang ditentukan.	여신상에 기원을 드리자마자 한맺힌 영혼들이 여신상에 인도되기 시작했습니다! 정해진 시간 동안 이 영혼들을 지켜 주세요.
QUEST_LV_0200_20150317_002079	Bicara pada sculpture of the sad owl	슬픈 부엉이 조각상과 대화
QUEST_LV_0200_20150317_002080	Ada banyak owl sculpture yang membimbing Katyn Forest. Dengarkan cerita sad owl sculpture.	카틴 숲에는 영혼을 인도하는 부엉이 조각상들이 있습니다. 슬픈 부엉이 조각상의 이야기를 들어보세요.
