ETC_20150317_000001	Kepa	케파
ETC_20150317_006363	Meeting Plaza	만남의 광장
ETC_20150317_006364	Klajone Access Road	위드로카 진입로
ETC_20150317_006365	Mirshta Pond	미르쉬타 연못
ETC_20150317_006366	Meile Oratorium	메일레 경당
ETC_20150317_006367	Pamaldu Groom	파말두 신랑
ETC_20150317_006368	Collapsed Dom	무너져내린 돔
ETC_20150317_006369	Arka Chapel	아르카 예배실
ETC_20150317_006370	Reception Room	접견실
ETC_20150317_006371	Veinkika Altar	베이니카 제단
ETC_20150317_006372	Uolie Chapel	우올리에 예배실
ETC_20150317_006373	Altar of Stability	안정의 제단
ETC_20150317_006374	Small Hall	소회당
ETC_20150317_006375	Liudesy Highway	리우데지 가도
ETC_20150317_006376	Olivinas Vacant Lot	올리비나스 공터
ETC_20150317_006377	Fasadu Rest Area	파사두 쉼터
ETC_20150317_006378	Laukti Antenave	라욱티 배랑
ETC_20150317_006379	Atejima Concourse	아테지마 중앙홀
ETC_20150317_006380	Small Reception Room	소 접견실
ETC_20150317_006381	Altar Pasara	파사라 제단
ETC_20150317_006382	Tikintie Gallery	티킨티에 제랑
ETC_20150317_006383	Ishgaki Rest Area	이쉬가키 쉼터
ETC_20150317_006384	Gryna Upriver	그리나 수원지
ETC_20150317_006385	Purine Fork	퓨리네 갈림길
ETC_20150317_006386	Temdyti Intersection	템디티 교차로
ETC_20150317_006387	Mirzina Hill	미르지나 기슭
ETC_20150317_006388	Rankina Vacant Lot	랑키나 공터
ETC_20150317_006389	Slaptu Lowland	슬랍투 저지대
ETC_20150317_006390	Paslje Rest Area	파슬례 샘터
ETC_20150317_006391	Suzadini Three-way	수자디니 삼거리
ETC_20150317_006392	Pieva Hill	피에바 언덕
ETC_20150317_006393	Sevyni Yard	세비니 정원
ETC_20150317_006394	Svaigul Hill	스바이굴 언덕
ETC_20150317_006395	Apsvaigy Path	압스바이기 굽잇길
ETC_20150317_006396	Smakra Hill	스마크라 기슭
ETC_20150317_006397	Amesti Uphill	아메스티 오름길
ETC_20150317_006398	Neglected place for grave	방치된 무덤자리
ETC_20150317_006399	Pastuma Brook	파스투마 개울
ETC_20150317_006400	Uzjetsu Garden	유졔츠 정원
ETC_20150317_006401	Mining Area 1	제1 채굴구역
ETC_20150317_006402	Mining Area 2	제2 채굴구역
ETC_20150317_006403	Mining Area 3	제3 채굴구역
ETC_20150317_006404	Reinforcement Work Area	보강 작업 구역
ETC_20150317_006405	Crystal Tunnel	수정 갱도
ETC_20150317_006406	Unexplored area	미굴착 구역
ETC_20150317_006407	Exhaustion Area 1	고갈 1 구역
ETC_20150317_006408	Closed temporary rest area	폐쇄된 임시 휴게소
ETC_20150317_006409	Ground Failure Area	지반 붕괴 구역
ETC_20150317_006410	Exhaustion Area 2	고갈 2 구역
ETC_20150317_006411	Meeting hall Site	집회장 터
ETC_20150317_006412	Collapsed Square Wall	무너진 광장 외벽
ETC_20150317_006413	Plaza	대광장
ETC_20150317_006414	Blacksmith Street	대장장이 거리
ETC_20150317_006415	A meeting room just leaving a trace	흔적만 남은 집회소
ETC_20150317_006416	A front yard of house	공회소 앞뜰
ETC_20150317_006417	Petrified Garden	석화된 정원
ETC_20150317_006418	Street of master craftsman	장인의 거리
ETC_20150317_006419	Commercial District	상업 지구
ETC_20150317_006420	Watchtower	망루
ETC_20150317_006421	Gerove Workshop Site	게로베 공방 터
ETC_20150317_006422	Palduo Plaza Site	팔듀오 광장 터
ETC_20150317_006423	Customs Site	세관 터
ETC_20150317_006424	Trade District	교역 지구
ETC_20150317_006425	Ruklys bill Square	루클리스 대광장
ETC_20150317_006426	Pergele Highway	페르겔레 대로
ETC_20150317_006427	Drasa Chapel Demolition	드라사 예배소 폐허
ETC_20150317_006428	Noble Residential District	귀족 주거 지구
ETC_20150317_006429	Barracks District	군사 지구
ETC_20150317_006430	Collapsed Triumphal Arch	무너져내린 개선문
ETC_20150317_006431	Estuary Bank Junction	하구 둑 삼거리
ETC_20150317_006432	Zmoniu Square	즈모네 광장
ETC_20150317_006433	Destroyed Amosi Dock	파괴된 아모시 선착장
ETC_20150317_006434	Watermill Ruins	물레방앗간 폐허
ETC_20150317_006435	Residential District	주거 지구
ETC_20150317_006436	Visko Sanctum Ruins	비스카 성소 폐허
ETC_20150317_006437	Vadovo Dock	바도바 선착장
ETC_20150317_006438	Kovos Hall Site	코보스 전당 터
ETC_20150317_006439	Stone Icicle Square	돌고드름 광장
ETC_20150317_006440	Nevekia Castle	네베키아 성채
ETC_20150317_006441	Castle Bastion	성채 보루
ETC_20150317_006442	Small Square	소광장
ETC_20150317_006443	Assembly Area	집결지
ETC_20150317_006444	Lenteleja Highway	렌테레자 가도
ETC_20150317_006445	Zaliavin Valley	잘리아빈 계곡
ETC_20150317_006446	Miglan Hill	미글랑 언덕
ETC_20150317_006447	Kuboti Hill	쿠보티 고개
ETC_20150317_006448	Ledas Valley	레다스 계곡
ETC_20150317_006449	Beverti Intersection	베버티 교차로
ETC_20150317_006450	Didela Cliff	디델라 낭떠러지
ETC_20150317_006451	Grubus Highway	그루부스 가도
ETC_20150317_006452	Broken Path	끊어진 길
ETC_20150317_006453	Drozyba Cliff	드로지바 절벽
ETC_20150317_006454	Liezube Lowland	리에주베 저지대
ETC_20150317_006455	Pazine Brook	파지네 개울가
ETC_20150317_006456	Prasti Hill	프라스티 고개
ETC_20150317_006457	Stadyti Hill	스타디티 기슭
ETC_20150317_006458	Shiauras Valley	샤우라스 골짜기
ETC_20150317_006459	Atidalti Field	아티달티 평원
ETC_20150317_006460	Susive Hill Areas	수지베 구릉지
ETC_20150317_006461	Rodykle Highway	로디클레 가도
ETC_20150317_006462	Lowacti Vacant Lot	로왁티 공터
ETC_20150317_006463	Crossroad Camp	교차로 캠프
ETC_20150317_006464	Uoros Farm	유오로스 농장 터
ETC_20150317_006465	Delon shelter	들롱 쉼터
ETC_20150317_006466	Small Robin Bridge	작은 울새 다리
ETC_20150317_006467	Flude island	플루데 섬
ETC_20150317_006468	Shadow Forest Road	그늘 숲 가도
ETC_20150317_006469	Eastern Woods Camp	동쪽 숲 캠프
ETC_20150317_006470	Camp sites	캠프 거점
ETC_20150317_006471	Supplies Camp	보급지
ETC_20150317_006472	Bulves Farm	불볘스 농장
ETC_20150317_006473	Nudegi Felled Area	누데기 벌목지
ETC_20150317_006474	Crystal Mine Entrance	수정광산 입구
ETC_20150317_006475	Miner's Village Square	광산 마을 광장
ETC_20150317_006476	Shelter	피난처
ETC_20150317_006477	Twin Bridge	쌍둥이 다리
ETC_20150317_006478	Vubbe Outpost	부베 전초기지
ETC_20150317_006479	Naudingas Felled Area	나우딩가스 벌목지
ETC_20150317_006480	Uninhabited Crossing	인적 없는 나루터
ETC_20150317_006481	Deer Hooves Lot	사슴발굽 공터
ETC_20150317_006482	Watchtower	감시탑
ETC_20150317_006483	Gebene Cliff	게베네 절벽
ETC_20150317_006484	Gatves Highway	갓베스 가도
ETC_20150317_006485	Groundsle Hill	곰취 언덕
ETC_20150317_006486	Atsylka Rest Area	아찔카 쉼터
ETC_20150317_006487	Neuoder Field	뉴오더 벌판
ETC_20150317_006488	Ishrai Intersection	이쉬라이 사거리
ETC_20150317_006489	Kongfiska Hill	콩피스카 언덕
ETC_20150317_006490	Clover Highland	토끼풀 고원
ETC_20150317_006491	Rearguard Unit Camp	후방부대 주둔지
ETC_20150317_006492	Center Unit Camp	중앙 부대 주둔지
ETC_20150317_006493	Razygis Hill	라지기스 언덕
ETC_20150317_006494	Zitiz Foot	지티즈 기슭
ETC_20150317_006495	Izdaginakas Highway	이즈다깅카스 가도
ETC_20150317_006496	Occupation Forces Garage	주둔군 차고지
ETC_20150317_006497	Gyveni Garden	지베니 정원
ETC_20150317_006498	Flag Boot Camp	간이 신병 훈련소
ETC_20150317_006499	Buvylvite Large Bridge	부뷜비떼 대교
ETC_20150317_006500	Morkos Farm	모르꼬스 농장
ETC_20150317_006501	Greate Stone Face Hill	큰바위얼굴 언덕
ETC_20150317_006502	Garrison supply camp	주둔군 보급지
ETC_20150317_006503	Vubbe Plunder Base	부베 약탈 기지
ETC_20150317_006504	The First Supply Room	제1 보급창고
ETC_20150317_006505	The Second Supply Room	제2 보급창고
ETC_20150317_006506	Center Supply Camp	중앙 보급 기지
ETC_20150317_006507	Adatag Highway	아다타 가도
ETC_20150317_006508	Amzina Curved Path	암지나 굽잇길
ETC_20150317_006509	Ziedo Pond	지에도 연못
ETC_20150317_006510	Malkos Felled Area	말코스 벌목지
ETC_20150317_006511	The Fourth Supply Room	제4 보급창고
ETC_20150317_006512	The Third Supply Room	제3 보급창고
ETC_20150317_006513	Central Plaza	중앙 광장
ETC_20150317_006514	KLatyne Forest Camp	카틴 숲 캠프
ETC_20150317_006515	Peljeda Intersection	펠례다 사거리
ETC_20150317_006516	Uzesy Hill	유제지 언덕
ETC_20150317_006517	Purple Pond	보랏빛 샘터
ETC_20150317_006518	Grobis Intersection	그로비스 사거리
ETC_20150317_006519	Crying Place	우는 자리
ETC_20150317_006520	Butterfly Tobm	나비 무덤
ETC_20150317_006521	Garden of consolation	위로의 정원
ETC_20150317_006522	Tomb Spider Nest	무덤 거미 둥지
ETC_20150317_006523	Nelasve Fork	넬라스볘 기슭
ETC_20150317_006524	Amolallul Hill	아몰라룰 언덕
ETC_20150317_006525	Nuapti Lowland	누압티 저지대
ETC_20150317_006526	Bastytis Field	바스티티스 벌판
ETC_20150317_006527	Tomb of unknown soldier	무명용사의 무덤
ETC_20150317_006528	Twin Hill	샴쌍둥이 언덕
ETC_20150317_006529	Bonewide Cliff	뼈바람 절벽
ETC_20150317_006530	Duoklu Hall	듀오클뤼 전당
ETC_20150317_006531	Sudejeti Valley	수제티 계곡
ETC_20150317_006532	Stone Hill	돌무지 언덕
ETC_20150317_006533	Cradle of squire	세콰이아의 요람
ETC_20150317_006534	Resting place of mine workers	광부 휴게소
ETC_20150317_006535	District 2	2구역
ETC_20150317_006536	District 3	3구역
ETC_20150317_006537	District 4	4구역
ETC_20150317_006538	District 5	5구역
ETC_20150317_006539	District 6	6구역
ETC_20150317_006540	District 1	1구역
ETC_20150317_006541	District 7	7구역
ETC_20150317_006542	Research Camp	조사단 캠프
ETC_20150317_006543	Beacon mound Hill	봉화대 고개
ETC_20150317_006544	Dulkiu Hill	둘키우 언덕
ETC_20150317_006545	Zeme Highland	제메 고원
ETC_20150317_006546	Metos Field	메토스 들판
ETC_20150317_006547	Abandoned Old Work Place	버려진 옛 작업장
ETC_20150317_006548	Kapas Highway	카파스 가도
ETC_20150317_006549	Apvija Hill	앱비자 언덕
ETC_20150317_006550	Pamirstas Highland	파미르짓 고원
ETC_20150317_006551	Mazonas Rest Place	마조나스 쉼터
ETC_20150317_006552	Pasagos Cliff	파사가 절벽
ETC_20150317_006553	Zluges Historic Site	즈루기 유적지
ETC_20150317_006554	Pillars of the Courtyard	기둥의 뜰
ETC_20150317_006555	Dzida Cliff	드지다 절벽
ETC_20150317_006556	Collapsed Sanctum	무너진 성소
ETC_20150317_006557	Excavation Team Camp	발굴단 캠프
ETC_20150317_006558	Odega Uphill	오데가 언덕길
ETC_20150317_006559	Apynys Habitat	아피니스 군락지
ETC_20150317_006560	Alkune Stairway	알쿠네 계단길
ETC_20150317_006561	Vienisa Highland	비에니사 고원
ETC_20150317_006562	Ratas Fork	라타스 갈림길
ETC_20150317_006563	Nutoles Cliff	누오토리 절벽
ETC_20150317_006564	Rodoma 1st Ruins	로도마 제1 유적지
ETC_20150317_006565	Cabin of tomb guard	무덤지기의 오두막
ETC_20150317_006566	Rodoma 2nd Ruins	로도마 제2 유적지
ETC_20150317_006567	Collapsed Stone Pillar Bridge	무너진 돌기둥 다리
ETC_20150317_006568	Zibintu Uphill	지빈타 고갯마루
ETC_20150317_006569	Geltonas Highland	겔토나스 고원
ETC_20150317_006570	Stone Pillar Hill	돌기둥 언덕
ETC_20150317_006571	Isvalyta Historic Site	이즈발리타 유적지
ETC_20150317_006572	Shirnas Highland	쉬르나스 고원
ETC_20150317_006573	Dykyne Fork	디키네 갈림길
ETC_20150317_006574	Apatinis Cliff	아파티 벼랑
ETC_20150317_006575	Nepatogu Field	네파토구 벌판
ETC_20150317_006576	Neck Cliff of snake	뱀의 목 절벽
ETC_20150317_006577	Camp of Varkis	바키스의 캠프
ETC_20150317_006578	Forest of Fireflies	반딧불이의 숲
ETC_20150317_006579	Chesed Altar	헤세드의 제단
ETC_20150317_006580	Gedulah Altar	게둘라의 제단
ETC_20150317_006581	Sviecia Altar	스비에샤의 제단
ETC_20150317_006582	Damaged findspot	훼손된 발굴지
ETC_20150317_006583	Keturka Access Road	케툴카 진입로
ETC_20150317_006584	Rikiuoti Access Road	리키우오티 진입로
ETC_20150317_006585	Ishplau Crossroads	이쉬플라우 사거리
ETC_20150317_006586	Hall of the Past	과거의 전당
ETC_20150317_006587	Traceless Ruins	흔적 없는 폐허
ETC_20150317_006588	Sesija Entrance	세시자 도열주랑
ETC_20150317_006589	Margas Hill	마르가스 동산
ETC_20150317_006590	Cholras Winding Road	촐라스 굽잇길
ETC_20150317_006591	Shuvirpinti Shelter	슈뷜핀티 쉼터
ETC_20150317_006592	Mieguista Slope	미에귀스타 언덕길
ETC_20150317_006593	Nevapy Grassland	네파비 양지
ETC_20150317_006594	Nuosalus Trail	뇨살루스 가도
ETC_20150317_006595	Spalva Junction	스팔바 삼거리
ETC_20150317_006596	Giedra Field	기에드라 평원
ETC_20150317_006597	Tustinti Plateau	투스틴티 고원
ETC_20150317_006598	Forest Guard Cabin	숲지기 오두막
ETC_20150317_006599	Labure Highway	라부레 가도
ETC_20150317_006600	Valio Mountain Cabin Hill	발리오 산장 고개
ETC_20150317_006601	Pasiulyma Field	파슐리마 벌판
ETC_20150317_006602	Mazas Rest Place	마자즈 쉼터
ETC_20150317_006603	Tree Guard Post	나무 초소
ETC_20150317_006604	Mairunas Knoll	마이루나스 동산
ETC_20150317_006605	Pumpura Hill	퓸푸라 언덕
ETC_20150317_006606	Virve Ridge	빌베 능선
ETC_20150317_006607	Piliaroze Mountaintop	필랴로제 봉우리
ETC_20150317_006608	Uzbaigi Hillside	우즈바이기 고지대
ETC_20150317_006609	Naslaite Cliff Path	나쉴나이떼 벼랑굽이
ETC_20150317_006610	Flower Greeting Hill	꽃맞이 고개
ETC_20150317_006611	Valyma Sanctum	발리마 성소
ETC_20150317_006612	Levanda Habitat	르반다 군락지
ETC_20150317_006613	Rojus Plateau	로주스 고원
ETC_20150317_006614	Ziodadulke Fork	졔다둘케 갈림길
ETC_20150317_006615	Lashias Highway	라쉬아스 가도
ETC_20150317_006616	Piene Field	피에네 들판
ETC_20150317_006617	Temple Courtyard	성당 안뜰
ETC_20150317_006618	Sparmu Parvis	스파르무 주랑
ETC_20150317_006619	Sidabras Rest Place	시다브라스 쉼터
ETC_20150317_006620	Slapia Path	슬라퍄 오솔길
ETC_20150317_006621	Nugria Sanctum	누그리아 성소
ETC_20150317_006622	Zvelgian Vacant Lot	즈벨쟌 공터
ETC_20150317_006623	Veidma Uphill	베이드마 오름길
ETC_20150317_006624	Holy Pond	신성한 연못
ETC_20150317_006625	Bliend Demolition	막다른 폐허
ETC_20150317_006626	Inksta Curved Path	잉크스타 굽잇길
ETC_20150317_006627	Cerpe Intersection	세르페 사거리
ETC_20150317_006628	Sumaze Vacant Lot	수마제 공터
ETC_20150317_006629	Nefrito Valley	네프리토 계곡
ETC_20150317_006630	White Oak Forest	갈참나무 숲
ETC_20150317_006631	Thorn Altar	가시나무 제단
ETC_20150317_006632	Lax Tree Bridge	허술한 나무 다리
ETC_20150317_006633	Slepingas Stream	슬레핑가스 냇가
ETC_20150317_006634	Small Camp	작은 야영지
ETC_20150317_006635	Andale Village	안데일 마을
ETC_20150317_006636	Saknele Cliff	사크넬레 절벽기슭
ETC_20150317_006637	Ishtaka Plateau	이쉬타카 고지대
ETC_20150317_006638	Melaginags Cliff	멜라깅가스 벼랑
ETC_20150317_006639	Dvyni Wetland	드뷔니 습지
ETC_20150317_006640	Narvas Curved Path	나르바스 굽잇길
ETC_20150317_006641	Village Demolation	마을 어귀 폐허
ETC_20150317_006642	Saule place in the single	사울레 대신단
ETC_20150317_006643	Altar Grand Gallery	신단 대회랑
ETC_20150317_006644	Drugys Courtyard	드루기스 안뜰
ETC_20150317_006645	Vapsva Vacant Lot	밥스바 공터
ETC_20150317_006646	Ishpirki Access Road	이쉬필키 진입로
ETC_20150317_006647	Geisma Access Road	게이즈마 진입로
ETC_20150317_006648	Rustybe Dead Tree Area	루스티베 고사목 지대
ETC_20150317_006649	Rajuma Curved Path	라주마 굽잇길
ETC_20150317_006650	Isdidu Fork	이지두 갈래길
ETC_20150317_006651	Pavydo mixed woodland	파비도 혼합림
ETC_20150317_006652	Lenistwo Wasteland	레니스투 황무지
ETC_20150317_006653	Isgelbe Rest Place	이즈겔베 쉼터
ETC_20150317_006654	Tila Rest Place	틸라 쉼터
ETC_20150317_006655	Gintar Highway	긴타라 가도
ETC_20150317_006656	Dregna Courtyard	드레그나 안뜰
ETC_20150317_006657	Thorn Pillar Garden	가시 기둥 정원
ETC_20150317_006658	Vuigio Fork	뷔기오 좁은길
ETC_20150317_006659	Antsva Vacant Site	안츠바 공터
ETC_20150317_006660	Thornbush Bridge	가시나무 다리
ETC_20150317_006661	Rankena Hill	랑케나 언덕
ETC_20150317_006662	Thornbush Rest Place	가시나무 샘터
ETC_20150317_006663	Sviesa Hill Areas	스비에사 구릉지
ETC_20150317_006664	Karadas Path	카라다스 오솔길
ETC_20150317_006665	Kruva Thorn Roller Path	크루바 가시너울길
ETC_20150317_006666	Tankinat Vacant Lot	탄킨타 공터
ETC_20150317_006667	Giliaii Courtyard	길리아이 안뜰
ETC_20150317_006668	Drieza Waterland	드리에자 습지
ETC_20150317_006669	Niurus Highway	니우러스 가도
ETC_20150317_006670	Veltui Crossroad	벨투이 교차로
ETC_20150317_006671	Ishisineti Cliff	이쉬시네티 벼랑
ETC_20150317_006672	Asara Fork	아사라 갈림길
ETC_20150317_006673	Byreti Vacant Lot	비레티 공터
ETC_20150317_006674	Zaizda Hill	자이즈다 언덕
ETC_20150317_006675	Suvyte Cliff	수뷔테 낭떠러지
ETC_20150317_006676	Ishimtini Rest Place	이쉼티니 진입로
ETC_20150317_006677	Bandyma Crossroad	반디마 교차로
ETC_20150317_006678	Skaldytu Pier Road	스칼디투 교각로
ETC_20150317_006679	Lengvas Garden	렝바스 정원
ETC_20150317_006680	Gumbas Hill	굼바스 언덕
ETC_20150317_006681	Ianutis Waterfall	이아너티스 폭포
ETC_20150317_006682	Kaklas Cliff	카클라스 낭떠러지
ETC_20150317_006683	Valdyti Vacant Lot	발디티 공터
ETC_20150317_006684	Bird Footprint Three-way intersection	새발자국 삼거리
ETC_20150317_006685	Underground Atrium	지하 아트리움
ETC_20150317_006686	Vestry	제의실
ETC_20150317_006687	Red Hall	붉은 제랑
ETC_20150317_006688	Himnas Chapel	힘나스 예배소
ETC_20150317_006689	Cross Parvis	교차 주랑
ETC_20150317_006690	Statue of Mercy	자비의 상
ETC_20150317_006691	Worship Anteroom	예배 준비실
ETC_20150317_006692	Altar	압사우가 제단
ETC_20150317_006693	Altar of Globejas	글로베자스 제단
ETC_20150317_006694	Front Lobby	정문 로비
ETC_20150317_006695	Nuosildom Chapel	누오실둠 예배소
ETC_20150317_006696	Bell Tower	종탑
ETC_20150317_006697	Center Lobby	스벤토베 중앙홀
ETC_20150317_006698	Chapel	앳가일라 예배소
ETC_20150317_006699	Auka Altar	아우카 제단
ETC_20150317_006700	Peristyle	열주랑
ETC_20150317_006701	Malda Altar	말다 제단
ETC_20150317_006702	Square Vacant Lot	광장 공터
ETC_20150317_006703	Western Holy District	신성지구 서부
ETC_20150317_006704	Eastern Holy District	신성지구 동부
ETC_20150317_006705	The first room of barrier	첫 번 째 결계의 방
ETC_20150317_006706	The second room of barrier	두 번 째 결계의 방
ETC_20150317_006707	The third room of barrier	세 번 째 결계의 방
ETC_20150317_006708	The fourth room of barrier	네 번 째 결계의 방
ETC_20150317_006709	The fifth room of barrier	다섯 번 째 보스의 방
ETC_20150317_006710	Balkonas Wildemess	발코나스 황야
ETC_20150317_006711	Seklus Bridge	세클루스 다리
ETC_20150317_006712	Gaisra Hall Site	가이스라 전당 터
ETC_20150317_006713	Irody Square	아이로디 주열 광장
ETC_20150317_006714	Vytos Uphill	뷔토스 오름길
ETC_20150317_006715	Kriakul Brook	크리아쿨 개울
ETC_20150317_006716	Virdului Mountain Cabin	빌듈뤼 산장
ETC_20150317_006717	Dumbla Pond	덤발 연못
ETC_20150317_006718	Nardyma Twin Waterfall	나르디마 쌍둥이 폭포
ETC_20150317_006719	Griuve Highway	그리유베 가도
ETC_20150317_006720	Shiluma Altar Site	쉴루마 제단 터
ETC_20150317_006721	Neryshkus Sanctum Demolition	네리쉬커스 성소 폐허
ETC_20150317_006722	Cabin of Lumberjack	나무꾼의 오두막
ETC_20150317_006723	Rukytas Hall Site	루키타스 신당 터
ETC_20150317_006724	Lumberjack Camping Ground	벌목꾼 야영지
ETC_20150317_006725	Plelena Site	펠레나 도열주랑 터
ETC_20150317_006726	Leipsna Chapel Site	리엡스나 예배소 터
ETC_20150317_006727	Peddler Camping Ground	행상인 야영지
ETC_20150317_006728	Abandoned Farm	버려진 농가
ETC_20150317_006729	Camp of Apiarist	양봉꾼의 캠프
ETC_20150317_006730	Karsta Hall Site	카르스타 전당 터
ETC_20150317_006731	Negyvas Field	네기바스 벌판
ETC_20150317_006732	Beacon	봉화
ETC_20150317_006733	Space Movement Magic Circle	공간 이동 마법진
ETC_20150317_006734	Large Movement Magic Circle	대형 이동 마법진
ETC_20150317_006735	Defense Activation Device	방어막 가동 장치
ETC_20150317_006736	Reading Room	열람실
ETC_20150317_006737	Large Reading Room	대 열람실
ETC_20150317_006738	Office	집무실
ETC_20150317_006739	Place for debate	토론의 장
ETC_20150317_006740	Laboratory	실험실
ETC_20150317_006741	Center Control Room	중앙 제어실
ETC_20150317_006742	1st Library	제1 도서관
ETC_20150317_006743	Boiling Balcony	끓어넘치는 발코니
ETC_20150317_006744	Laboratory	연구실
ETC_20150317_006745	Melting Square	녹아내리는 광장
ETC_20150317_006746	Center Large Brazier	중앙 거대 화로
ETC_20150317_006747	Magic Stabilizing Device	마력 안정화 장치
ETC_20150317_006748	1st Machinery Room	제1 기계실
ETC_20150317_006749	Rest Room	휴게실
ETC_20150317_006750	2th Machinery Room	제2 기계실
ETC_20150317_006751	Hall of fire	불의 신당
ETC_20150317_006752	The Great Hall of Keturidu	케튜리듀 대회당
ETC_20150317_006753	Akasya Field	아칵샤 벌판
ETC_20150317_006754	Lododun Apiary	로도논 양봉장
ETC_20150317_006755	Micolas Brewery	미콜라스 양조장
ETC_20150317_006756	Dubiwikcozi Rest Place	드뷕코지 쉼터
ETC_20150317_006757	Honey Wine Warehouse	벌꿀술 창고
ETC_20150317_006758	Dajina Three-way Intersection	다지나 삼거리
ETC_20150317_006759	Laipta City Centre	라입타 시내
ETC_20150317_006760	Shirsie Sunny Place	쉬르쉬에 양지
ETC_20150317_006761	Reserved Land for Maras Bee Farm	마라스 양봉 예정지
ETC_20150317_006762	Gaudeji Altar	가우데지 제단
ETC_20150317_006763	Radanza Farm	라단자 농원
ETC_20150317_006764	Wood Watch Tower	나무 감시탑
ETC_20150317_006765	Uolar Big Rock	우올라 큰바위
ETC_20150317_006766	Saldus Bee Farm	살두스 양봉장
ETC_20150317_006767	Abcbar Winding Hill	압크바 굽이언덕
ETC_20150317_006768	Bichiu Altar	비치우 제단
ETC_20150317_006769	Bulviny Farm	불비니 농장
ETC_20150317_006770	Hoga Road	호가 가도
ETC_20150317_006771	Abandoned Bee Farm	버려진 양봉장
ETC_20150317_006772	Arcly Crossroads	아르클뤼 사거리
ETC_20150317_006773	1st Beekeeper Camp	양봉꾼 제1 캠프
ETC_20150317_006774	2nd Beekeeper Camp	양봉꾼 제2 캠프
ETC_20150317_006775	Bascas Town	바스카스 마을
ETC_20150317_006776	Palama Cliff	팔라마 절벽
ETC_20150317_006777	Stular Road	스튤라 가도
ETC_20150317_006778	Toncall Square	톤콜 광장
ETC_20150317_006779	Atspalbi Vacant lot	앳스팔비 공터
ETC_20150317_006780	Dittma Brewery	디트마 양조장
ETC_20150317_006781	Rankies Seal	랑키스 봉인
ETC_20150317_006782	Ranka Seal	랑카 봉인
ETC_20150317_006783	Face Stairs	얼굴 계단
ETC_20150317_006784	Nebezier Shores	네베쥬 기슭
ETC_20150317_006785	Campis Road	캄피스 가도
ETC_20150317_006786	Shirtos Village	쉬르토스 마을
ETC_20150317_006787	Corridor of Monitor	감시자의 회랑
ETC_20150317_006788	Wrong Isolation Area	어그러진 격리 구역
ETC_20150317_006789	Byeaulleo Hideout	볘아울러 은거지
ETC_20150317_006790	Nuzikalti Hall	누지칼티 전당
ETC_20150317_006791	Concentrated Management Area	집중 관리 구역
ETC_20150317_006792	Rituallah Assembly area	리투알라 집결지
ETC_20150317_006793	The first isolation area	제 1 격리구
ETC_20150317_006794	The second isolation area	제 2 격리구
ETC_20150317_006795	The third isolation area	제 3 격리구
ETC_20150317_006796	The fourth isolation area	제 4 격리구
ETC_20150317_006797	Territory of Nuahella	누아엘레의 영역
ETC_20150317_006798	Surthis Monitor Passage	쉬르디스 감시 통로
ETC_20150317_006799	Rada Seal	라다 봉인
ETC_20150317_006800	Kasa Seal	카사 봉인
ETC_20150317_006801	Reualda Seal	르알다 봉인
ETC_20150317_006802	Magic Controal Place	마력 제압소
ETC_20150317_006803	Kupole Small Church	큐폴 소회당
ETC_20150317_006804	Orualma Cathedral	오루알마 대회당
ETC_20150317_006805	Scar of Fighting spirit	전이의 흉터
ETC_20150317_006806	Blacken Altar	그을린 제단
ETC_20150317_006807	Navilau Broken District	네비라우 붕괴구
ETC_20150317_006808	Interal Separation Plan	내부 분리 구획
ETC_20150317_006809	Idingga Solitary Confinement	이딩가 독실
ETC_20150317_006810	Jinuma Passage	지누마 통로
ETC_20150317_006811	Gallutin Solitary Confinement	갈루틴 독실
ETC_20150317_006812	Heuradeti Intersection	흐라데티 교차로
ETC_20150317_006813	Akeullaga Isolation Area	아클라가 고립 구역
ETC_20150317_006814	Ishdebby Hideout	이쉬데비 은둔처
ETC_20150317_006815	Barkarion Cathedral	바카리온 대회당
ETC_20150317_006816	Ishsulla Broken District	이쉬슐라 붕괴구
ETC_20150317_006817	Vanaga Monitor District	바나가 감시구
ETC_20150317_006818	Rangkine Separation District	랑키네 분리구
ETC_20150317_006819	Hehmastar Isolation District	엣메스타 격리구
ETC_20150317_006820	Dimantel Battleground	뜯겨져나간 격전지
ETC_20150317_006821	Ausyura Chaple	아우슈라 예배소
ETC_20150317_006822	Pasaru Isolation District	파사루 고립구
ETC_20150317_006823	Gabara Isolation District	가바라 고립구
ETC_20150317_006824	Royal Tomb 32	왕릉 32
ETC_20150317_006825	Royal Tomb 33	왕릉 33
ETC_20150317_006826	Royal Tomb 34	왕릉 34
ETC_20150317_006827	Royal Tomb 35	왕릉 35
ETC_20150317_006828	Royal Tomb 36	왕릉 36
ETC_20150317_006829	Catacombs 1	카타콤1
ETC_20150317_006830	Catacombs 3	카타콤3
ETC_20150317_006831	Ruins 37	유적지대 37
ETC_20150317_006832	Ruins 38	유적지대 38
ETC_20150317_006833	Ruins 39	유적지대 39
ETC_20150317_006834	Ruins 40	유적지대 40
ETC_20150317_006835	Fire Wizard Tower 41	불 마법사의 탑 41
ETC_20150317_006836	Fire Wizard Tower 42	불 마법사의 탑 42
ETC_20150317_006837	Fire Wizard Tower 43	불 마법사의 탑 43
ETC_20150317_006838	Fire Wizard Tower 44	불 마법사의 탑 44
