SKILL_20150317_000001	Attack	공격
SKILL_20150317_000458	[Red Old Kepa] Physical, Strike, Elemen Fire Attack	[붉은 늙은케파] 물리, 타격, 화속성 1회 공격 
SKILL_20150317_000459	[Black Rafflesia] Range, Magic, Elemen Dark Range Shoot	[검은 라플레시아] 원거리, 매직, 암속성 원거리 포격
SKILL_20150317_000460	[Black Rafflesia] Physical, Magic, Elemen Dark Attack	[검은 라플레시아] 물리, 매직, 암속성 1회 공격
SKILL_20150317_000461	[Red Infrorocktor] Physical, Strike, Elemen Fire Attack	[붉은 인프로락터] 물리, 타격, 화속성 1회 공격
SKILL_20150317_000462	[Red Infrorocktor] Magic, Buff Meningkatkan Block	[붉은 인프로락터] 매직, 블럭확률 증가 버프
SKILL_20150317_000463	[Green Ellom] Physical, Strike, Elemen Poison Attack	[초록 엘룸] 물리, 타격, 독속성 1회 공격
SKILL_20150317_000464	[Pokuborn] Physical, Pierce, Elemen Poison Attack	[초록 포쿠본] 물리, 찌르기, 독속성 1회 공격
SKILL_20150317_000465	[Pokuborn] Physical, Pierce, Elemen Lightning Attack	[초록 포쿠본] 물리, 찌르기, 뇌속성 1회 공격
SKILL_20150317_000466	[Vubbe Chaser] Physical, Pierce, Elemen Dark Attack 2 kali	[부베 추격꾼] 물리, 찌르기, 암속성 2회 공격
SKILL_20150317_000467	[Vubbe Chaser] Physical, Pierce, Elemen Dark, 5 kali  Attack	[부베 추격꾼] 물리, 찌르기, 암속성, 5회 공격
SKILL_20150317_000468	[Shaman Doll] Physical, Pierce, Elemen Dark Attack	[주술 인형] 물리, 찌르기, 암속성 1회 공격
SKILL_20150317_000469	[Green Drake] Physical, Strike, Elemen Poison Attack	[초록 드레이크] 물리, 타격, 독속성 1회 공격
SKILL_20150317_000470	[Green Drake] Magic, Magic, Elemen Poison Attack	[초록 드레이크] 매직, 매직, 독속성 1회 공격
SKILL_20150317_000471	[Black Drake] Physical, Strike, Elemen Dark Attack	[검은 드레이크] 물리, 타격, 암속성 1회 공격
SKILL_20150317_000472	[Black Drake] Magic, Magic, Elemen Dark Attack	[검은 드레이크] 매직, 매직, 암속성 1회 공격
SKILL_20150317_000473	[Vubbe Warrior] Physical, Slash, Elemen Dark Attack	[부베 전사] 물리, 베기, 암속성 1회 공격
SKILL_20150317_000474	[Blue Puragi] Physical, Strike, Elemen Ice Attack	[푸른 푸라기] 물리, 떄리기, 수속성 1회 공격
SKILL_20150317_000475	[Red Vubbe Thief] Physical, Pierce, Elemen Fire Attack 1 kali	[붉은 부베약탈자] 물리, 찌르기, 화속성 1회 공격
SKILL_20150317_000476	[Black Big Gribaru] Physical, Strike, Elemen Dark Attack	[검은 빅 그리바] 물리, 타격, 암속성 1회 공격
SKILL_20150317_000477	[Black Big Gribaru] Magic, Magic, Elemen Dark Attack	[검은 빅 그리바] 매직, 매직, 암속성 1회 공격
SKILL_20150317_000478	[Black Desmodus] Physical, Pierce, Elemen Dark Attack	[검은 데스모두스] 물리, 찌르기, 암속성 1회 공격
SKILL_20150317_000479	[Rubblem] Physical, Strike, Elemen Earth Attack	[러블렘] 물리, 타격, 땅속성 1회 공격
SKILL_20150317_000480	[Matsum] Magic, Strike, Elemen Fire. Fire ball Summon	[메슘] 마법, 타격, 화속성. 파이어볼 소환.
SKILL_20150317_000481	[Pawndel] Physical, Slash, Elemen Dark Attack 2 kali	[폰델] 물리, 베기, 암속성 2회 공격
SKILL_20150317_000482	[Dionia] Physical Non-Elemen Strike	[디오니아] 물리 무속성 타격
SKILL_20150317_000483	[Dionia] Magic Elemen Poison Strike	[디오니아] 매직 독속성 타격
SKILL_20150317_000484	[Bearkaras] Physical Elemen Earth Strike	[베아카라스] 물리 땅속성 타격
SKILL_20150317_000485	[Bearkaras] Physical Elemen Earth Slash	[베아카라스] 물리 땅속성 베기
SKILL_20150317_000486	[Abomination] Physical Non-Elemen Strike	[어보미네이션] 물리 무속성 타격
SKILL_20150317_000487	[Abomination] Magic Non-Elemen Magic	[어보미네이션] 매직 무속성 마법
SKILL_20150317_000488	[Dazzled Specter] Physical Elemen Dark Magic	[현혹의 스펙터] 물리 암속성 마법
SKILL_20150317_000489	[Rikaus] Physical Non-Elemen Strike	[리카우스] 물리 무속성 타격
SKILL_20150317_000490	[Rikaus] Physical Elemen Dark Strike	[리카우스] 물리 암속성 타격
SKILL_20150317_000491	[Bramble] Physical Non-Elemen Strike	[브람블] 물리 무속성 타격
SKILL_20150317_000492	[Bramble] Physical Non-Elemen Pierce	[브람블] 물리 무속성 찌르기
SKILL_20150317_000493	[Molich] Physical Elemen Dark Strike	[몰렉] 물리 암속성 타격
SKILL_20150317_000494	[Molich] Magic Elemen Dark Magic	[몰렉] 매직 암속성 마법
SKILL_20150317_000495	[Sequoia] Physical Non-Elemen Strike	[세콰이아] 물리 무속성 타격
SKILL_20150317_000496	[Sequoia] Physical Elemen Fire Strike	[세콰이아] 물리 화속성 타격
SKILL_20150317_000497	[Sequoia] Magic Elemen Fire Magic	[세콰이아] 매직 화속성 마법
SKILL_20150317_000498	[Rikaus] Magic Elemen Dark Magic	[리카우스] 매직 암속성 마법
SKILL_20150317_000499	[Sparnasman] Physical Non-Elemen Strike	[스파나스맨] 물리 무속성 타격
SKILL_20150317_000500	[Sparnasman] Physical Non-Elemen Magic	[스파나스맨] 물리 무속성 마법
SKILL_20150317_000501	[Tomb Maiden] Magic Non-Elemen Magic	[툼메이든] 매직 무속성 마법
SKILL_20150317_000502	[Tomb Maiden] Physical Non-Elemen Strike	[툼메이든] 물리 무속성 타격
SKILL_20150317_000503	[Kubas] Physical Non-Elemen Magic	[큐바스] 물리 무속성 마법
SKILL_20150317_000504	[Kubas] Physical Elemen Lightning Magic	[큐바스] 물리 전기속성 마법
SKILL_20150317_000505	[Kubas] Physical Elemen Ice Magic	[큐바스] 물리 수속성 마법
SKILL_20150317_000506	[Kubas] Physical Elemen Fire Magic	[큐바스] 물리 화속성 마법
SKILL_20150317_000507	[Grinender] Physical Elemen Fire Strike	[그라이넨더] 물리 화속성 타격
SKILL_20150317_000508	[Grinender] Physical Elemen Fire Pierce	[그라이넨더] 물리 화속성 찌르기
SKILL_20150317_000509	[Grinender] Physical Elemen Fire Magic	[그라이넨더] 물리 화속성 마법
SKILL_20150317_000510	[Grinender] Magic Elemen Fire Magic	[그라이넨더] 매직 화속성 마법
SKILL_20150317_000511	[Pyroego] Physical Elemen Fire Strike	[파이로에고] 물리 화속성 타격
SKILL_20150317_000512	[Pyroego] Magic Elemen Fire Magic	[파이로에고] 매직 화속성 마법
SKILL_20150317_000513	[Lithorex] Magic Elemen Poison Magic	[리토렉스] 매직 독속성 마법
SKILL_20150317_000514	[Lithorex] Magic Non-Elemen Magic	[리토렉스] 매직 무속성 마법
SKILL_20150317_000515	[Molich] Physical Non-Elemen Strike	[몰렉] 물리 무속성 타격
SKILL_20150317_000516	[Link Roller] Magic Elemen Lightning Magic	[링크롤러] 매직 전기속성 마법
SKILL_20150317_000517	[Deadborn] Physical Elemen Dark Strike	[데드본] 물리 암속성 타격
SKILL_20150317_000518	[Deadborn] Physical Elemen Dark Slash	[데드본] 물리 암속성 베기
SKILL_20150317_000519	[Salamander] Physical Elemen Fire Strike	[샐러맨더] 물리 화속성 타격
SKILL_20150317_000520	[Salamander] Physical Elemen Fire Pierce	[샐러맨더] 물리 화속성 찌르기
SKILL_20150317_000521	[Kepachieftain] Physical Non-Elemen Strike	[케파치프틴] 물리 무속성 타격
SKILL_20150317_000522	[Kepachieftain] Magic Non-Elemen Strike	[케파치프틴] 매직 무속성 타격
SKILL_20150317_000523	[Golem] Physical Elemen Earth Strike	[골렘] 물리 땅속성 타격
SKILL_20150317_000524	[Dazzled Specter] Magic Elemen Dark Strike	[현혹의 스펙터] 매직 암속성 타격
SKILL_20150317_000525	[Specter Monarch] Magic Elemen Dark Magic	[스펙터 군주] 매직 암속성 마법
SKILL_20150317_000526	[Mirtis] Physical Elemen Dark Slash	[미르티스] 물리 암속성 베기
SKILL_20150317_000527	[Mirtis] Physical Elemen Dark Magic	[미르티스] 물리 암속성 마법
SKILL_20150317_000528	[Mirtis] Magic Elemen Dark Magic	[미르티스] 매직 암속성 마법
SKILL_20150317_000529	[Mirtis] Magic Elemen Dark Slash	[미르티스] 매직 암속성 베기
SKILL_20150317_000530	[Saltistter] Physical Elemen Ice Strike	[살티스터] 물리 수속성 타격
SKILL_20150317_000531	[Saltistter] Physical Elemen Ice Magic	[살티스터] 물리 수속성 마법
SKILL_20150317_000532	[Woodspirit] Physical Non-Elemen Strike	[우드스피릿] 물리 무속성 타격
SKILL_20150317_000533	[Woodspirit] Physical Non-Elemen Magic	[우드스피릿] 물리 무속성 마법
SKILL_20150317_000534	[Woodspirit] Magic Non-Elemen Magic	[우드스피릿] 매직 무속성 마법
SKILL_20150317_000535	[Stone_Whale] Magic Elemen Earth Magic	[석화고래] 매직 땅속성 마법
SKILL_20150317_000536	[Ginklas] Physical Elemen Fire Strike	[긴클라스] 물리 화속성 타격
SKILL_20150317_000537	[Yonazolem] Physical Non-Elemen Strike	[요나졸렘] 물리 무속성 타격
SKILL_20150317_000538	[Yonazolem] Magic Non-Elemen Strike	[요나졸렘] 매직 무속성 타격
SKILL_20150317_000539	[Tutu] Physical Elemen Poison Strike	[투투] 물리 독속성 타격
SKILL_20150317_000540	[Tutu] Magic Elemen Poison Magic	[투투] 매직 독속성 마법
SKILL_20150317_000541	[Biteregina] Physical Non-Elemen Pierce	[비테레지나] 물리 무속성 찌르기
SKILL_20150317_000542	[Biteregina] Physical Elemen Poison Slash	[비테레지나] 물리 독속성 베기
SKILL_20150317_000543	[Biteregina] Physical Elemen Poison Magic	[비테레지나] 물리 독속성 마법
SKILL_20150317_000544	[Master Genie] Physical Non-Elemen Strike	[마스터 지니] 물리 무속성 타격
SKILL_20150317_000545	[Master Genie] Magic Elemen Ice Magic	[마스터 지니] 매직 수속성 마법
SKILL_20150317_000546	[Iltiswort] Physical Non-Elemen Strike	[일티스워트] 물리 무속성 타격
SKILL_20150317_000547	[Iltiswort] Physical Elemen Poison Magic	[일티스워트] 물리 독속성 마법
SKILL_20150317_000548	[Lepus] Physical Non-Elemen Slash	[레푸스] 물리 무속성 베기
SKILL_20150317_000549	[Mushcaria] Physical Elemen Poison Magic	[머슈카리아] 물리 독속성 마법
SKILL_20150317_000550	[Mushcaria] Physical Elemen Poison Strike	[머슈카리아] 물리 독속성 타격
SKILL_20150317_000551	[Ellaganos] Physical Non-Elemen Strike	[엘라가노스] 물리 무속성 타격
SKILL_20150317_000552	[Dionia] Magic Non-Elemen Magic	[디오니아] 매직 무속성 마법
SKILL_20150317_000553	[Stone_Whale] Physical Elemen Earth Strike	[석화고래] 물리 땅속성 타격
SKILL_20150317_000554	[Stone_Whale] Physical Elemen Earth Pierce	[석화고래] 물리 땅속성 찌르기
SKILL_20150317_000555	[Ginklas] Physical Elemen Fire Magic	[긴클라스] 물리 화속성 마법
SKILL_20150317_000556	[Lepus] Magic Non-Elemen Strike	[레푸스] 매직 무속성 타격
SKILL_20150317_000557	[Giantredwood] Magic Elemen Fire Pierce	[자이언트 레드 우드] 매직 화속성 찌르기
SKILL_20150317_000558	[Bebraspion] Physical Non-Elemen Strike	[베브라스피온] 물리 무속성 타격
SKILL_20150317_000559	[Bebraspion] Physical Elemen Lightning Strike	[베브라스피온] 물리 전기속성 타격
SKILL_20150317_000560	[Sparnas] Physical Non-Elemen Strike	[스파르나스] 물리 무속성 타격
SKILL_20150317_000561	[Sparnas] Physical Non-Elemen Pierce	[스파르나스] 물리 무속성 찌르기
SKILL_20150317_000562	[Sparnas] Physical Elemen Lightning Magic	[스파르나스] 물리 전기속성 마법
SKILL_20150317_000563	[Rajatoad] Magic Non-Elemen Magic	[라자토드] 매직 무속성 마법
SKILL_20150317_000564	[Rajatoad] Physical Elemen Ice Strike	[라자토드] 물리 수속성 타격
SKILL_20150317_000565	[Chafer] Physical Elemen Poison Slash	[체이퍼] 물리 독속성 베기
SKILL_20150317_000566	[Chafer] Physical Elemen Poison Pierce	[체이퍼] 물리 독속성 찌르기
SKILL_20150317_000567	[Chafer] Physical Elemen Poison Magic	[체이퍼] 물리 독속성 마법
SKILL_20150317_000568	[Throneweaver] Physical Elemen Poison Magic	[쓰론위버] 물리 독속성 마법
SKILL_20150317_000569	[Throneweaver] Physical Elemen Poison Strike	[쓰론위버] 물리 독속성 타격
SKILL_20150317_000570	[Throneweaver] Magic Elemen Poison Magic	[쓰론위버] 매직 독속성 마법
SKILL_20150317_000571	[Mineloader] Physical Elemen Lightning Strike	[마인로더] 물리 전기속성 타격
SKILL_20150317_000572	[Shadowgaoler] Physical Elemen Dark Slash	[섀도게일러] 물리 암속성 베기
SKILL_20150317_000573	[Shadowgaoler] Magic Elemen Dark Magic	[섀도게일러] 매직 암속성 마법
SKILL_20150317_000574	[Shadowgaoler] Physical Elemen Dark Magic	[섀도게일러] 물리 암속성 마법
SKILL_20150317_000575	[Giantredwood] Physical Non-Elemen Strike	[자이언트 레드 우드] 물리 무속성 타격
SKILL_20150317_000576	[Giantredwood] Physical Elemen Fire Strike	[자이언트 레드 우드] 물리 화속성 타격
SKILL_20150317_000577	[Rexipher] Physical Elemen Dark Strike	[렉시퍼] 물리 암속성 타격
SKILL_20150317_000578	[Rocktortuga] Physical Elemen Earth Strike	[락토르투가] 물리 땅속성 타격
SKILL_20150317_000579	[Luropus] Physical Non-Elemen Pierce	[루토푸스] 물리 무속성 찌르기
SKILL_20150317_000580	[Necroventer] Magic Elemen Dark Strike	[네크로벤터] 매직 암속성 타격
SKILL_20150317_000581	[Necroventer] Magic Elemen Dark Magic	[네크로벤터] 매직 암속성 마법
SKILL_20150317_000582	[Helgasercle] Magic Elemen Dark Slash	[헬가세르클] 매직 암속성 베기
SKILL_20150317_000583	[Helgasercle] Physical Elemen Dark Slash	[헬가세르클] 물리 암속성 베기
SKILL_20150317_000584	[Helgasercle] Magic Elemen Dark Magic	[헬가세르클] 매직 암속성 마법
SKILL_20150317_000585	[Luropus] Physical Non-Elemen Strike	[루토푸스] 물리 무속성 타격
SKILL_20150317_000586	[Luropus] Magic Non-Elemen Magic	[루토푸스] 매직 무속성 마법
SKILL_20150317_000587	[King Liverwort] Physical Elemen Poison Strike	[킹 우산이끼] 물리 독속성 타격
SKILL_20150317_000588	[Archon] Physical Elemen Fire Strike	[아콘] 물리 화속성 타격
SKILL_20150317_000589	[Yekub] Physical Elemen Dark Strike	[예쿱] 물리 암속성 타격
SKILL_20150317_000590	[Yekub] Magic Elemen Dark Strike	[예쿱] 매직 암속성 타격
SKILL_20150317_000591	[Yekub] Magic Non-Elemen Magic	[예쿱] 매직 무속성 마법
SKILL_20150317_000592	[Carapace] Physical Elemen Ice Strike	[캐러페이스] 물리 수속성 타격
SKILL_20150317_000593	[Carapace] Physical Elemen Ice Slash	[캐러페이스] 물리 수속성 베기
SKILL_20150317_000594	[Werewolf] Physical Non-Elemen Slash	[웨어울프] 물리 무속성 베기
SKILL_20150317_000595	[Werewolf] Physical Non-Elemen Strike	[웨어울프] 물리 무속성 타격
SKILL_20150317_000596	[Werewolf] Physical Elemen Dark Magic	[웨어울프] 물리 암속성 마법
SKILL_20150317_000597	[Werewolf] Physical Elemen Dark Slash	[웨어울프] 물리 암속성 베기
SKILL_20150317_000598	[Archon] Magic Non-Elemen Magic	[아콘] 매직 무속성 마법
SKILL_20150317_000599	[Ellaganos] Physical Non-Elemen Pierce	[엘라가노스] 물리 무속성 찌르기
SKILL_20150317_000600	[Ellaganos] Physical Elemen Dark Magic	[엘라가노스] 물리 암속성 마법
SKILL_20150317_000601	[Cyclops] Physical Elemen Dark Strike	[사이클롭스] 물리 암속성 타격
SKILL_20150317_000602	[Cyclops] Magic Elemen Dark Magic	[사이클롭스] 매직 암속성 마법
SKILL_20150317_000603	[Rajapearl] Physical Non-Elemen Slash	[라자펄] 물리 무속성 베기
SKILL_20150317_000604	[Rajapearl] Physical Elemen Ice Magic	[라자펄] 물리 수속성 마법
SKILL_20150317_000605	[Honeypin] Physical Elemen Poison Strike	[허니핀] 물리 독속성 타격
SKILL_20150317_000606	[Honeypin] Physical Elemen Poison Magic	[허니핀] 물리 독속성 마법
SKILL_20150317_000607	[Kepachieftain] Magic Non-Elemen Magic	[케파치프틴] 매직 무속성 마법
SKILL_20150317_000608	[Netherbovine] Physical Elemen Dark Pierce	[네더보바인] 물리 암속성 찌르기
SKILL_20150317_000609	[Netherbovine] Physical Elemen Dark Magic	[네더보바인] 물리 암속성 마법
SKILL_20150317_000610	[Netherbovine] Physical Elemen Dark Strike	[네더보바인] 물리 암속성 타격
SKILL_20150317_000611	[Achat] Physical Non-Elemen Strike	[에하트] 물리 무속성 타격
SKILL_20150317_000612	[Rytaswort] Physical Elemen Poison Strike	[리타스워트] 물리 독속성 타격
SKILL_20150317_000613	[Rytaswort] Physical Elemen Poison Magic	[리타스워트] 물리 독속성 마법
SKILL_20150317_000614	[Rytaswort] Magic Elemen Poison Magic	[리타스워트] 매직 독속성 마법
SKILL_20150317_000615	[Rytaswort] Magic Non-Elemen Magic	[리타스워트] 매직 무속성 마법
SKILL_20150317_000616	[Lepus] Physical Non-Elemen Strike	[레푸스] 물리 무속성 타격
SKILL_20150317_000617	[Rexipher] Magic Elemen Dark Magic	[렉시퍼] 매직 암속성 마법
SKILL_20150317_000618	[Corrupted] Magic Elemen Dark Magic	[코럽티드] 매직 암속성 마법
SKILL_20150317_000619	[Corrupted] Magic Elemen Dark Strike	[코럽티드] 매직 암속성 타격
SKILL_20150317_000620	[Mushcaria] Magic Elemen Poison Magic	[머슈카리아] 매직 독속성 마법
SKILL_20150317_000621	[Rocktortuga] Magic Elemen Earth Magic	[락토르투가] 매직 땅속성 마법
SKILL_20150317_000622	[Chafer] Magic Elemen Poison Magic	[체이퍼] 매직 독속성 마법
SKILL_20150317_000623	[Vubbe Fighter] Physical Elemen Earth Slash	[부베 투사] 물리 땅속성 베기
SKILL_20150317_000624	[Vubbe Fighter] Physical Elemen Earth Strike	[부베 투사] 물리 땅속성 타격
SKILL_20150317_000625	[Dazzled Specter] Magic Elemen Dark Magic	[현혹의 스펙터] 매직 암속성 마법
SKILL_20150317_000626	[Mushwort] Physical Non-Elemen Strike	[머쉬워트] 물리 무속성 타격
SKILL_20150317_000627	[Mushwort] Physical Non-Elemen Magic	[머쉬워트] 물리 무속성 마법
SKILL_20150317_000628	[Mushwort] Magic Non-Elemen Magic	[머쉬워트] 매직 무속성 마법
SKILL_20150317_000629	[Mushwort] Magic Elemen Poison Magic	[머쉬워트] 매직 독속성 매직
SKILL_20150317_000630	[Naktis] Magic Non-Elemen Strike	[나크티스] 매직 무속성 타격
SKILL_20150317_000631	[Draperiun] Physical Non-Elemen Pierce	[드라페리운] 물리 무속성 찌르기
SKILL_20150317_000632	[Draperiun] Physical Non-Elemen Magic	[드라페리운] 물리 무속성 마법
SKILL_20150317_000633	[Draperiun] Magic Elemen Dark Magic	[드라페리운] 매직 암속성 마법
SKILL_20150317_000634	[Sparnas Horn] Physical Non-Elemen Strike	[스파나스혼] 물리 무속성 타격
SKILL_20150317_000635	[Sparnas Horn] Physical Non-Elemen Pierce	[스파나스혼] 물리 무속성 찌르기
SKILL_20150317_000636	[Sparnas Horn] Physical Elemen Lightning Magic	[스파나스혼] 물리 전기속성 마법
SKILL_20150317_000637	[Magburk] Physical Elemen Fire Strike	[매그버크] 물리 화속성 타격
SKILL_20150317_000638	[Gaigalas] Physical Non-Elemen Strike	[가이갈라스] 물리 무속성 타격
SKILL_20150317_000639	[Gaigalas] Physical Elemen Fire Magic	[가이갈라스] 물리 화속성 마법
SKILL_20150317_000640	[Ironbaum] Physical Non-Elemen Strike	[아이언바움] 물리 무속성 타격
SKILL_20150317_000641	[Ironbaum] Physical Elemen Fire Strike	[아이언바움] 물리 화속성 타격
SKILL_20150317_000642	[Ironbaum] Physical Elemen Fire Magic	[아이언바움] 물리 화속성 마법
SKILL_20150317_000643	[Ironbaum] Magic Non-Elemen Magic	[아이언바움] 매직 무속성 마법
SKILL_20150317_000644	[Carnivore] Physical Elemen Poison Strike	[카너버] 물리 독속성 타격
SKILL_20150317_000645	[Carnivore] Physical Elemen Poison Magic	[카너버] 물리 독속성 마법
SKILL_20150317_000646	[Carnivore] Physical Elemen Poison Pierce	[카너버] 물리 독속성 찌르기
SKILL_20150317_000647	[Carnivore] Magic Elemen Poison Magic	[카너버] 매직 독속성 마법
SKILL_20150317_000648	[Mineloader] Physical Elemen Lightning Magic	[마인로더] 물리 전기속성 마법
SKILL_20150317_000649	[Cactusvel] Physical Elemen Poison Strike	[캑터스벨] 물리 독속성 타격
SKILL_20150317_000650	[Cactusvel] Physical Non-Elemen Strike	[캑터스벨] 물리 무속성 타격
SKILL_20150317_000651	[Cactusvel] Physical Non-Elemen Magic	[캑터스벨] 물리 무속성 마법
SKILL_20150317_000652	[Tomblord] Physical Non-Elemen Magic	[툼로드] 물리 무속성 마법
SKILL_20150317_000653	[Ravinepede] Physical Elemen Poison Strike	[라바인피드] 물리 독속성 타격
SKILL_20150317_000654	[Ravinepede] Magic Non-Elemen Magic	[라바인피드] 매직 무속성 마법
SKILL_20150317_000655	[Kirmelich] Physical Non-Elemen Strike	[키르멜리치] 물리 무속성 타격
SKILL_20150317_000656	[Kirmelich] Physical Non-Elemen Pierce	[키르멜리치] 물리 무속성 찌르기
SKILL_20150317_000657	[Naktis] Magic Non-Elemen Magic	[나크티스] 매직 무속성 마법
SKILL_20150317_000658	[Devilglove] Physical Non-Elemen Strike	[데블글로브] 물리 무속성 타격
SKILL_20150317_000659	[Devilglove] Magic Non-Elemen Strike	[데블글로브] 매직 무속성 타격
SKILL_20150317_000660	[Kelberos] Physical Non-Elemen Strike	[켈베로스] 물리 무속성 타격
SKILL_20150317_000661	[Kelberos] Physical Non-Elemen Magic	[켈베로스] 물리 무속성 마법
SKILL_20150317_000662	[Minotaurs] Physical Elemen Fire Strike	[미노타우로스] 물리 화속성 타격
SKILL_20150317_000663	[Minotaurs] Magic Elemen Fire Magic	[미노타우로스] 매직 화속성 마법
SKILL_20150317_000664	[Minotaurs] Physical Elemen Fire Magic	[미노타우로스] 물리 화속성 마법
SKILL_20150317_000665	[Chapparition] Physical Elemen Dark Slash	[채퍼리션] 물리 암속성 베기
SKILL_20150317_000666	[Chapparition] Magic Elemen Dark Magic	[채퍼리션] 매직 암속성 마법
SKILL_20150317_000667	[Scorpio] Physical Non-Elemen Slash	[스콜피오] 물리 무속성 베기
SKILL_20150317_000668	[Scorpio] Physical Non-Elemen Pierce	[스콜피오] 물리 무속성 찌르기
SKILL_20150317_000669	[Moa] Physical Non-Elemen Pierce	[모아] 물리 무속성 찌르기
SKILL_20150317_000670	[Moa] Physical Non-Elemen Strike	[모아] 물리 무속성 타격
SKILL_20150317_000671	[Moa] Physical Non-Elemen Slash	[모아] 물리 무속성 베기
SKILL_20150317_000672	[Scorpio] Physical Elemen Poison Magic	[스콜피오] 물리 독속성 마법
SKILL_20150317_000673	[Bramble] Magic Non-Elemen Magic	[브람블] 매직 무속성 마법
SKILL_20150317_000674	[Bramble] Magic Elemen Dark Magic	[브람블] 매직 암속성 마법
SKILL_20150317_000675	[Glass_Mole] Physical Non-Elemen Strike	[글래스몰] 물리 무속성 타격
SKILL_20150317_000676	[Glass_Mole] Physical Non-Elemen Pierce	[글래스몰] 물리 무속성 찌르기
SKILL_20150317_000677	[Denoptic] Magic Non-Elemen Magic	[덴옵틱] 매직 무속성 마법
SKILL_20150317_000678	[Denoptic] Magic Non-Elemen Strike	[덴옵틱] 매직 무속성 타격
SKILL_20150317_000679	[Deathweaver] Physical Non-Elemen Magic	[데스위버] 물리 무속성 마법
SKILL_20150317_000680	[Deathweaver] Magic Non-Elemen Magic	[데스위버] 매직 무속성 마법
SKILL_20150317_000681	[Deathweaver] Physical Non-Elemen Pierce	[데스위버] 물리 무속성 찌르기
SKILL_20150317_000682	[Templeshooter] Physical Non-Elemen Pierce	[템플슈터] 물리 무속성 찌르기
SKILL_20150317_000683	[Templeshooter] Magic Non-Elemen Magic	[템플슈터] 매직 무속성 마법
SKILL_20150317_000684	[Unknocker] Physical Elemen Dark Strike	[언낙커] 물리 암속성 타격
SKILL_20150317_000685	[Unknocker] Physical Elemen Dark Magic	[언낙커] 물리 암속성 마법
SKILL_20150317_000686	[Unknocker] Magic Elemen Dark Strike	[언낙커] 매직 암속성 타격
SKILL_20150317_000687	[Gorgon] Physical Non-Elemen Strike	[고르곤] 물리 무속성 타격
SKILL_20150317_000688	[Gorgon] Physical Elemen Dark Strike	[고르곤] 물리 암속성 타격
SKILL_20150317_000689	[Gorgon] Magic Elemen Dark Magic	[고르곤] 매직 암속성 마법
SKILL_20150317_000690	[Mummyghast] Physical Elemen Dark Strike	[머미가스트] 물리 암속성 타격
SKILL_20150317_000691	[Mummyghast] Physical Elemen Dark Pierce	[머미가스트] 물리 암속성 찌르기
SKILL_20150317_000692	[Mummyghast] Magic Elemen Dark Magic	[머미가스트] 매직 암속성 마법
SKILL_20150317_000693	[Hydra] Physical Elemen Ice Magic	[히드라] 물리 수속성 마법
SKILL_20150317_000694	[Hydra] Magic Elemen Ice Magic	[히드라] 매직 수속성 마법
SKILL_20150317_000695	[Hydra] Physical Non-Elemen Pierce	[히드라] 물리 무속성 찌르기
SKILL_20150317_000696	[Hydra] Physical Non-Elemen Slash	[히드라] 물리 무속성 베기
SKILL_20150317_000697	[Tomblord] Magic Non-Elemen Magic	[툼로드] 매직 무속성 마법
SKILL_20150317_000698	[Rocktortuga_TEST] Physical Non-Elemen Strike	[락토르투가_TEST] 물리 무속성 타격
SKILL_20150317_000699	[Clymen] Physical Elemen Poison Strike	[클라이멘] 물리 독속성 타격
SKILL_20150317_000700	[Reaverpede] Physical Non-Elemen Strike	[리버피드] 물리 무속성 타격
SKILL_20150317_000701	[Colimencia] Physical Non-Elemen Strike	[콜리멘시아] 물리 무속성 타격
SKILL_20150317_000702	[Clymen] Physical Elemen Poison Magic	[클라이멘] 물리 독속성 마법
SKILL_20150317_000703	[Colimencia] Physical Non-Elemen Magic	[콜리멘시아] 물리 무속성 마법
SKILL_20150317_000704	[Colimencia] Magic Non-Elemen Magic	[콜리멘시아] 매직 무속성 마법
SKILL_20150317_000705	[Jack-o-Lantern] Physical Non-Elemen Strike	[잭오랜턴] 물리 무속성 타격
SKILL_20150317_000706	[Jack-o-Lantern] Physical Elemen Fire Strike	[잭오랜턴] 물리 화속성 타격
SKILL_20150317_000707	[Mothstem] Physical Elemen Lightning Pierce	[모스템] 물리 전기속성 찌르기
SKILL_20150317_000708	[Mothstem] Physical Elemen Lightning Magic	[모스템] 물리 전기속성 마법
SKILL_20150317_000709	[Gauge Golem] physical Non-Elemen damage	[게이징 골렘] 물리 무속성 타격
SKILL_20150317_000710	[Mentiken] Physical Non-Elemen Slash	[맨티켄] 물리 무속성 베기
SKILL_20150317_000711	[Moyabruka] Physical Non-Elemen Strike	[모야브루카] 물리 무속성 타격
SKILL_20150317_000712	[Velorchard] Physical Non-Elemen Strike	[벨로차드] 물리 무속성 타격
SKILL_20150317_000713	[Shnayim] Physical Non-Elemen Strike	[쉬나임] 물리 무속성 타격
SKILL_20150317_000714	[Harpeia] Physical Non-Elemen Slash	[하르피아] 물리 무속성 베기
SKILL_20150317_000715	[Tomblord] Magic Non-Elemen Pierce	[툼로드] 매직 무속성 찌르기
SKILL_20150317_000716	[Achat] Physical Elemen Lightning Magic	[에하트] 물리 전기속성 마법
SKILL_20150317_000717	[Shnayim] Physical Elemen Lightning Magic	[쉬나임] 물리 전기속성 마법
SKILL_20150317_000718	[Mentiken] Physical Elemen Poison Magic	[맨티켄] 물리 독속성 마법
