QUEST_LV_0100_20150317_000001	Sentinel	경계병
QUEST_LV_0100_20150317_004459	Saugas mengambil batunya dan lari! Kembali ke Eta dan tanya.	사우가스는 영기가 서린 돌을 보자마자 돌을 가지고 바로 도망쳤습니다! 이게 어찌된 일인지 용병 에타에게 돌아가 봅시다.
QUEST_LV_0100_20150317_004460	Kalahkan Saugas	사우가 처치
QUEST_LV_0100_20150317_004461	Eta tidak percaya Saugas lari dengan batunya. Bicara pada Eta lagi.	용병 에타는 사우가스가 돌만 들고 도망쳤다는 말이 믿기질 않는 모양입니다. 용병 에타와 다시 대화해 보세요.
QUEST_LV_0100_20150317_004462	Pancing Saugas dari sisi kanan Alkune Stairway	알쿠네 계단길의 오른쪽에서 사우가스 유인
QUEST_LV_0100_20150317_004463	Mercenary Eta berkata tak mungkin Saugas lari dengan batunya. Ayo letakkan batu di tempat yang lebih dalam di Long Bridge Valley dimana Saugas biasanya muncul.	용병 에타는 사우가스가 돌만 들고 도망칠 리 없다고 펄쩍 뜁니다. 이번에는 왠지 사우가들이 많이 출몰하는, 긴다리 계곡의 가장 깊은 곳으로 가서 설치해 봅시다.
QUEST_LV_0100_20150317_004464	Saugas tidak muncul, namun Sauga muncul. Sarankan Eta untuk menyerah dan kembali ke camp.	이번엔 사우가스는 코빼기도 보이질 않고 사우가만 몰려들었습니다. 용병 에타에게 포기하고 캠프로 돌아갈 것을 권해 봅시다.
QUEST_LV_0100_20150317_004465	Kalahkan monster yang memaksa masuk	습격해오는 몬스터 처치
QUEST_LV_0100_20150317_004466	Bicara pada Vio	보급대 대장 비오와 대화
QUEST_LV_0100_20150317_004467	Eta mengatakan bahwa ia akan kembali ke camp. Beri tahu Vio.	에타는 이제 돌아갈 것이라고 합니다. 이 사실을 대장 비오에게 전해 줍시다.
QUEST_LV_0100_20150317_004468	Eta berjanji padamu bahwa ia akan kembali ke camp. Beri tahu Vio.	용병 에타도 알아서 캠프로 돌아 가겠다고 약속했습니다. 이 소식을 부하들을 걱정하고 있을 대장 비오에게 알려 줍시다.
QUEST_LV_0100_20150317_004469	Akhirnya, kamu bisa memasuki sanctum yang akan mengarahkanmu ke warisan Zachariel. Bicara pada Gustas Jonas.	드디어 자카리엘 대왕의 유산을 위한 성소에 들어갈 수 있을 것 같습니다. 구스타스 요나스와 대화해 보세요.
QUEST_LV_0100_20150317_004470	Lepas seal di dalam sanctum	성소 안에 있는 봉인 해제
QUEST_LV_0100_20150317_004471	Sanctum adalah seal pertama untuk melindungi warisan Zachariel. Pergi ke sanctum dan lepas seal.	성소는 정체는 자카리엘 대왕의 유산을 지키기 위한 첫 번째 봉인이었습니다. 성소로 들어가 봉인을 푸세요.
QUEST_LV_0100_20150317_004472	Kamu berhasil melepas first seal. Bicara pada Gustas Jonas.	마침내 자카리엘 대왕의 유산을 위한 첫 번째 봉인을 풀었습니다. 구스타스 요나스와 대화하세요.
QUEST_LV_0100_20150317_004473	Mining town canvassing (1)	광산마을 탐문(1)
QUEST_LV_0100_20150317_004474	Kehadiran Mining Town	광산마을 도착
QUEST_LV_0100_20150317_004475	Untuk pergi ke mining town, ubah revelation of Goddess. Ubah mining town yang telah diserang oleh Bouvet. Cepat kembali ke mining town!	여신의 계시를 좇아 수정광산으로 들어가야 하는데, 수정광산이 있는 광산 마을이 부베에게 습격당한 모양입니다. 광산마을로 빨리 가 보세요!
QUEST_LV_0100_20150317_004476	Pergi ke Miner's Village Mayor untuk mengetahui keadaan village.	마을의 상황을 알아보기 위해 광산 마을의 촌장을 찾아가 봅시다.
QUEST_LV_0100_20150317_004477	Bicara dengan kepada desa Miners' Village	광산마을 촌장과 대화
QUEST_LV_0100_20150317_004478	Bicara pada Hunter	사냥꾼과 대화
QUEST_LV_0100_20150317_004479	Kamu harus pergi ke Crystal Mines seperti yang Goddess katakan di mimpi Bishop tapi kamu tidak bisa meninggalkan pengungsi. Bantu hunter yang lapar.	주교의 꿈에서 여신이 일러준 대로 수정광산으로 들어가야 하지만 피난가는 마을사람들을 그냥 두고 볼 순 없습니다. 화가 나 있는는 사냥꾼을 도와줍시다.
QUEST_LV_0100_20150317_004480	Hunter berkata bahwa monster mencuri semua barang-barang untuk penduduk desa. Coba ambil yang tersisa di jalan.	사냥꾼은 피난 온 마을사람들을 위한 구호품을 몬스터가 전부 훔쳐갔다고 합니다. 길바닥에 흩어진 구호품 상자라도 회수해 봅시다.
QUEST_LV_0100_20150317_004481	Kumpulkan semua relief supplies. Bicara pada hunter.	구호품 상자를 모두 회수했으니 사냥꾼과 대화하세요.
QUEST_LV_0100_20150317_004482	Bicara pada Mine Manager Brinker	광산 소장 브링커와 대화
QUEST_LV_0100_20150317_004483	Kamu harus pergi ke Crystal Mines seperti yang Goddess katakan di mimpi bishop tapi kamu tidak bisa meninggalkan pengungsi. Mine Manager Brinker berdiri di dinding dengan satu tangannya. Tanyakan apa yang terjadi.	주교의 꿈에서 여신이 일러준 대로 수정광산으로 들어가야 하지만 피난가는 마을사람들을 그냥 두고 볼 순 없습니다. 광산 외벽을 손으로 받친 채 버티고 있는 채 난처해하는 광산 소장 브링커에게 무슨 일이냐고 물어 보세요.
QUEST_LV_0100_20150317_004484	Kumpulkan batu untuk mengganjal dinding dari puing-puing di sekitar.	주변의 돌무더기에서 보강용 자재 수집
QUEST_LV_0100_20150317_004485	Dinding mungkin akan runtuh jika Brinker melepas tangannya dari dinding. Cari beberapa batu untuk menghalang lobang di dinding untuk Brinker.	광산 소장 브링커가 광산 외벽에서 손을 떼면 외벽이 무너져 버릴지도 모른다고 합니다. 브링커를 위해 주변의 돌무더기에서 틈을 막을 돌을 모아 옵시다.
QUEST_LV_0100_20150317_004486	Berikan batu-batu kepada Brinker	광산 소장 브링커에게 자재 전달
QUEST_LV_0100_20150317_004487	Berikan batu yang kamu kumpulkan pada Brinker.	모아온 돌을 광산 소장 브링커에게 넘겨 주세요.
QUEST_LV_0100_20150317_004488	Perbaiki dinding tapi Brinker masih terlihat cemas. Bicara padanya.	외벽도 보수했는데도 곤란해 하는 광산 소장 브링커와 대화해 봅시다.
QUEST_LV_0100_20150317_004489	Kalahkan monster di sekitarnya.	주변의 위협적인 몬스터 제거
QUEST_LV_0100_20150317_004490	Kalahkan monster di sekitarnya jadi Brinker bisa kembali dengan selamat.	광산 소장 브링커가 무사히 돌아갈 수 있도록 몬스터를 처치해 주세요.
QUEST_LV_0100_20150317_004491	Beri tahu Brinker semua sudah aman	광산 소장 브링커에게 안전함을 알리기
QUEST_LV_0100_20150317_004492	Beri tahu Brinker ia bisa kembali dengan selamat.	안전하게 돌아갈 수 있다는 것을 광산 소장 브링커에게 알려 주세요.
QUEST_LV_0100_20150317_004493	Bicara pada Healer Lady	치유사 아가씨와 대화
QUEST_LV_0100_20150317_004494	Kamu harus pergi ke Crystal Mines seperti yang Goddess katakan di mimpi bishop tapi kamu tidak bisa meninggalkan pengungsi. Bantu healer lady merawat orang-orang yang terluka.	주교의 꿈에서 여신이 일러준 대로 수정광산으로 들어가야 하지만 피난가는 마을사람들을 그냥 두고 볼 순 없습니다. 사람들을 치료해주고 있는 치유사 아가씨를 도와주세요.
QUEST_LV_0100_20150317_004495	Membawa para pengungsi	피난민 데리고 오기
QUEST_LV_0100_20150317_004496	Healer Lady meminta bantuanmu untuk membawa para pengungsi. Bawa beberapa di dekat Statue of Goddess Zemyna ke Healer Lady.	치유사 아가씨는 이 피난처도 점점 위험해지고 있으니 마을로 돌아가야겠다면서 다른 피난민들을 데려와 달라고 합니다. 제미나 여신상 근처에 피난 와 있는 부부를 치유사 아가씨에게 데려 와 주세요.
QUEST_LV_0100_20150317_004497	Kembalikan pengungsi ke Healer Lady	치유사 아가씨에게 피난민 인계 하기
QUEST_LV_0100_20150317_004498	Bawa pengungsi ke tempat aman. Bicara pada Healer Lady.	무사히 피난민을 데려왔습니다. 치유사 아가씨와 대화해 보세요.
QUEST_LV_0100_20150317_004499	Bicara pada Healer Lady untuk kembali ke village kembali.	치유사 아가씨에게 어서 마을로 돌아가라고 다시 말해 봅시다.
QUEST_LV_0100_20150317_004500	Bunuh semua Monster	위협적인 몬스터 처치
QUEST_LV_0100_20150317_004501	Gadis itu berkata tidak dapat kembali bersama pasien karena banyak monster. Kalahkan monster untuk membantunya.	몬스터가 너무 많아서 다친 환자를 데리곤 도저히 돌아갈 수 없다고 하는 치유사 아가씨를 위해 위협적인 몬스터를 처치해 주세요.
QUEST_LV_0100_20150317_004502	Telah mengalahkan monster. Beritahu gadis itu untuk kembali ke village.	위협적인 몬스터를 처치했으니 어서 마을로 돌아가라고 치유사 아가씨에게 말해 주세요.
QUEST_LV_0100_20150317_004503	Bicara dengan Miner's Village Mayor	광산 마을 촌장과 대화
QUEST_LV_0100_20150317_004504	Bicara lagi pada Mayor untuk masuk Crystal Mines.	수정광산으로 가기 위해 마을의 촌장과 다시 대화해 보세요.
QUEST_LV_0100_20150317_004505	Selamatkan Vaidotas yang diculik para Vubbe	부베에게 납치된 바이도타스 구출
QUEST_LV_0100_20150317_004506	Revelation of Goddess itu penting namun kita tidak bisa membiarkan penduduk diculik. Untuk menyelamatkan warga yang terjebak di Mine, pergi ke markas Vubbe dan selamatkan Vaidotas dahulu.	여신의 계시도 중요하지만 납치된 마을 사람들을 그냥 두고 볼 순 없습니다. 납치된 마을 사람들을 구출하러 광산으로 들어가기 위해 먼저 부베 서식지로 가서 부베에게 납치된 바이도타스를 구출하세요.
QUEST_LV_0100_20150317_004507	Blok Gerombolan Vubbe	부베의 습격 저지
QUEST_LV_0100_20150317_004508	Mayor sepertinya sedang ada masalah. Bicara padanya.	촌장에게 걱정거리가 있어 보입니다. 말을 걸어 보세요.
QUEST_LV_0100_20150317_004509	Singkirkan Vubbe yang menguasai village	마을을 점령한 부베 처치
QUEST_LV_0100_20150317_004510	Vubbes menguasai village! Ayo kalahkan mereka.	부베들이 마을을 점령하고 있습니다! 부베들을 몰아 냅시다.
QUEST_LV_0100_20150317_004511	Kamu telah mengusir para Vubbe. Beritahu Village Mayor tentang itu.	부베들을 어느 정도 몰아낸 것 같습니다. 이 사실을 촌장에게 알려 주세요.
QUEST_LV_0100_20150317_004512	Kalahkan semua Vubbe	부베 처치
QUEST_LV_0100_20150317_004513	Kamu menemukan Vaitodas. Tanyakan padanya cara masuk ke Mines.	붙잡혀 있는 바이도타스를 발견했습니다. 바이도타스와 대화하여 광산으로 들어갈 방법에 대해 논의해 봅시다.
QUEST_LV_0100_20150317_004514	Kalahkan para Vubbe	부베들 처치
QUEST_LV_0100_20150317_004515	Ada treasure box yang mencurigakan. Temukan dan bukalah.	수상한 보물 상자가 있습니다. 가서 한 번 열어 보세요.
QUEST_LV_0100_20150317_004516	Red Vubbe Fighter tiba-tiba muncul appeared	갑자기 나타난 붉은 부베 투사
QUEST_LV_0100_20150317_004517	Red Vubbe Fighter appeared when you kicked the box! Please throw it away.	상자를 발로 차니까 붉은 부베 투사가 나타났습니다! 어서 해치우세요.
QUEST_LV_0100_20150317_004518	There were no kidnapped people but only Vubbes. You better go back to Vaitodas.	납치된 사람들은 없고 부베 투사만 있었습니다. 바이도타스에게 다시 돌아가 보는 것이 좋을 것 같습니다.
QUEST_LV_0100_20150317_004519	Kamu harus menghancurkan gerobak untuk masuk ke mines. Bicara pada Vaitodas untuk cara menghancurkannya.	수정광산으로 들어가기 위해서는 다리를 막고 있는 수레를 치워야 합니다. 수레를 어떻게 치울 지 바이도타스와 논의해 보세요.
QUEST_LV_0100_20150317_004520	Kalahkan vubbe yang mencoba masuk setelah ledakan. .	폭약 소리를 듣고 몰려드는 부베 처치
QUEST_LV_0100_20150317_004521	Vaidotas bilang gerobak dapat di hancurkan dengan ledakan. Tapi akibatnya akan ada Vubbbe yang datang, jadi berhati-hatilah.	바이도타스는 수레는 폭약으로 치울 수 있다고 합니다. 하지만 폭발음을 듣고 부베들이 몰려올 수 있으니 주의하라고 합니다.
QUEST_LV_0100_20150317_004522	Masuk Crystal Mine 1st Gallery	수정광산 1층 진입
QUEST_LV_0100_20150317_004523	Kamu telah membereskan jalan masuk ke Crystal Mines. Temui Vaitodas di Crystal Mine 1st Gallery.	수레를 치웠으니 드디어 수정광산에 들어갈 수 있게 되었습니다. 수정광산 1층 안에서 바이도타스와 만나도록 하세요.
QUEST_LV_0100_20150317_004524	Bicara pada Kind Owl Sculpture	친절한 부엉이 조각상과 대화
QUEST_LV_0100_20150317_004525	Bicara pada Kind Owl Sculpture	친절한 부엉이와 대화해 보세요.
QUEST_LV_0100_20150317_004526	Investigasi bagian atas lapangan	헤메는 벌판 위쪽을 탐사
QUEST_LV_0100_20150317_004527	The Kind Owl	친절한 부엉이는 
QUEST_LV_0100_20150317_004528	memiliki masalah karena sesuatu.	 이유 때문에 문제가 생겼다고 합니다.
QUEST_LV_0100_20150317_004529	Monster besar menghalangi jalan dan tertidur di bagian atas lapangan. Kembali ke Kind Owl.	헤메는 벌판의 위쪽에는 엄청나게 큰 몬스터가 길을 틀어막고 잠을 자고 있었습니다. 친절한 부엉이에게 다시 돌아가 봅시다.
QUEST_LV_0100_20150317_004530	Bicara pada Kind Owl lagi untuk menyelesaikan masalah.	 문제를 해결하기 위해 친절한 부엉이와 다시 대화해 보세요.
QUEST_LV_0100_20150317_004531	Kalahkan Elloguas di sekitar	주변지역의 엘로구아를 처치
QUEST_LV_0100_20150317_004532	Ia tahu sebuah owl yang bisa menyelesaikan masalah, tapi ia tidak bisa mengingat dengan jelas karena Forza of Black Grieva. Kalahkan Elloguas di dekat Kind Owl.	 문제를 해결할 부엉이를 알고 있지만 검은 그리바의 포자 때문에 기억이 잘 나지 않는다고 합니다. 친절한 부엉이를 위해 주변의 엘로구아를 없애 주세요.
QUEST_LV_0100_20150317_004533	Untuk Kind Owl.	친절한 부엉이가 
QUEST_LV_0100_20150317_004534	Ingatlah owl untuk menyelesaikan masalah, kamu telah mengalahkan Elloguas di sekitar. Kembali ke Kind Owl.	 문제를 해결할 부엉이가 누군지 잘 생각 나도록 주변의 엘로구아를 해치웠습니다. 친절한 부엉이에게 다시 돌아가 봅시다.
QUEST_LV_0100_20150317_004535	Mengalahkan Elloguas	엘로구아 처치
QUEST_LV_0100_20150317_004536	Bicara pada unstable Owl Sculpture	불안정한 부엉이 조각상과 대화
QUEST_LV_0100_20150317_004537	Bicara pada unstable Owl Sculpture untuk menanyakan cara memindahkan Sequoia yang menghalangi jalan.	조각가에게 가는 길을 막고 있는 세콰이아를 물러나게 할 방법에 대해 불안정한 부엉이와 대화해 봅시다.
QUEST_LV_0100_20150317_004538	Kumpulkan divine wood fragment	신성한 힘이 깃든 나무조각 수집
QUEST_LV_0100_20150317_004539	Untuk memindahkan Sequoia yang menghalangi jalan, unstable owl menyuruhmu untuk menghadapinya dengan divine power. Dapatkan divine wood fragment dari broken owl sculpture.	불안정한 부엉이는 조각가에게 가는 길을 막고 있는 세콰이아를 물러나게 하려면 세콰이아의 사악한 힘엔 신성한 힘으로 맞서는게 좋다고 합니다. 부서진 부엉이 조각상의 신성한 힘이 깃든 나무 조각을 모아 옵시다.
QUEST_LV_0100_20150317_004540	Kamu telah mengumpulkan cukup divine wood fragment untuk memindahkan Sequoia yang menghalangi jalan. Kembali ke unstable owl.	조각가에게 가는 길을 막고 있는 세콰이아를 물러나게 할 신성한 나무 조각을 충분히 모은 것 같습니다. 불안정한 부엉이에게 돌아가 봅시다.
QUEST_LV_0100_20150317_004541	Unstable owl seperti bingung, namun ia tahu cara memindahkan Sequoia yang menghalangi jalan. Bicara pada unstable owl lagi.	불안정한 부엉이는 조금 정신 없어 보이지만 세콰이아를 물러나게 할 방법에 대해 잘 알고 있는 듯 합니다. 불안정한 부엉이와 다시 대화해 봅시다.
QUEST_LV_0100_20150317_004542	Kumpulkan Essence of Spirit	영혼 결정 수집
QUEST_LV_0100_20150317_004543	Unstable owl tidak akan memberitahumu cara memindahkan Sequoia dari menghalangi jalan secara gratis. Ia memerintahkanmu untuk mendapatkan Essence of Spirit dari monster. Dapatkan Essence dari monster.	불안정한 부엉이는 세콰이아를 물러나게 할 방법을 맨입으론 알려줄 수 없다면서 몬스터가 가져간 동료 부엉이들의 영혼 결정을 되찾아오라고 합니다. 불안정한 부엉이를 위해 영혼 결정을 되찾아 옵시다.
QUEST_LV_0100_20150317_004544	Kamu telah mendapatkan Essence of Spirits. Kembali pada unstable owl.	불안정한 부엉이가 원하는 동료 부엉이들의 영혼 결정을 모두 되찾아 왔습니다. 불안정한 부엉이에게 다시 돌아 갑시다.
QUEST_LV_0100_20150317_004545	Essence of Spirits	영혼 결정
QUEST_LV_0100_20150317_004546	Kamu memiliki cukup divine wood fragment. Kembali ke unstable Owl.	길을 막고 있는 세콰이아를 쫓기 위한 도구를 만들 재료인 신성한 힘이 깃든 나무조각을 넉넉히 모은 것 같습니다. 불안정한 부엉이에게 돌아가 봅시다.
QUEST_LV_0100_20150317_004547	Pindahkan Sequoia	세콰이아를 쫓아내기
QUEST_LV_0100_20150317_004548	Untuk memindahkan Sequoia yang menghalangi jalan, gunakan sharp wood stick. Buka Inventory di dekat Sequoia dan gunakan.	조각가에게 가는 길을 막고 있는 세콰이아를 쫓아내기 위해 따끔한 꼬챙이를 세콰이아에게 사용해 봅시다. 세콰이아 근처에서 인벤토리를 열어 따끔한 꼬챙이를 사용하면 됩니다.
QUEST_LV_0100_20150317_004549	Sequoia terkejut karena sharp stick dan lari.	세콰이아가 따끔한 꼬챙이에 놀라 달아나 버렸습니다.
QUEST_LV_0100_20150317_004550	Sequoia lari, tapi unstable owl sepertinya gugup. Bicara pada Unstable Owl lagi.	세콰이아를 쫓아냈지만 불안정한 부엉이가 안절부절 못하는 듯 합니다. 불안정한 부엉이와 다시 대화해 봅시다.
QUEST_LV_0100_20150317_004551	Temukan Guide Owl	길잡이 부엉이 조각상 찾기
QUEST_LV_0100_20150317_004552	Unstable Owl mengatakan bahwa ketika Sequoia lari, sesuatu yang buruk terjadi pada Guide Owl. Sebaiknya kamu pergi temui Guide Owl.	불안정한 부엉이의 말로는 세콰이아를 쫓아 낼 때 길잡이 부엉이에게 안 좋은 일이 생긴 것 같다고 합니다. 길잡이 부엉이에게 가 보는 게 좋을 것 같습니다.
QUEST_LV_0100_20150317_004553	Bicara pada Guide Owl.	길잡이 부엉이 조각상과 대화
QUEST_LV_0100_20150317_004554	Guide Owl sepertinya sangat marah. Bicara pada Guide Owl.	다시 일어난 길잡이 부엉이는 화가 단단히 난 모양입니다. 길잡이 부엉이와 대화해 봅시다.
QUEST_LV_0100_20150317_004555	Temukan Grave Protector Owl	무덤지기 부엉이 조각상을 찾기
QUEST_LV_0100_20150317_004556	Guide Owl mengatakan bahwa jika Sequoia tidak dikalahkan, semua owl akan dihancurkan oleh Sequoia dan mereka tidak bisa bertemu dengan sculptor karena tidak bisa dibimbing. Untuk mengalahkan Sequoia, kamu harus bertemu Grave Protector Owl.	길잡이 부엉이는 세콰이아를 처치하지 못한다면 모든 부엉이들이 세콰이아의 손에 부숴질 테고, 그러면 부엉이들의 안내를 받지 못해 조각가에게 갈 수 없게 되어버릴거라고 합니다. 세콰이아를 처치하기 위해 무덤지기 부엉이의 도움을 받으러 가야 겠습니다.
QUEST_LV_0100_20150317_004557	Bicara pada Grave Protector Owl	무덤지기 부엉이 조각상과 대화
QUEST_LV_0100_20150317_004558	Kalahkan flame of Sequoia	세콰이아의 불길 처치
QUEST_LV_0100_20150317_004559	Kamu menyelamatkan Grave Protcetor Owl yang diserang oleh flame of Sequoia. Tanya owl cara mengalahkan Sequoia.	세콰이아의 불길에게 당하고 있던 무덤지기 부엉이를 구해주었습니다. 무덤지기 부엉이에게 세콰이아를 처치할 수 있는 방도를 물어 봅시다.
QUEST_LV_0100_20150317_004560	Mendapatkan Essence of Spirit dari specter di Katyne Forest	카틴숲의 망령에게서 영혼의 정수 수집
QUEST_LV_0100_20150317_004561	Grave Protector Owl berkata untuk membuat ledakan pada Sequoia, kamu membutuhkan Essence of Spirits. Kumpulkan Essences of Spirits dari specter yang berkeliaran di sekitar makan warrior yang tak diketahui.	무덤지기 부엉이는 세콰이아에게 강력한 한 방을 먹이려면 영혼의 정수가 필요하다고 합니다. 무명용사의 무덤을 배회하는 카틴숲의 망령에게서 영혼의 정수를 모아 옵시다.
QUEST_LV_0100_20150317_004562	Kamu memiliki cukup Essences of Spirits untuk meledakan Sequoia. Bicara pada Grave Portector Owl Sculpture.	세콰이아에게 강력한 한 방을 먹일 영혼의 정수를 충분히 모은 것 같습니다. 무덤지기 부엉이 조각상과 대화하세요.
QUEST_LV_0100_20150317_004563	Bicara pada Guide Owl Sculpture	길잡이 부엉이조각상과 대화
QUEST_LV_0100_20150317_004564	Bicara pada Guide Owl Sculpture	길잡이 부엉이조각상과 대화한다
QUEST_LV_0100_20150317_004565	Bujuk angry owl sculpture	분노한 부엉이 조각상 설득
QUEST_LV_0100_20150317_004566	Buju angry owl sculpture yang rusak karena pengaruh kekuatan jahat seperti Sequoia	세콰이아와 마찬가지로 사악한 힘에 타락한 분노한 부엉이 조각상을 설득해 봅시다.
QUEST_LV_0100_20150317_004567	Kamu gagal membujuk dan tidak ada jalan lain kecuali menghancurkan angry owl. Ambil fragment of angry owl sculpture dan kembali ke Guide Owl.	설득은 실패하였고 결국 분노의 부엉이를 부술 수 밖에 없었습니다. 분노한 부엉이의 조각가의 파편을 가지고 길잡이 부엉이에게 되돌아 가세요.
QUEST_LV_0100_20150317_004568	Kalahkan angry owl	분노한 부엉이 처치
QUEST_LV_0100_20150317_004569	Grave Protector Owl berkata jika kamu menggunakan power pada Essences of Spirits, kamu bisa mengalah Sequoia. Kembali ke Guide Owl.	무덤지기 부엉이는 영혼의 정수가 가진 힘을 싣는다면, 세콰이아를 해치울 수 있을지도 모른다고 합니다. 길잡이 부엉이에게 다시 돌아가세요.
QUEST_LV_0100_20150317_004570	Gunakan stick with vigor pada Sequoia	세콰이아에게 영력이 깃든 꼬챙이를 사용
QUEST_LV_0100_20150317_004571	Kamu meletakan power of spirit di sharp stick untuk membuat stick with vigor. Gunakan stick with vigor pada Sequoia.	따끔한 꼬챙이에 영혼의 힘을 실어 영력이 깃든 꼬챙이를 만들었습니다. 세콰이아에게 영력이 깃든 꼬챙이를 사용해 봅시다.
QUEST_LV_0100_20150317_004572	Sequoia lari ketika kamu menggunakan stick with vigor. Kembali ke Guide Owl.	세콰이아에게 영력이 깃든 꼬챙이를 쓰자 세콰이아가 깜짝 놀라 어디론가 도망가 버렸습니다. 길잡이 부엉이에게 돌아가 봅시다.
QUEST_LV_0100_20150317_004573	Bicara pada Desperate Owl Sculpture	간절한 부엉이 조각상과 대화
QUEST_LV_0100_20150317_004574	Sequoia lari ke ara Desperate Owl Sculpture berada. Desperate Owl mungkin dalam baha. Cepat pergi ke Desperate Owl.	꼬챙이에 찔린 세콰이아는 간절한 부엉이쪽으로 달아났습니다. 어쩌면 간절한 부엉이가 위험한 상황에 처해 있을지도 모릅니다. 빨리 간절한 부엉이에게 가 주세요.
QUEST_LV_0100_20150317_004575	Selamatkan Desperate Owl Sculpture	간절한 부엉이 조각상 구출
QUEST_LV_0100_20150317_004576	Ketika Sequoia ingin menghancurkan Desperate Owl, kamu berhasil menemukannya terlebih dahulu. Bantu Desperate Owl berdiri.	세콰이아가 간절한 부엉이를 부숴버리려는 찰나, 간절한 부엉이를 간신히 발견할 수 있었습니다. 쓰러진 간절한 부엉이를 일으켜 세워 줍시다.
QUEST_LV_0100_20150317_004577	Kamu membantu Desperate Owl berdiri. Tanyakan apakah ia baik-baik saja.	간절한 부엉이를 다시 일으켜 세웠습니다. 간절한 부엉이가 괜찮은지 물어 보세요.
QUEST_LV_0100_20150317_004578	Owl in urgency meminta bantuanmu karena ia tidak pernah melihat Sequoia lari-larian seperti itu. Bicara pada owl in urgency.	절박한 부엉이는 저렇게 미쳐 날뛰는 세콰이아는 본 적이 없다면서 제발 힘을 빌려달라고 합니다. 절박한 부엉이와 다시 대화해 봅시다.
QUEST_LV_0100_20150317_004579	Mendapatkan blackend wood stick	그을린 나뭇가지 수집
QUEST_LV_0100_20150317_004580	Owl in urgency memberitahumu bahwa lebih baik menggunakan blackend stick. Kumpulkan stick di sekitar.	절박한 부엉이는 세콰이아가 그을려버린 나뭇가지로 꼬챙이를 보강하였으면 한다고 합니다. 주변 몬스터에게서 그을린 나뭇가지를 모으세요.
QUEST_LV_0100_20150317_004581	Kamu memiliki cukup blackened stick. Kembali ke owl in urgency.	그을린 나뭇가지가 어느 정도 모인 것 같습니다. 절박한 부엉이에게 돌아가 보세요.
QUEST_LV_0100_20150317_004582	Bicara pada owl in urgency.	절박한 부엉이와 대화
QUEST_LV_0100_20150317_004583	Owl in urgency mengganti old stick dengan blackened stick. Bicara pada owl in urgency lagi	절박한 부엉이는 그을린 나뭇가지로 꼬챙이를 보강했습니다. 절박한 부엉이와 다시 대화해 보세요.
QUEST_LV_0100_20150317_004584	Gunakan cursed stick pada Sequoia	세콰이아에게 저주가 담긴 꼬챙이 사용
QUEST_LV_0100_20150317_004585	Tusuk cursed stick pada Sequoia jadi ia tidak lari-larian lagi!	세콰이아가 더 이상 날뛰지 못하도록 저주가 담긴 꼬챙이를 있는 힘껏 세콰이아에게 찔러 넣으세요!
QUEST_LV_0100_20150317_004586	Bicara pada gatekeeper owl	문지기 부엉이와 대화
QUEST_LV_0100_20150317_004587	Sayangnya, cursed stick tidak efektif pada Sequoia. Seperti yang owl in urgency katakan padamu, bicara pada gatekeeper owl lagi.	안타깝게도 저주가 담긴 꼬챙이도 세콰이아에겐 무용지물인 것 같습니다. 절박한 부엉이가 말한 대로 문지기 부엉이와 대화하세요.
QUEST_LV_0100_20150317_004588	Sequoia membakar seluruh hutan, namun gatekeeper owl sepertinya baik-baik saja. Bicara pada gatekeeper owl.	세콰이아가 숲을 온통 불지르는 와중에도 문지기 부엉이는 태연해 보입니다. 문지기 부엉이와 대화해 보세요.
QUEST_LV_0100_20150317_004589	Kalahkan Sequoia	세콰이아 처치
QUEST_LV_0100_20150317_004590	Gatekeeper owl berkata bahwa stick masih berguna jika kamu menyerang Sequoia langsung dengan ini, dan mungkin dia akan kalah. Kalahkan Sequoia di Cradle of Sequoia.	문지기 부엉이는 꼬챙이가 헛되지 않았다면서 세콰이아에게 직접 공격을 가하면 없애버릴 수도 있다고 합니다. 세콰이아의 요람에 있는 세콰이아에게 찾아가 처치해 버립시다.
QUEST_LV_0100_20150317_004591	Kamu berhasil mengalahkan Sequoia. Tanyakan gatekeeper tentang jalan menuju Sculptor	드디어 부엉이들을 괴롭히던 세콰이아를 없애 버렸습니다. 조각가에게 가는 길을 묻기 위해 문지기 부엉이와 대화해 봅시다.
QUEST_LV_0100_20150317_004592	Periksa epitaph of the royal tomb	왕릉 비문을 확인
QUEST_LV_0100_20150317_004593	Berbagai tulisan tentang cara bersiap ketika iblis menyerang terukir pada epitaph. Baca epitaph.	왕릉 비문은 마족이 침입하였을 때를 대비하여 여러가지 내용이 적혀 있습니다. 왕릉 비문을 읽어 보세요.
QUEST_LV_0100_20150317_004594	Kalahkan Boowook di dekat royal tomb's cube dan hisap kekuatannya ke dalam cube.	부우크을 왕릉 큐브 근처에서 제압하여 흡수
QUEST_LV_0100_20150317_004595	Bookwook yang terpolusi tidak bisa mengenali Pia. Kalahkan Bookwook dan hisap kekuatannya ke dalam cube.	더럽혀진 부우크는 피아를 구별하지 못하고 있습니다. 오작동을 일으키는 부으크를 제압하여 그 힘을 왕릉 큐브에 흡수시키세요.
QUEST_LV_0100_20150317_004596	Bicara epitaph	왕릉 비문 읽기
QUEST_LV_0100_20150317_004597	Hancurkan protecting device yang tercemar	더럽혀진 수호 장치 파괴
