QUEST_UNUSED_20150317_000001	Oh, sedang menuju ke Master Pardoner. Semoga beruntung.	아하, 파드너 마스터에게로 가는 길이로군. 무운을 빕지요.
QUEST_UNUSED_20150729_000300	Demon menurunkan kutukan Petrification di daratan ini.. Para Goddess awalnya bermaksud untuk menolong manusia.{nl} Tetapi demon menanyakan akan peraturan mutlak yang tidak mengijinkan untuk saling menginterfensi, lalu demon mengamuk di area lainnya??	마족은 이 일대에 석화 저주를 내렸고.. 여신들은 인간들을 구원하려고 했죠.{nl}하지만 서로의 일에 관여하지 않겠다는 암묵적인 룰을 잊었느냐며 마족들은 분개했고 다른 지역에...
QUEST_UNUSED_20150729_000301	{nl}Ah bencana yang parah telah turun..{nl} Sungguh bencana yang parah, sampai-sampai para Goddess menyerah untuk menyelamatkan tempat yang membatu ini..	{nl}아, 생각하기도 싫은 재앙을 내렸어요..{nl}여신들이 석화된 이 곳의 구원을 포기해야 할 만큼 엄청난 재앙이었죠..
QUEST_UNUSED_20150729_000302	Retia ada di Verkti Square.{nl}Emm? Kau sudah tahu rupanya?	레티아는 베르크티 광장에 있어요.{nl}음? 이미 알고 계시려나?
QUEST_UNUSED_20150729_000303	Petrification Detector yang ada di Coastal Fortress rusak katamu?{nl} Aku sudah mengetahui akan hal itu. Bisa juga begitu.	연안 요새 지역의 석화 탐지기가 고장났다구요?{nl}그건 이미 알고 있습니다. 그럴만도 합니다.
QUEST_UNUSED_20150729_000304	Tetapi masih belum tiba? Aku mengirimkan pasukan bantuan ke arah situ.{nl} Cukup lama sejak kukirimkan mereka untuk memperbaiki Detector yang rusak.. Apa yang terjadi ya..	그런데 아직 도착하지 않았나요? 제가 지원병력을 그 쪽에 파견했는데요.{nl}고장난 탐지기를 수리하러 보낸 지가 좀 됐는데.. 어찌 된 일일까요..
QUEST_UNUSED_20150729_000305	{nl} Maukah kamu mencari mereka?	{nl}한 번, 그들을 찾아 봐 주시겠습니까?
QUEST_UNUSED_20150729_000306	Tetapi kalau melihat tidak ada kabar seperti ini.. Sepertinya telah terjadi sesuatu dengan mereka.{nl} Jika kamu menemukan mayat dari mereka.. walaupun merepotkan, maukah kamu coba mencari mayat tersebut?{nl} Mungkin kamu akan mendapatkan benda yang berguna darinya. Jika tidak mungkin dari monster yang ada di sekitar sana..	하지만 어쨌든 아직 소식이 없는 것을 보면.. 어떤 변을 당했을 수도 있겠습니다.{nl}혹시 그들의 시신들이라도 발견한다면.. 번거롭더라도 시신을 뒤져봐 주시겠습니까?{nl}쓸 만한 부품들이 나올 겁니다. 아니면 그 주변의 몬스터들이라도..
QUEST_UNUSED_20150729_000307	Di arah pintu masuk Coastal Fortress, sering dilaporkan adanya Petrification Frost, entah apakah mereka diserang oleh monster atau terkena Petrification Frost.	연안요새의 입구 쪽에 석화서리가 자주 보고되고 있으니, 그쪽에서 몬스터의 습격을 받았거나 석화서리에 당했는지도 모르지요.
QUEST_UNUSED_20150729_000308	Seluruh pasukan bantuan mengalami hal ini rupanya.. Sungguh sayang sekali.. {nl} Nantinya jiwa mereka pun harus diarahkan.	지원 병력이 모두 당했군요.. 안타깝네요.. {nl}나중에 그들의 영혼도 인도해 주어야겠어요.
QUEST_UNUSED_20150729_000309	Ya. Bagaimanapun bawalah sparepart itu, dan perbaikilah detector yang rusak.{nl} Walaupun ini adalah pekerjaan kami, tolong mengertilah kami tidak dapat meninggalkan tempat ini kosong.	네. 어쨌든 그 부품들을 들고 가서 고장난 탐지기들을 수리 해 주세요.{nl}저희가 할 일입니다만, 자리를 비울 수 없는 것을 이해해 주십시오.
QUEST_UNUSED_20150729_000310	Itu adalah sparepart untuk perbaikan.{nl} Sekarang kamu harus pergi memperbaikinya.{nl} Berhati-hatilah akan Petrification Frost.	그것이 그 부품들이군요.{nl}이제 수리하러 가셔야겠네요.{nl}석화 서리를 조심하세요.
QUEST_UNUSED_20150729_000311	Kami berpikir untuk mengarahkan para jiwa untuk beristirahat dengan tenang, jikasemua  Petrification Detector telah normal kembali.	석화 탐지기가 전부 정상으로 돌아오면 차분하게 영혼들을 안식으로 인도할 생각이예요.
QUEST_UNUSED_20150729_000312	Kalau begitu, mohon bantuannya ya.	그럼, 꼭 부탁 드리겠습니다.
QUEST_UNUSED_20150729_000313	Oh, semua telah kembali beroperasi normal rupanya.{nl} Terima kasih banyak.{nl} Sekarang aku harus bersikap tenang dan mengarahkan para jiwa.	오, 모두 정상 작동 하게 되었군요.{nl}정말 감사합니다.{nl}이제 안심하고 영혼들을 인도해야겠어요.
QUEST_UNUSED_20150729_000314	Kami khawatir karena jiwa-jiwa itu terlalu banyak..{nl} tetapi kami berencana untuk mengarahkan mereka satu per satu.{nl} Semoga jalan dari tuan Savior ke depannya diberkati Goddess selalu.	영혼들이 너무 많아 걱정이지만..{nl}차분히 한 분 씩 인도할 예정입니다.{nl}계시자님의 앞길에 여신의 은총이 가득하시길.
QUEST_UNUSED_20150729_000315	Siapa ya. Pergilah kesana.{nl} Ah.. Mungkin kamu dapat membantuku..	누구인가. 저리 가라.{nl}아.. 혹시 나를 도와줄 수 있다면..
QUEST_UNUSED_20150729_000316	Priest Yuta	사제 유타
QUEST_UNUSED_20150729_000317	Wah. Aku tidak sangka akan bertemu dengan manusia di kuburan seperti ini.{nl} Aku adalah Bokor yang mempercayai Goddess Zemyna. Aku datang sampai ke tempat ini untuk mencari keberadaan Goddess Zemyna yang menghilang.{nl}	우와. 이런 묘지에서 사람을 만날 줄은 몰랐어요.{nl}저는 제미나 여신님을 모시는 보코르에요. 사라진 제미나 여신님의 자취를 쫓아 이 곳까지 왔죠.{nl}
QUEST_UNUSED_20150729_000318	Karena mendengar bahwa Goddess Zemyna yang menyembunyikan rupanya telah memberkati organisasi Tree of Truth, maka aku datang berlari sampai kesini.{nl} Bagaimanapun papra mayat ini tidak bisa dikontrol dengan kekuatanku. Sepertinya mereka harus dihabisi karena mengganggu ritual..	모습을 감춘 제미나 여신께서 진리의 나무 교단을 축복했다고 하시기에 여기까지 달려왔는데{nl}막상 와보니까 시체들만 돌아다니고 있네요.{nl}심지어 이 시체들 제 힘으로 제어도 안되요. 의식에 방해가 되니 처치를 해야할 것 같은데..
QUEST_UNUSED_20150729_000319	Ah, sungguh? Terima kasih banyak.{nl} Sebenarnya saya kesulitan untuk melakukan persiapan ritual sendirian.{nl}	아, 정말요? 말 만으로도 감사하네요.{nl}사실 혼자서는 의식 준비도 좀 벅찼거든요.{nl}
QUEST_UNUSED_20150729_000320	Kalau begitu tolong habisilah para mayat yang ada di sekitar sini.{nl} Aku akan mempersiapkan ritual dan memanjatkan doa kepada Goddess.	그럼 근처의 시체들을 처치해주세요.{nl}저는 그 동안 의식을 준비하고 여신님께 기도를 올릴게요.
QUEST_UNUSED_20150729_000321	Padahal kupikir akan ada sesuatu jika datang kemari, yang ada hanya mayat-mayat yang tidak mempan akan kekuatan Bokor..{nl} Baru pertama kalinya aku melihat yang seperti ini.  Aku harus bergegas mencari Goddess padahal..	여기 오면 뭐라도 있을 까 했는데 보코르의 힘이 통하지 않는 시체라니..{nl}이런 건 처음 봐요. 어서 여신님을 찾아야 할텐데요..
QUEST_UNUSED_20150729_000322	Ah, sudah kembali rupanya. Berkat kamu kami dapat memanjatkan doa kepada Goddess dengan selamat.{nl}Yha.. Walaupun tidak ada jawaban apapun seperti biasanya..	아, 돌아오셨군요. 덕분에 무사히 여신님께 기도를 올릴 수 있었어요.{nl}뭐.. 여느때 처럼 대답은 없으셨지만요..
QUEST_UNUSED_20150729_000323	segera memeriksa	점검해 보겠다고 한다
QUEST_UNUSED_20150729_000324	Signal	신호
QUEST_UNUSED_20150729_000325	Cutting the Tail (1)	꼬리자르기(1)
QUEST_UNUSED_20150729_000326	Cutting the Tail (2)	꼬리자르기(2)
QUEST_UNUSED_20150729_000327	Cutting the Tail (3)	꼬리자르기(3)
QUEST_UNUSED_20150729_000328	At Dead End (1)	막다른 곳에 다다라(1)
QUEST_UNUSED_20150729_000329	At Dead End (2)	막다른 곳에 다다라(2)
QUEST_UNUSED_20150729_000330	At Dead End (3)	막다른 곳에 다다라(3)
QUEST_UNUSED_20150729_000331	Documentary Shelter	기록물 대피소
QUEST_UNUSED_20150729_000332	Elegant Demon Lord	고상한 마군주
QUEST_UNUSED_20150729_000333	The Journey to Find Myself (1)	나를 찾는 여정(1)
QUEST_UNUSED_20150729_000334	The Journey to Find Myself (2)	나를 찾는 여정(2)
QUEST_UNUSED_20150729_000335	The Journey to Find Myself (3)	나를 찾는 여정(3)
QUEST_UNUSED_20150729_000336	The Journey to Find Myself (4)	나를 찾는 여정(4)
QUEST_UNUSED_20150729_000337	The Journey to Find Myself (5)	나를 찾는 여정(5)
QUEST_UNUSED_20150729_000338	The Journey to Find Myself (6)	나를 찾는 여정(6)
QUEST_UNUSED_20150729_000339	An Endless Deal (1)	끝없는 거래(1)
QUEST_UNUSED_20150729_000340	An Endless Deal (2)	끝없는 거래(2)
QUEST_UNUSED_20150729_000341	An Endless Deal (3)	끝없는 거래(3)
QUEST_UNUSED_20150729_000342	An Endless Deal (4)	끝없는 거래(4)
QUEST_UNUSED_20150729_000343	The Legwyn Family's Tragedy (1)	르귄가의 비극(1)
QUEST_UNUSED_20150729_000344	The Legwyn Family's Tragedy (2)	르귄가의 비극(2)
QUEST_UNUSED_20150729_000345	The Legwyn Family's Tragedy (3)	르귄가의 비극(3)
QUEST_UNUSED_20150729_000346	Progress	진행
QUEST_UNUSED_20150730_000347	Sedang memperbaiki/HAMMERING/5/TRACK_AFTER/None	수리 중/HAMMERING/5/TRACK_AFTER/None
QUEST_UNUSED_20150730_000348	Notice/Detector mulai beroperasi!#5	Notice/탐지기가 작동하기 시작합니다!#5
QUEST_UNUSED_20150730_000349	Sedang memperbaiki/HAMMERING/3/TRACK_BEFORE/None	수리 중/HAMMERING/3/TRACK_BEFORE/None
QUEST_UNUSED_20150803_000350	Bicara dengan Member Irumantas	단원 이르만타스와 대화
QUEST_UNUSED_20150803_000351	Mencari dengan Member Grazina	단원 그라지나와 찾기
QUEST_UNUSED_20150803_000352	Terdengar suara seseorang mememanggil di sekitar.	주변에서 누군가 부르는 소리가 들립니다.
QUEST_UNUSED_20150803_000353	Bicara dengan Member Grazina	단원 그라지나와 대화
QUEST_UNUSED_20150803_000354	Memberikan barang kepada Irumantas	이르만타스에게 물품 전달
QUEST_UNUSED_20150803_000355	Pergi mencari Member Alina	단원 알리나 찾아가기
QUEST_UNUSED_20150803_000356	Bicara dengan Member Alina	단원 알리나와 대화
QUEST_UNUSED_20150803_000357	Bicara dengan Member Allin	단원 알린와 대화
QUEST_UNUSED_20150804_000358	Untuk mendekati Royal tomb, maka harus melewati semua ujian milik Zakariel King. Cobalah bicara dengan Historian Rexipher untuk mendapatkan symbol mengenai ujian berikut.	왕릉에 접근하기 위해서는 자카리엘 대왕의 모든 시련을 통과해야합니다. 다음 시련에 대한 증표를 얻기 위해 사학자 렉시퍼와 대화해 봅시다.
QUEST_UNUSED_20150811_000359	Di sebelah kanan pertigaan ini terdapat markas dari para monster. {nl} Entah apakah masih ada kawan-kawan yang tersisa, karena belum dimakan monster itu.	이 사거리의 오른쪽에 몬스터들의 둥지가 있어요. {nl}배가 불러 먹어치우지 못한 동료들이 아직 남아 있을지도 몰라요.
QUEST_UNUSED_20150811_000360	Notice/!/Bunuhlah monster yang sedang menghalangi jalan!#8	Notice/!/길을 막고있는 몬스터를 처치하세요!#8
QUEST_UNUSED_20150811_000361	Notice/Telah membunuh semua monster yang sedang menghalangi jalan!#8	Notice/길을 막고있는 몬스터를 모두 처치했습니다!#8
QUEST_UNUSED_20150923_000362	Apakah kau datang karena Archer Master mengirimkanmu.{nl} Klaipeda perlahan mulai stabil, tetapi Fedimian masih seperti ini saja.	아처 마스터가 보내서 왔나.{nl}클라페다는 점점 안정을 찾아가고 있지만 페디미안은 아직 이 모양이다.
QUEST_UNUSED_20150923_000363	Kuserahkan padamu monster selevel kapten di Mage Tower.{nl} Kami kekurangan orang untuk membangun kembali Fermidian, sampai muncul monster di Tower tersebut.	자네에겐 마법사의 탑에서 대장급 몬스터를 맡기지.{nl}페디미안을 재건하는 것도 일손이 부족한데 탑에서 몬스터까지 쏟아져 나오고 있거든.
QUEST_UNUSED_20150923_000364	Menurut laporan dari pasukan pengintai yang berhasil menyelinap, terdapat Minotaurus di lantai 3 Mage Tower. Jika mengalahkan monster itu, maka akan menjadi peringatan yang cukup kan.	잠입에 성공한 정찰병의 보고로는 마법사의 탑 3층의 미노타우로스라고 했어.{nl}그 몬스터를 처치하면 충분한 경고가 되겠지.
QUEST_UNUSED_20150923_000365	Terima kasih. Berkat kamu spirit dari para monster sudah sedikit mereda rupanya. {nl} Tolong sampaikan terima kasih juga kepada Archer Master.	수고했어. 덕분에 몬스터의 기세가 좀 수그러들었다는군. {nl}아처 마스터에게도 고맙다고 전해 줘.
QUEST_UNUSED_20150923_000366	Koleksi dari kolektor	수집상의 컬렉션
QUEST_UNUSED_20150923_000367	Sedang membakar	소각 중
QUEST_UNUSED_20150923_000368	Sampai tidak tersisa jejak dari Storage	보관소의 흔적조차 남아 있지 않습니다
QUEST_UNUSED_20150923_000369	Bunuhlah monster yang menghalangi jalan!	길을 막고있는 몬스터를 처치하세요!
QUEST_UNUSED_20150923_000370	Telah membunuh semua monster yang sedang menghalangi jalan	길을 막고있는 몬스터를 모두 처치했습니다!
QUEST_UNUSED_20150923_000371	Telah menyampaikan Soul Urns kepada Weak Owl Statue	영혼의 유골함을 약한 부엉이 조각상에게 전달했습니다
QUEST_UNUSED_20150923_000372	Kalahkan Werewolf!	웨어울프를 처치하세요!
QUEST_UNUSED_20150923_000373	Kalahkan Mushcaria yang muncul mendadak!	갑자기 나타난 머슈카리아를 처치하세요!
QUEST_UNUSED_20150923_000374	Sedang mendoakan mayat	시신의 명복을 비는 중
QUEST_UNUSED_20150923_000375	Sedang berdoa	명복을 비는 중
QUEST_UNUSED_20150923_000376	Telah mendoakan para prajurit yang mati!	죽은 병사의 명복을 빌어 주었습니다!
QUEST_UNUSED_20150923_000377	Sedang coba menggali	헤쳐보는 중
QUEST_UNUSED_20150923_000378	Sedang menggali	파 헤치는 중
QUEST_UNUSED_20150923_000379	Hancurkan Supply Box dan lacaklah Vubbe yang kabur!	보급품 상자를 파괴하고 도망간 부베를 추적하세요!
QUEST_UNUSED_20150923_000380	Lacaklah suku Vubbe yang kabur!	도망간 부베족을 추적하세요!
QUEST_UNUSED_20150923_000381	Berpindahlah ke area berikut	다음 지역으로 이동하세요
QUEST_UNUSED_20150923_000382	Kalahkan monster yang menghalangi jalan!	길을 막고있는 몬스터 처치!
QUEST_UNUSED_20150923_000383	Selesai mengalahkan monster yang menghalangi jalan!	길을 막고있는 몬스터 처치 완료!
QUEST_UNUSED_20150923_000384	Di sekitar Owl Statue yang hancur telah muncul monster!	부서진 부엉이 조각상 주변에 몬스터가 나타났습니다!
QUEST_UNUSED_20150923_000385	Mushwort yang menghancurkan Owl Statue telah muncul!	부엉이 조각상을 부순 범인인 머쉬워트가 나타났습니다!
QUEST_UNUSED_20150923_000386	Ketika sedang bermaksud menyalakan api, mendadak para monster datang mengepung!{nl} Pertama-tama kalahkan mereka, lalu coba kembali nyalakan api!	불을 붙이려 하자 갑자기 몬스터들이 몰려들었습니다!{nl}일단 이들을 물리치고 다시 불을 붙여 봅시다!
QUEST_UNUSED_20150923_000387	Telah membakar Owl Statue dengan baik!	부엉이 조각상을 잘 태워 주었습니다!
QUEST_UNUSED_20150923_000388	Sedang membakar 	불 불이는 중
QUEST_UNUSED_20150923_000389	Bunuhlah seluruh monster sambil menjaga api di tumpukan patung!	조각상 더미의 불을 지키면서 몬스터를 모두 처치하세요!
QUEST_UNUSED_20150923_000390	Bunuhlah Lepus yang menghalangi jalan!	길을 막고있는 레푸스를 처치하세요!
QUEST_UNUSED_20150923_000391	Telah membunuh Lepus yang menghalangi jalan!	길을 막고있는 레푸스를 처치했습니다!
QUEST_UNUSED_20150923_000392	Para Syaullem datang untuk menghalangi!	샤울렘들이 저지하기 위해 달려듭니다!
QUEST_UNUSED_20150923_000393	Sedang memberitahukan keadaan	상황을 전하는 중
QUEST_UNUSED_20150923_000394	Sedang menyampaikan cerita yang didengar	들은 이야기를 전하는 중
QUEST_UNUSED_20150923_000395	Berbicara dengan Collector	수집상과 대화
QUEST_UNUSED_20150923_000396	Mendapat Collection	수집품 획득
QUEST_UNUSED_20151015_000397	Apakah kau adalah tuan Savior yang memimpikan mimpi Goddess.{nl} Aku adalah Kapten Knight yang bertanggung jawab akan Syaullei dan Klaipeda, namaku Uska.{nl}	여신의 꿈을 꾼 계시자이십니까.{nl}저는 샤울레이와 클라페다를 담당하고 있는 기사단장, 우스카입니다.{nl}
QUEST_UNUSED_20151015_000398	Kerajaan sekarang, telah kehilangan seluruh harapan. {nl} Sampai keinginan untuk bangkit kembali pun terputus.. Hanya meneriakkan nama Goddess saja.{nl}	지금의 왕국은 모든 희망을 잃었습니다. {nl}다시 일어설 의지조차 꺾인 채로.. 여신의 이름만 부르짖고 있습니다.{nl}
QUEST_UNUSED_20151015_000399	Sebenarnya aku tidak dapat menatap saudara sekalian yang merupakan Savior dengan optimis.{nl} Sebagai seorang yang bertanggung jawab akan satu kota ini.. {nl}	솔직히 저는 계시자 여러분들을 희망적으로만 바라볼 수는 없습니다.{nl}한 도시를 짊어지고 있는 책임자이기에.. {nl}
QUEST_UNUSED_20151015_000400	Bukankah kita tidak dapat menghadapi keputusasaan lagi.	다시 절망을 겪을 순 없는 것 아니겠습니까.
QUEST_UNUSED_20151015_000401	Nah.. Bagaimanapun, Bishop pun juga telah memimpikan Revelation.{nl} Ia berkata jika Savior datang, maka harus dikirimkan ke Crystal Mine.{nl}	자.. 어쨌든, 주교님께서도 계시의 꿈을 꾸셨습니다.{nl}계시자가 오거든 수정광산으로 보내라고 하셨다는군요.{nl}
QUEST_UNUSED_20151015_000402	Tetapi saat ini terjadi pertempuran dengan Vubbe di Crystal Mine, sehingga akses kesana dibatasi.{nl} Cobalah temui Aras, Knight yang berada di bagian timur hutan.	하지만 현재 광산 마을은 부베와 교전중인지라 출입을 제한하고 있습니다.{nl}동쪽 숲에 있는 기사 아라스가 담당이니 그를 만나보십시오.
QUEST_UNUSED_20151015_000403	Yang menyebabkan monster di hutan ini bertambah, adalah ulah dari Vubbe Fighter.{nl} Tolong carilah tahu seberapa banyak jumlah Vubbe Fighter.{nl}	이 숲의 몬스터가 불어난 게 부베 투사의 짓이였군요.{nl}부베 투사가 얼마나 있는지 알아봐 주세요.{nl}
QUEST_UNUSED_20151015_000404	Oke, Kau adalah Savior yang terkenal itu kan?{nl}Hmm.. Aku memiliki sesuatu rekomendasi. Kau. Maukah coba bekerja sama dengan denganku?{nl}	어라, 너는 그 유명한 계시자 맞지?{nl}흠.. 제안할 게 있는데 말야. 너. 나와 같이 일해보지 않을래?{nl}
QUEST_UNUSED_20151015_000405	kamu tahu bahwa daerah pertahanan terakhir dari pasukan Ruklys adalah Earth Castile kan?{nl} Tetapi bukan hanya itu saja. Nah bagian ini adalah rahasia.. Sebelumnya aku punya pertanyaan.{nl}	대지의 요새가 루클리스 군의 마지막 저항지였다는 건 알고 있지?{nl}하지만 그 뿐만이 아냐. 여기서부턴 비밀인데.. 그 전에 질문이 있어.{nl}
QUEST_UNUSED_20151015_000406	Hmm. Kau ada di pihak mana?{nl}Kingdom army? Jika bukan apakah Knight of Kalis?{nl} Kalau malas menjawab, abaikanlah saja.	자. 넌 누구 편이지?{nl}왕국군? 아니면 칼리스 기사단?{nl}대답하기 싫으면 그냥 볼 일 보시던가.
QUEST_UNUSED_20151015_000407	Berhati-hatilah agar tidak ketahuan Kingdom Army.{nl} Kalau ketahuan, tersenyumlah dan lewatilah saja.	왕국군 눈에 띄지 않게 조심해줘.{nl}들키더라도 적당히 웃으면서 넘어가라고.
QUEST_UNUSED_20151015_000408	Kau telah melihat Patung Gargoyle di Assembly Area kan?{nl} Itu adalah Gargoyle yang di maksud.{nl}	집결지에서 가고일 석상을 봤지?{nl}그게 그 가고일이야.{nl}
QUEST_UNUSED_20151015_000409	Sungguh aneh, ketika aku ingin kembali ke kastil terdapat sesuatu yang mendadak bergerak seperti hidup dan menghalangi.{nl} Mustahil untuk menghadapinya dengan kekuatan kami tanpa membuat keributan.	이상하게 내가 요새로 들어가려고 하면 갑자기 살아 움직이면서 막아서더라고.{nl}소란 피우지 않고서 우리 힘으로 제압하는 건 무리야.
QUEST_UNUSED_20151015_000410	Poata yang ada di hutan sebelah timur Syaullei, katanya sedang mengancan para penduduk.{nl} jika kamu menghabisi monster itu dengan nama Goddess, aku akan mengajarimu sihirku.	샤울레이 동쪽 숲에 있는 포아타가 주민들을 위협하고 있대.{nl}여신의 이름으로 그 몬스터를 없애 준다면 내 마법을 전수해 주겠어.
QUEST_UNUSED_20151015_000411	Sepertinya ketika aku melihatmu pertama kali... kemampuanmu kurang baik.{nl} Sekarang sepertinya kau lebih terkenal dibandingkan aku.{nl}	널 처음 보았을 땐 너무 어설프지 않나.. 싶었는데.{nl}지금은 나보다도 더 유명해진 것 같아.{nl}
QUEST_UNUSED_20151015_000412	Terima kasih.{nl} Ke depannya kumpulkanlah lebih banyak pengalaman praktik dan jika mempelajari ilmu pedang dariku, agar dapat menjadi Swordman yang baik.	수고했다.{nl}앞으로도 실전 경험을 쌓고 내 밑에서 검을 배운다면 좋은 검사가 될 수 있을 것이다.
QUEST_UNUSED_20151015_000413	Kau datang untuk menerima pelajaran Rogue dariku?{nl}Kau melakukan hal tepat.{nl}  Sebagai rogue kau harus dapat memperlihatkan kemampuan dan menyelesaikan masalah dalam sekaligus.{nl}	나에게 로그의 가르침을 받으러 온거야?{nl}마침 잘 됐어.{nl}너의 로그로서의 실력을 검증하면서 내 문제도 해결할 수 있는 일석이조의 일이 있거든.{nl}
QUEST_UNUSED_20151015_000414	Scout Master dan aku dahulu adalah teman yang dekat tiada bandingannya, tetapi sekarang hubungan kami sedikit aneh.{nl} Aku ingin mengembalikan hubungan dengan memberikan hadiah sesuatu.. tetapi jika aku pergi secara langsung, sungguh terlalu vulgar rasanya.{nl} Maukah kamu pergi menggantikanku diam-diam untuk memberikan hadiah?	스카우트 마스터와 나는 한때는 둘도 없는 친구였지만 지금은 조금 어색해져서 말이야.{nl}뭔가 선물이라도 주면서 관계를 회복해보고 싶은데.. 내가 직접가는 건 역시 너무 눈에 띄거든.{nl}니가 대신해서 몰래 선물 좀 전해주고 오지 않겠어?
QUEST_UNUSED_20151015_000415	Bagus. Tetapi ini dianggap sebagai ujianmu juga.{nl} Kau harus menaruh hadiah ini dengan diam-diam tanpa ketahuan oleh Scout Master.{nl} Yang ingin kuajarkan kepadamu dari hal ini adalah dasar dari menangkap lawan dari belakang.	좋아. 하지만 이건 너의 시험도 겸하는 거니까.{nl}선물을 전해주되 스카우트 마스터가 눈치채지 못하게 몰래 넣어두고 와야해.{nl}조언을 해주자면 이런 일은 상대의 뒤를 잡는게 기본이야.
QUEST_UNUSED_20151015_000416	Kau telah berhasil mengantarkannya dengan baik ya.{nl} Setelah ia memeriksanya nanti, pasti akan sangat kaget bukan?{nl}	잘 전해주고 왔나보네.{nl}나중에 확인하면 깜짝 놀라겠지?{nl}
QUEST_UNUSED_20151015_000417	Sekarang adalah waktunya menyelesaikan urusan denganmu.{nl} jika kamu bisa menaruh benda tanpa sepengetahuan Scout Master dan kembali kemari, maka kau bukanlah orang biasa, dalam sekejap dapat mempelajarinya.	이제 너와의 일을 마무리지을 차례군.{nl}스카우트 마스터 몰래 물건을 넣어두고 올 정도면 너도 보통은 아니니까 금방 배울 수 있을거야.
QUEST_UNUSED_20151015_000418	kau datang untuk belajar teknik Fletcher rupanya.{nl} Jika levelmu layak untuk mendapatkan pengajaran, maka bersiaplah karena persiapannya pun tidaklah mudah.{nl}	플레쳐의 기술을 배우러 왔군.{nl}자네 수준에서 가르침을 받을만한 일이라면 그 대가도 쉽지 않다는 걸 각오해두게.{nl}
QUEST_UNUSED_20151015_000419	Aku sejak dahulu telah mencari panah yang dibuat oleh First Fletcher master.{nl} Karena merupakan panah yang dihadiahkan kepada Lidia Sharpen, maka teknik yang tersimpan disana bukanlah yang biasa bukan.{nl} Aku telah mendapatkan informasi mengenai material dari panah yang tersisa belakangan ini, tetapi untuk menjalankan hal ini, harus ada orang yang dapat mengetahui nilai dari panah itu bukan.	나는 예전부터 초대 플레쳐 마스터가 만든 화살을 찾아왔소.{nl}리디아 샤펜에게 선물해줄 정도의 화살이니 거기에 담긴 기술은 보통이 아니겠지.{nl}최근에 남아있는 화살의 소재에 대한 정보를 얻게 되었는데 이 일을 시키려면 그 화살의 가치를 알아볼 수 있는 사람이어야겠지.
QUEST_UNUSED_20151015_000420	Melalui informasi yang kudapat, sepertinya bisa dicari pada Canyon Area 36_1.{nl} Katanya telah dipakai untuk menghadapi suatu monster ganas, alangkah baiknya jika berhati-hati.	내가 얻은 정보에 의하면 협곡지대 36_1에서 찾을 수 있을 것 같소.{nl}무언가 흉폭한 몬스터를 상대하는데 사용했었다고 하니 주의하는게 좋겠지.
QUEST_UNUSED_20151015_000421	Oh melihat bentuknya saja, terasa sungguh luar biasa.{nl} Aku ingin segera meneliti panah ini, tetapi harus kutepati janjiku dulu padamu bukan.{nl}nah, sekarang perhatikanlah baik-baik, karena aku akan memperlihatkan teknik yang kumiliki.	오 겉으로만 봐도 굉장함을 알 수 있겠군.{nl}당장이라도 이 화살을 연구해보고 싶지만 자네와의 약속이 먼저겠지.{nl}자, 내가 가진 기술을 보여줄테니 눈 크게 뜨고 잘 보도록 하게.
QUEST_UNUSED_20151015_000422	Sebagai Falconer Master aku sedang mencari cara untuk memperkuat para Falconer melalui berbagai percobaan.{nl} Diantaranya adalah, aku pernah berpikir apakah monster yang terbang tidak dapat dipakai menggantikan elang.{nl}	응사 마스터로서 다양한 시도를 통해 응사들이 더욱 강해지는 방법을 찾고 있다.{nl}그 중 하나로 매를 대신해서 날아다니는 몬스터들을 써먹을 순 없을까 하는 생각을 했지.{nl}
QUEST_UNUSED_20151015_000423	Tentu saja aku puas akan kinerja Wreath sebagai partnerku, tetapi aku berpikir dengan percobaan ini dapat membantu para Falconer.	물론 내 파트너 리쓰에게 만족하고 있지만 이런 시도는 응사들에게 도움이 될 수 있다고 생각한다.
QUEST_UNUSED_20151015_000424	Kukira hal itu bisa dilakukan dengan memberi makanan seperti saat melatih elang?{nl} Karena aku tidak terlalu banyak berharap, alangkah baiknya jika coba pergi dan melakukannya.{nl} Karena aku sudah mempersiapkan makanan dengan cukup, cobalah lakukan pada tiga jenis monster paling tidak.	매를 길들일 때 처럼 먹이라도 줘보면 되지 않을까?{nl}큰 기대는 하고 있지 않으니 일단 가서 시도라도 해보는게 좋겠군.{nl}먹이는 넉넉히 넣어두었으니 적어도 세 종류의 몬스터에게는 시도해보도록.
QUEST_UNUSED_20151015_000425	Gagal rupanya. Sayang sekali, tetapi hal itu telah kuperkirakan.{nl} Apapun hasilnya aku harus menghargai upayamu kan.{nl} Bagus,  aku akan memperlihatkannya secara langsung.	역시 실패했나. 아쉽지만 예상했던 바다.{nl}결과야 어찌되었든 그대의 노력에는 보답해야겠지.{nl}좋다, 내가 직접 지도해주도록 하지.
